"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","THA.GGXCNL.A","OBS_VALUE","Thailand","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","124.784","123.995","-78.998","-293.639","-415.450","-86.907","-90.197","-359.373","122.030","74.736","161.992","154.046","19.457","78.122","-209.144","-113.609","10.706","-101.322","77.153","-91.953","25.501","59.246","-77.097","32.805","71.746","-709.726","-1075.834","-789.735","-341.440","-237.952","-360.305","-430.657","-386.134","-420.293","-467.225","-488.962","-512.421"
"IMF.RES:WEO(9.0.0)","THA.NGDPDPC.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","705.484","744.913","767.410","824.445","845.080","772.393","840.315","967.712","1160.538","1338.257","1564.175","1769.043","1999.204","2209.362","2491.433","2846.590","3043.982","2468.182","1845.829","2033.260","2005.977","1889.934","2089.752","2347.540","2641.563","2867.704","3331.320","3918.528","4309.135","4135.440","4973.863","5373.623","5725.528","6018.083","5801.198","5688.853","5833.577","6413.092","7099.777","7605.697","6983.034","7055.188","6910.010","7210.541","7386.636","8056.566","8105.068","8169.811","8392.110","8730.330","9092.478","9498.049"
"IMF.RES:WEO(9.0.0)","THA.TM_RPCH.A","OBS_VALUE","Thailand","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","2.834","5.442","-12.922","23.600","1.021","-8.187","4.958","27.063","32.747","21.581","23.682","12.950","8.968","11.778","15.749","19.968","-0.605","-11.298","-21.647","10.489","27.118","-5.496","6.221","11.096","20.305","16.190","2.943","4.200","11.399","-20.772","22.956","12.400","5.629","1.681","-5.298","0.004","-0.992","6.227","8.274","-5.167","-13.911","17.874","3.431","-2.452","5.670","6.654","0.450","2.675","2.595","2.646","2.652","2.820"
"IMF.RES:WEO(9.0.0)","THA.GGSB.A","OBS_VALUE","Thailand","Structural balance, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","162.051","74.214","-114.412","-254.398","-356.084","-46.117","-41.057","-290.157","117.013","62.710","148.357","131.507","-1.383","19.613","-128.652","-135.841","-6.946","-59.646","16.441","-79.798","56.504","87.802","-73.556","0.009","48.011","-587.034","-925.650","-710.454","-289.012","-194.768","-327.992","-405.572","-378.442","-419.602","-467.225","-488.962","-512.421"
"IMF.RES:WEO(9.0.0)","THA.PPPSH.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","0.572","0.592","0.621","0.639","0.647","0.654","0.668","0.704","0.764","0.828","0.888","0.942","0.923","0.985","1.035","1.079","1.099","1.027","0.924","0.934","0.928","0.937","0.968","1.001","1.012","1.008","1.006","1.008","0.997","0.997","1.019","0.990","1.029","1.022","0.998","0.996","0.999","1.003","1.015","1.016","0.979","0.924","0.915","0.906","0.903","0.894","0.882","0.872","0.864","0.859","0.854","0.850"
"IMF.RES:WEO(9.0.0)","THA.GGXONLB_NGDP.A","OBS_VALUE","Thailand","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","-0.591","-0.519","-5.383","3.074","2.365","3.391","3.233","1.275","1.912","-1.181","0.032","1.285","0.349","1.719","0.424","1.203","1.265","0.525","1.224","1.443","-3.502","-5.463","-3.289","-0.747","-0.093","-0.754","-1.026","-0.723","-0.751","-0.766","-0.775","-0.781"
"IMF.RES:WEO(9.0.0)","THA.GGR.A","OBS_VALUE","Thailand","Revenue, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","826.508","934.078","937.810","822.730","804.194","851.290","972.100","1015.162","1249.961","1381.118","1621.588","1700.479","1788.667","1953.200","1842.817","2223.854","2411.738","2518.776","2862.042","2821.712","3052.824","3122.721","3216.937","3453.818","3526.278","3241.025","3207.412","3434.773","3723.820","3940.189","3980.468","4063.629","4201.379","4340.482","4503.696","4680.303","4875.965"
"IMF.RES:WEO(9.0.0)","THA.TMG_RPCH.A","OBS_VALUE","Thailand","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","0.887","6.936","-12.630","26.392","1.875","-8.197","4.205","28.027","33.706","21.793","22.037","9.452","5.222","10.152","15.724","19.338","1.117","-7.787","-24.071","12.480","6.920","-3.418","3.797","13.457","20.557","18.606","1.197","3.435","12.431","-20.397","27.287","13.465","6.653","2.019","-6.761","-0.683","-2.476","7.368","7.650","-5.821","-10.467","18.114","1.037","-4.086","4.766","9.721","0.297","3.029","3.061","2.838","2.789","3.019"
"IMF.RES:WEO(9.0.0)","THA.GGXONLB.A","OBS_VALUE","Thailand","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","-28.642","-26.477","-287.747","189.639","159.847","252.812","266.813","112.805","186.486","-111.589","3.376","146.134","41.137","221.210","55.656","163.502","181.480","80.087","197.866","242.553","-555.950","-873.906","-563.525","-133.613","-17.275","-142.528","-198.116","-143.701","-154.315","-163.507","-171.885","-180.587"
"IMF.RES:WEO(9.0.0)","THA.TXG_RPCH.A","OBS_VALUE","Thailand","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","8.420","5.977","24.992","-8.840","14.934","5.159","17.780","20.329","23.541","22.914","12.627","17.215","10.927","11.485","17.715","13.376","0.634","12.242","-0.848","12.057","24.235","0.497","3.959","11.682","14.420","7.481","11.176","11.756","4.832","-13.738","16.690","8.724","2.228","0.370","0.946","-1.845","0.402","5.638","3.925","-3.667","-5.814","15.472","1.201","-2.701","4.430","11.963","-0.800","3.012","3.320","3.049","2.696","2.879"
