Table 1 :  Expenditure on gross domestic product at current market prices (original),,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,
,,(1) Private final consumption expenditure,(2) General government final consumption expenditure,(3) Gross fixed capital formation,(4) Change in inventories,(5) Plus : Exports of goods and services,(5.1) Exports of goods  (f.o.b),(5.2) Exports of services,(6) Less : Imports of goods and services,(6.1) Imports of goods (f.o.b),(6.2) Imports of services,(7) Expenditure on gross domestic product ,(8) Plus : Statistical discrepancy,(9) Gross domestic product,,,
1993,Q1,"409,905","81,873","307,330","-2,296","278,949","205,875","73,074","310,261","248,020","62,241","765,500","22,514","788,014",,,
1993,Q2,"420,323","85,512","315,866","-1,790","278,051","215,573","62,478","323,054","253,455","69,599","774,908","7,304","782,212",,,
1993,Q3,"421,095","100,490","333,443",903,"314,353","247,373","66,980","326,538","254,573","71,965","843,746","-11,588","832,158",,,
1993,Q4,"444,335","91,143","318,206","22,487","330,152","252,612","77,540","375,829","274,295","101,534","830,494","30,548","861,042",,,
1994,Q1,"455,833","97,836","338,357","21,254","329,352","252,087","77,265","359,134","276,876","82,258","883,498","31,141","914,639",,,
1994,Q2,"477,740","95,854","377,968","-15,546","332,489","267,850","64,639","393,327","297,426","95,901","875,178","17,837","893,015",,,
1994,Q3,"482,484","116,394","374,382","-7,913","356,983","290,442","66,541","394,492","302,621","91,871","927,838","-24,422","903,416",,,
1994,Q4,"507,099","97,644","384,919","35,704","391,962","307,670","84,292","439,608","334,908","104,700","977,720",300,"978,020",,,
1995,Q1,"520,083","117,353","432,459","-2,421","425,287","323,096","102,191","474,231","369,465","104,766","1,018,530","37,487","1,056,017",,,
1995,Q2,"541,547","113,798","415,004","52,435","421,084","336,523","84,561","502,686","386,963","115,723","1,041,182","-1,718","1,039,464",,,
1995,Q3,"541,958","130,927","441,203","16,419","438,776","355,259","83,517","498,758","392,587","106,171","1,070,525","-36,568","1,033,957",,,
1995,Q4,"560,087","112,429","454,106","-1,422","466,527","366,782","99,745","558,220","431,270","126,950","1,033,507","54,669","1,088,176",,,
1996,Q1,"562,357","128,768","458,021","-1,601","461,125","346,294","114,831","530,629","415,522","115,107","1,078,041","54,779","1,132,820",,,
1996,Q2,"604,646","128,804","461,635","29,881","441,700","336,993","104,707","539,304","413,698","125,606","1,127,362","30,166","1,157,528",,,
1996,Q3,"609,072","143,413","491,787","20,691","442,540","341,392","101,148","511,737","395,954","115,783","1,195,766","-40,559","1,155,207",,,
1996,Q4,"622,498","136,363","520,765","-8,256","464,545","354,223","110,322","517,564","394,010","123,554","1,218,351","-25,302","1,193,049",,,
1997,Q1,"611,303","140,162","428,778","2,866","471,972","352,614","119,358","507,766","391,419","116,347","1,147,315","21,379","1,168,694",,,
1997,Q2,"643,103","136,421","413,292",-374,"467,382","353,651","113,731","512,196","390,245","121,951","1,147,628","16,142","1,163,770",,,
1997,Q3,"625,210","153,827","448,039","-20,460","589,362","478,706","110,656","584,172","454,881","129,291","1,211,806","-42,032","1,169,774",,,
1997,Q4,"616,880","138,776","340,197","2,108","743,399","604,862","138,537","600,985","450,760","150,225","1,240,375","-32,303","1,208,072",,,
1998,Q1,"602,936","141,624","287,493","-22,743","776,676","620,539","156,137","551,118","429,209","121,909","1,234,868","11,136","1,246,004",,,
1998,Q2,"608,562","137,213","238,079","-12,683","645,169","521,922","123,247","488,658","375,415","113,243","1,127,682","2,327","1,130,009",,,
1998,Q3,"598,979","173,902","273,027","-56,287","671,389","543,555","127,834","493,201","374,133","119,068","1,167,809","-41,310","1,126,499",,,
1998,Q4,"619,056","161,495","242,879","-6,093","630,719","495,066","135,653","455,929","333,700","122,229","1,192,127","6,914","1,199,041",,,
1999,Q1,"609,597","148,883","223,498","14,654","628,982","469,853","159,129","437,502","333,550","103,952","1,188,112","21,686","1,209,798",,,
1999,Q2,"619,055","158,350","248,746","-2,315","625,559","508,014","117,545","513,281","386,891","126,390","1,136,114","12,407","1,148,521",,,
1999,Q3,"644,726","172,408","263,843","-40,485","692,836","562,807","130,029","552,311","425,050","127,261","1,181,017","1,182","1,182,199",,,
1999,Q4,"674,264","170,293","241,517","16,813","755,931","609,375","146,556","617,254","476,213","141,041","1,241,564","7,744","1,249,308",,,
2000,Q1,"672,126","164,305","289,573","23,598","746,880","609,927","136,953","612,594","484,257","128,337","1,283,888","-9,995","1,273,893",,,
2000,Q2,"669,977","162,655","250,540","22,076","735,051","608,115","126,936","653,231","513,061","140,170","1,187,068","36,278","1,223,346",,,
2000,Q3,"682,480","189,185","284,724","-36,640","874,782","736,657","138,125","778,416","612,649","165,767","1,216,115","26,561","1,242,676",,,
2000,Q4,"719,900","172,132","268,973","26,844","930,571","776,244","154,327","818,063","655,606","162,457","1,300,357","29,548","1,329,905",,,
2001,Q1,"729,558","171,047","312,573","42,472","837,246","691,891","145,355","772,930","621,204","151,726","1,319,966","26,020","1,345,986",,,
2001,Q2,"743,503","177,724","304,001","4,980","844,237","708,576","135,661","781,151","621,508","159,643","1,293,294","22,612","1,315,906",,,
2001,Q3,"748,643","198,975","312,603","-30,977","857,128","716,153","140,975","766,339","607,578","158,761","1,320,033","-7,419","1,312,614",,,
2001,Q4,"771,646","172,466","272,399","17,309","842,139","685,910","156,229","727,154","579,217","147,937","1,348,805","21,690","1,370,495",,,
