"Table 10 :  Composition of private final consumption expenditure, chain volume measures [reference year = 2002] (seasonally adjusted)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure 
1993,Q1," 578,419 "," 123,152 "," 107,340 "," 31,298 "," 18,019 "," 12,551 "," 9,418 "," 4,264 "," 9,539 "," 13,700 "," 3,188 "," 6,541 "," 15,956 "," 29,673 "," 13,756 "," 18,253 "," 46,447 "," 42,230 "," 4,150 "," 54,737 "," 41,431 "," 13,403 "," 32,813 "," 9,873 "," 22,795 "," 22,087 "," 86,328 "," 34,333 "," 20,414 "," 30,123 "," 5,015 "," 22,662 "," 5,456 "," 11,594 "," 7,375 "," 8,601 "," 85,142 "," 72,486 "," 11,582 "," 12,676 "," 33,651 "," 16,163 "," 12,460 "," 591,629 "," 18,083 "," 33,085 "," 579,972 "
1993,Q2," 582,697 "," 126,063 "," 109,474 "," 31,296 "," 18,424 "," 12,796 "," 9,506 "," 4,305 "," 9,683 "," 14,207 "," 3,150 "," 6,654 "," 16,867 "," 30,555 "," 14,685 "," 17,514 "," 46,033 "," 41,759 "," 4,190 "," 54,043 "," 40,672 "," 13,638 "," 33,709 "," 10,169 "," 23,393 "," 22,220 "," 85,999 "," 31,859 "," 20,414 "," 31,866 "," 5,544 "," 24,386 "," 6,434 "," 12,195 "," 7,036 "," 6,376 "," 84,638 "," 70,819 "," 12,784 "," 12,220 "," 33,497 "," 16,031 "," 12,590 "," 595,158 "," 18,634 "," 35,037 "," 582,222 "
1993,Q3," 592,937 "," 127,695 "," 110,704 "," 31,454 "," 18,832 "," 12,244 "," 9,622 "," 4,392 "," 9,626 "," 14,790 "," 3,478 "," 6,726 "," 16,906 "," 29,327 "," 14,106 "," 17,254 "," 46,783 "," 42,245 "," 4,466 "," 51,813 "," 38,286 "," 13,996 "," 33,640 "," 10,244 "," 23,233 "," 22,996 "," 89,048 "," 31,781 "," 21,561 "," 33,767 "," 5,239 "," 25,188 "," 6,746 "," 12,926 "," 7,184 "," 9,730 "," 87,486 "," 73,683 "," 11,748 "," 11,963 "," 36,680 "," 16,454 "," 12,455 "," 605,110 "," 19,646 "," 37,884 "," 590,474 "
1993,Q4," 604,196 "," 127,321 "," 111,467 "," 31,523 "," 18,947 "," 11,300 "," 9,759 "," 4,505 "," 9,597 "," 15,102 "," 3,636 "," 6,738 "," 16,138 "," 30,807 "," 14,901 "," 18,313 "," 47,467 "," 42,509 "," 4,920 "," 50,858 "," 37,372 "," 14,037 "," 34,013 "," 10,379 "," 23,329 "," 23,766 "," 95,797 "," 36,612 "," 22,531 "," 34,847 "," 5,386 "," 25,027 "," 5,995 "," 13,654 "," 7,744 "," 8,755 "," 89,142 "," 75,826 "," 12,299 "," 13,078 "," 37,243 "," 16,312 "," 12,782 "," 616,456 "," 24,917 "," 37,679 "," 606,428 "
1994,Q1," 609,782 "," 130,904 "," 113,919 "," 31,878 "," 19,334 "," 14,180 "," 9,718 "," 4,606 "," 10,196 "," 14,561 "," 3,844 "," 6,624 "," 17,259 "," 30,243 "," 14,104 "," 18,213 "," 47,549 "," 42,669 "," 4,692 "," 53,728 "," 39,633 "," 14,537 "," 33,291 "," 10,560 "," 22,536 "," 22,937 "," 91,620 "," 34,169 "," 22,388 "," 33,473 "," 6,219 "," 26,811 "," 6,208 "," 14,230 "," 8,363 "," 9,321 "," 87,150 "," 81,151 "," 12,655 "," 13,486 "," 41,223 "," 16,675 "," 11,575 "," 621,971 "," 26,012 "," 34,606 "," 616,584 "
1994,Q2," 620,311 "," 133,058 "," 115,380 "," 31,979 "," 19,542 "," 13,073 "," 9,953 "," 4,634 "," 10,431 "," 15,274 "," 4,038 "," 6,715 "," 17,766 "," 30,076 "," 13,947 "," 18,303 "," 48,624 "," 44,118 "," 4,416 "," 55,183 "," 41,278 "," 14,245 "," 33,766 "," 10,629 "," 22,999 "," 23,509 "," 95,125 "," 35,055 "," 23,010 "," 34,930 "," 6,360 "," 27,575 "," 6,403 "," 14,389 "," 8,480 "," 9,858 "," 87,099 "," 79,537 "," 12,204 "," 13,326 "," 43,327 "," 15,940 "," 12,997 "," 633,273 "," 25,678 "," 34,082 "," 627,492 "
1994,Q3," 634,967 "," 133,841 "," 117,085 "," 32,124 "," 19,548 "," 13,582 "," 10,427 "," 4,616 "," 10,234 "," 15,933 "," 4,104 "," 6,869 "," 16,759 "," 32,746 "," 13,774 "," 22,445 "," 50,317 "," 45,579 "," 4,689 "," 57,625 "," 43,369 "," 14,538 "," 35,963 "," 10,711 "," 25,079 "," 24,165 "," 97,352 "," 36,232 "," 24,082 "," 35,153 "," 6,336 "," 27,954 "," 6,777 "," 14,884 "," 8,368 "," 9,046 "," 86,893 "," 81,969 "," 12,820 "," 14,141 "," 42,468 "," 16,610 "," 13,032 "," 647,706 "," 27,653 "," 37,589 "," 641,084 "
1994,Q4," 653,110 "," 136,190 "," 118,380 "," 32,406 "," 19,255 "," 13,311 "," 10,969 "," 4,531 "," 9,956 "," 16,337 "," 4,311 "," 7,029 "," 18,009 "," 29,780 "," 14,151 "," 18,274 "," 52,148 "," 47,358 "," 4,795 "," 59,681 "," 44,912 "," 14,971 "," 38,039 "," 11,207 "," 26,561 "," 24,808 "," 103,396 "," 39,277 "," 25,189 "," 37,097 "," 6,360 "," 29,630 "," 7,897 "," 15,488 "," 8,388 "," 8,813 "," 88,682 "," 84,789 "," 13,115 "," 14,823 "," 45,479 "," 15,810 "," 12,854 "," 665,526 "," 27,531 "," 37,545 "," 659,705 "
1995,Q1," 683,396 "," 139,009 "," 120,331 "," 32,453 "," 19,443 "," 13,439 "," 12,170 "," 4,677 "," 9,675 "," 17,328 "," 4,219 "," 7,255 "," 19,115 "," 32,700 "," 16,850 "," 16,978 "," 52,675 "," 47,648 "," 4,864 "," 60,737 "," 45,620 "," 15,370 "," 38,274 "," 10,645 "," 27,481 "," 26,933 "," 108,584 "," 41,379 "," 25,728 "," 39,523 "," 6,530 "," 40,902 "," 13,679 "," 16,666 "," 9,479 "," 9,948 "," 89,789 "," 86,769 "," 13,414 "," 14,995 "," 44,462 "," 17,112 "," 13,030 "," 696,919 "," 26,836 "," 43,544 "," 681,942 "
1995,Q2," 689,886 "," 141,427 "," 121,837 "," 32,898 "," 19,204 "," 13,524 "," 12,694 "," 4,801 "," 10,195 "," 17,059 "," 4,447 "," 7,324 "," 19,448 "," 35,324 "," 17,880 "," 19,235 "," 52,873 "," 47,664 "," 5,039 "," 61,338 "," 45,928 "," 15,805 "," 38,497 "," 10,323 "," 28,009 "," 27,634 "," 108,329 "," 42,065 "," 26,724 "," 37,009 "," 6,759 "," 36,798 "," 11,157 "," 16,066 "," 10,380 "," 10,205 "," 90,492 "," 89,248 "," 13,448 "," 15,762 "," 48,986 "," 17,045 "," 12,667 "," 702,666 "," 26,478 "," 45,622 "," 686,226 "
