Table 11 :  Gross fixed capital formation at current market prices classified by type of capital goods (original),,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,
,,(1)Construction , (1.1)Private, (1.1.1)Dwellings (Construction-private),(1.1.2)Non-Dwellings  (Construction-private),(1.1.3)Others construction  (Construction-private),(1.1.4)Cost of ownership transfer  (Construction-private),(1.2)Public ,(1.2.1)Dwellings (Construction-pubic) ,(1.2.2)Non-Dwellings (Construction-pubic),(1.2.3)Others construction Services (Construction-pubic) ,(2)Machinery and equipment ,(2.1)Transport Equipment (Machinery and equipment) ,(2.2)Other machinery and equipment ,(3)Gross Fixed Capital Formation (14)
1993,Q1,"154,814","117,958","57,427","43,084","13,730","3,717","36,856","2,240","10,560","24,056","152,516","46,627","105,889","307,330"
1993,Q2,"162,871","118,966","60,536","40,982","13,730","3,718","43,905","2,614","10,845","30,446","152,994","69,803","83,191","315,865"
1993,Q3,"183,558","110,219","56,900","35,870","13,731","3,718","73,339","1,957","14,726","56,656","149,884","43,359","106,525","333,442"
1993,Q4,"142,089","100,699","51,996","31,255","13,730","3,718","41,390","2,427","10,811","28,152","176,117","38,542","137,575","318,206"
1994,Q1,"181,142","120,017","60,874","31,968","22,802","4,373","61,125","2,948","16,171","42,006","157,215","41,595","115,620","338,357"
1994,Q2,"183,620","123,141","63,532","32,433","22,803","4,373","60,479","2,990","16,428","41,061","194,349","67,147","127,202","377,969"
1994,Q3,"198,581","127,308","66,601","33,532","22,802","4,373","71,273","3,458","19,087","48,728","175,801","53,225","122,576","374,382"
1994,Q4,"190,019","130,836","69,275","34,385","22,803","4,373","59,183","2,945","16,161","40,077","194,900","42,687","152,213","384,919"
1995,Q1,"203,901","131,695","68,085","38,341","20,648","4,621","72,206","3,818","16,811","51,577","228,558","74,255","154,303","432,459"
1995,Q2,"204,066","130,753","66,651","39,106","20,648","4,348","73,313","3,930","17,182","52,201","210,938","84,726","126,212","415,004"
1995,Q3,"217,199","138,410","71,395","42,233","20,648","4,134","78,789","4,207","18,325","56,257","224,003","65,160","158,843","441,202"
1995,Q4,"213,117","142,076","74,162","43,230","20,648","4,036","71,041","3,764","16,623","50,654","240,990","60,038","180,952","454,107"
1996,Q1,"223,497","144,526","72,732","41,661","26,208","3,925","78,971","3,966","18,464","56,541","234,525","78,757","155,768","458,022"
