"Table 12.1 :  Gross fixed capital formation, chain volume measures [reference year = 2002] classified by type of capital goods (original) y-o-y growth rate",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,(1)Construction , (1.1)Private, (1.1.1)Dwellings (Construction-private),(1.1.2)Non-Dwellings  (Construction-private) ,(1.1.3)Others construction  (Construction-private),(1.1.4)Cost of ownership transfer  (Construction-private),(1.2)Public ,(1.2.1)Dwellings (Construction-pubic) ,(1.2.2)Non-Dwellings (Construction-pubic) ,(1.2.3)Others construction Services (Construction-pubic) ,(2)Machinery and equipment ,(2.1)Transport Equipment (Machinery and equipment) ,(2.2)Other machinery and equipment ,(3)Gross Fixed Capital Formation 
1993,Q1,,,,,,,,,,,,,,
1993,Q2,,,,,,,,,,,,,,
1993,Q3,,,,,,,,,,,,,,
1993,Q4,,,,,,,,,,,,,,
1994,Q1,15.2 ,0.7 ,5.6 ,-26.1 ,61.4 ,2.4 ,61.9 ,28.2 ,50.6 ,70.2 ,-2.1 ,-19.1 ,5.4 ,6.6 
1994,Q2,11.1 ,2.2 ,3.2 ,-21.0 ,61.5 ,16.6 ,35.2 ,10.5 ,49.6 ,32.3 ,17.8 ,-16.9 ,48.6 ,14.4 
1994,Q3,6.2 ,14.2 ,14.3 ,-7.6 ,61.0 ,69.5 ,-5.9 ,69.9 ,26.3 ,-17.0 ,11.8 ,12.3 ,11.3 ,8.7 
1994,Q4,26.7 ,22.2 ,25.5 ,1.6 ,60.3 ,18.5 ,38.1 ,21.3 ,45.5 ,36.8 ,7.7 ,10.4 ,6.0 ,16.4 
1995,Q1,10.0 ,7.1 ,8.9 ,18.0 ,-13.6 ,12.1 ,15.7 ,25.7 ,2.0 ,20.3 ,34.7 ,34.0 ,35.1 ,21.4 
1995,Q2,10.2 ,5.1 ,4.6 ,19.5 ,-13.6 ,3.4 ,20.7 ,31.2 ,3.4 ,26.8 ,6.5 ,31.6 ,-6.1 ,8.4 
1995,Q3,4.1 ,4.4 ,2.6 ,20.1 ,-12.5 ,-3.1 ,3.5 ,17.0 ,-8.9 ,7.4 ,18.7 ,7.1 ,23.5 ,10.9 
1995,Q4,6.4 ,2.2 ,0.6 ,18.6 ,-9.4 ,-32.9 ,15.6 ,19.5 ,-2.2 ,22.6 ,9.1 ,13.2 ,8.2 ,7.8 
1996,Q1,5.4 ,5.2 ,2.6 ,4.7 ,20.7 ,-21.1 ,5.9 ,1.0 ,6.7 ,6.0 ,-0.7 ,5.1 ,-2.5 ,2.2 
1996,Q2,6.9 ,2.8 ,1.9 ,-6.1 ,22.9 ,3.4 ,14.2 ,8.5 ,16.4 ,13.9 ,3.6 ,6.2 ,0.0 ,5.2 
1996,Q3,13.0 ,-4.0 ,-2.9 ,-17.8 ,21.7 ,-12.6 ,43.8 ,36.7 ,50.9 ,41.9 ,3.6 ,27.2 ,-5.7 ,8.2 
1996,Q4,4.0 ,-9.0 ,-10.3 ,-22.2 ,22.9 ,-8.6 ,29.5 ,14.9 ,22.9 ,32.7 ,19.4 ,9.3 ,23.7 ,12.2 
1997,Q1,-29.6 ,-48.1 ,-51.6 ,-29.5 ,-74.4 ,-9.8 ,4.0 ,18.1 ,-9.8 ,7.5 ,0.9 ,-6.3 ,4.4 ,-14.1 
1997,Q2,-21.3 ,-45.7 ,-50.4 ,-17.2 ,-75.9 ,-37.0 ,17.4 ,16.7 ,-9.9 ,26.4 ,-10.1 ,-37.9 ,12.1 ,-15.7 
1997,Q3,-14.6 ,-50.1 ,-55.8 ,-21.6 ,-75.8 ,-30.1 ,27.8 ,40.3 ,-3.9 ,38.1 ,-18.8 ,-43.8 ,-4.4 ,-16.7 
1997,Q4,-33.9 ,-52.7 ,-60.6 ,-23.4 ,-72.8 ,-35.4 ,-8.1 ,-3.5 ,-29.1 ,-2.3 ,-43.1 ,-47.7 ,-41.2 ,-39.1 
1998,Q1,-24.9 ,-39.2 ,-46.1 ,-35.3 ,-12.9 ,-49.4 ,-12.0 ,-28.8 ,4.1 ,-15.1 ,-51.4 ,-66.2 ,-46.0 ,-40.9 
1998,Q2,-44.4 ,-52.8 ,-60.1 ,-52.3 ,-12.1 ,-58.4 ,-38.1 ,-45.4 ,-20.9 ,-41.7 ,-57.1 ,-67.5 ,-52.4 ,-51.3 
1998,Q3,-39.8 ,-55.5 ,-66.0 ,-52.8 ,-14.0 ,-60.4 ,-32.4 ,-60.5 ,-34.4 ,-29.8 ,-53.4 ,-56.2 ,-52.7 ,-46.7 
1998,Q4,-33.0 ,-56.0 ,-64.5 ,-56.4 ,-23.3 ,-56.3 ,-16.6 ,-37.5 ,-12.7 ,-16.1 ,-37.4 ,-38.4 ,-37.5 ,-35.4 
1999,Q1,-25.8 ,-41.4 ,-50.1 ,-42.3 ,-10.0 ,-39.1 ,-16.1 ,-34.0 ,-31.8 ,-9.6 ,-22.2 ,-45.1 ,-17.8 ,-23.9 
1999,Q2,1.8 ,-23.1 ,-27.4 ,-26.7 ,-6.6 ,-3.4 ,15.8 ,-15.8 ,-18.8 ,28.8 ,7.3 ,17.2 ,5.0 ,4.5 
1999,Q3,-4.1 ,-8.4 ,-2.8 ,-17.5 ,-1.3 ,10.7 ,-2.8 ,38.9 ,-4.7 ,-4.1 ,8.6 ,41.3 ,0.3 ,1.3 
1999,Q4,-16.1 ,-9.3 ,-0.5 ,-18.2 ,-6.5 ,-5.0 ,-18.7 ,-20.5 ,-18.1 ,-18.7 ,20.5 ,85.6 ,4.9 ,3.3 
2000,Q1,5.3 ,5.0 ,8.9 ,10.7 ,-13.6 ,1.2 ,5.4 ,38.0 ,-17.2 ,9.6 ,33.1 ,229.7 ,5.8 ,19.6 
2000,Q2,-15.5 ,15.9 ,31.5 ,18.6 ,-14.0 ,-13.8 ,-27.2 ,-5.3 ,-29.2 ,-27.7 ,9.3 ,-0.1 ,12.2 ,-3.1 
2000,Q3,-13.9 ,15.3 ,33.3 ,16.6 ,-16.0 ,-11.3 ,-22.4 ,-27.4 ,-30.4 ,-20.3 ,9.8 ,13.2 ,8.3 ,-2.8 
2000,Q4,-14.0 ,20.3 ,40.1 ,17.2 ,-6.2 ,0.6 ,-28.3 ,-28.1 ,-44.6 ,-24.6 ,11.7 ,36.3 ,0.2 ,1.2 
2001,Q1,-5.1 ,8.9 ,30.3 ,-3.9 ,-0.9 ,-14.4 ,-11.2 ,-29.1 ,-29.8 ,-6.7 ,0.1 ,-32.2 ,14.5 ,-2.1 
2001,Q2,-4.3 ,5.5 ,19.5 ,-6.8 ,-0.8 ,4.7 ,-10.2 ,-13.9 ,-21.2 ,-7.8 ,15.4 ,45.0 ,7.4 ,7.1 
2001,Q3,10.0 ,9.1 ,24.1 ,-3.9 ,-2.1 ,13.9 ,10.5 ,7.5 ,-0.4 ,12.7 ,1.0 ,-7.7 ,4.5 ,4.3 
