"Table 12 :  Gross fixed capital formation, chain volume measures [reference year = 2002] classified by type of capital goods (original)",,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,
,,(1)Construction , (1.1)Private, (1.1.1)Dwellings (Construction-private),(1.1.2)Non-Dwellings  (Construction-private) ,(1.1.3)Others construction  (Construction-private),(1.1.4)Cost of ownership transfer  (Construction-private),(1.2)Public ,(1.2.1)Dwellings (Construction-pubic) ,(1.2.2)Non-Dwellings (Construction-pubic) ,(1.2.3)Others construction Services (Construction-pubic) ,(2)Machinery and equipment ,(2.1)Transport Equipment (Machinery and equipment) ,(2.2)Other machinery and equipment ,(3)Gross Fixed Capital Formation 
1993,Q1,"210,288","159,299","78,141","56,581","19,096","5,465","50,414","3,078","14,037","33,127","274,943","88,781","183,314","489,903"
1993,Q2,"217,685","158,014","80,821","53,269","19,092","4,791","59,206","3,534","14,278","41,304","275,430","129,501","143,793","499,025"
1993,Q3,"247,316","146,877","76,979","47,439","19,094","3,277","100,532","2,665","19,749","78,283","269,429","81,874","184,673","528,543"
1993,Q4,"199,515","142,043","73,041","44,445","18,339","6,494","57,098","3,304","14,570","39,099","316,966","74,349","238,837","514,354"
1994,Q1,"242,230","160,335","82,497","41,800","30,830","5,595","81,604","3,945","21,139","56,389","269,188","71,849","193,196","522,250"
1994,Q2,"241,927","161,561","83,439","42,093","30,830","5,588","80,061","3,904","21,353","54,655","324,483","107,605","213,612","570,852"
1994,Q3,"262,568","167,699","87,984","43,815","30,734","5,556","94,614","4,527","24,948","64,974","301,147","91,939","205,525","574,384"
1994,Q4,"252,767","173,536","91,644","45,156","29,403","7,693","78,865","4,009","21,195","53,504","341,395","82,118","253,281","598,532"
1995,Q1,"266,508","171,782","89,817","49,339","26,643","6,273","94,427","4,960","21,553","67,819","362,549","96,297","261,004","633,755"
1995,Q2,"266,678","169,767","87,304","50,284","26,643","5,780","96,622","5,122","22,088","69,313","345,724","141,655","200,653","618,856"
1995,Q3,"273,242","174,994","90,300","52,617","26,897","5,386","97,947","5,296","22,731","69,812","357,348","98,451","253,838","636,883"
1995,Q4,"268,923","177,418","92,229","53,569","26,643","5,164","91,182","4,791","20,722","65,579","372,524","92,968","273,974","645,499"
1996,Q1,"281,002","180,699","92,185","51,680","32,165","4,950","99,992","5,009","22,997","71,882","360,008","101,177","254,351","647,974"
1996,Q2,"285,059","174,501","88,926","47,227","32,732","5,975","110,305","5,559","25,705","78,918","358,312","150,498","200,580","651,023"
1996,Q3,"308,880","167,955","87,641","43,237","32,731","4,707","140,799","7,238","34,307","99,069","370,256","125,224","239,244","688,959"
1996,Q4,"279,765","161,486","82,712","41,683","32,731","4,721","118,099","5,504","25,462","87,047","444,803","101,628","338,941","724,143"
1997,Q1,"197,807","93,747","44,654","36,432","8,235","4,464","103,989","5,917","20,752","77,250","363,275","94,842","265,486","556,769"
1997,Q2,"224,340","94,809","44,082","39,098","7,882","3,763","129,488","6,486","23,172","99,776","322,113","93,442","224,947","549,091"
1997,Q3,"263,792","83,865","38,769","33,909","7,918","3,290","179,968","10,153","32,957","136,772","300,639","70,396","228,767","574,077"
1997,Q4,"184,963","76,459","32,607","31,919","8,891","3,048","108,474","5,310","18,061","85,075","253,015","53,164","199,331","441,205"
1998,Q1,"148,566","57,044","24,065","23,564","7,172","2,260","91,520","4,213","21,603","65,587","176,374","32,016","143,374","328,991"
1998,Q2,"124,842","44,709","17,571","18,665","6,928","1,566","80,152","3,539","18,338","58,182","138,299","30,413","107,007","267,152"
1998,Q3,"158,768","37,283","13,183","16,007","6,806","1,304","121,633","4,008","21,616","95,979","140,032","30,843","108,299","306,096"
1998,Q4,"124,008","33,636","11,585","13,920","6,817","1,333","90,459","3,317","15,775","71,348","158,329","32,734","124,631","285,039"
1999,Q1,"110,188","33,418","12,010","13,603","6,457","1,377","76,827","2,779","14,730","59,283","137,205","17,584","117,902","250,204"
1999,Q2,"127,067","34,376","12,749","13,674","6,470","1,512","92,791","2,981","14,895","74,923","148,432","35,652","112,311","279,217"
1999,Q3,"152,220","34,141","12,809","13,202","6,720","1,444","118,258","5,569","20,609","92,033","152,132","43,579","108,660","310,058"
1999,Q4,"104,030","30,519","11,526","11,388","6,375","1,266","73,573","2,637","12,914","58,006","190,800","60,770","130,676","294,498"
2000,Q1,"115,997","35,074","13,079","15,052","5,577","1,394","80,999","3,834","12,192","64,953","182,659","57,980","124,737","299,121"
2000,Q2,"107,327","39,838","16,770","16,223","5,563","1,304","67,525","2,824","10,550","54,136","162,254","35,630","126,057","270,462"
2000,Q3,"131,076","39,376","17,074","15,398","5,643","1,281","91,785","4,041","14,335","73,390","167,053","49,313","117,648","301,282"
2000,Q4,"89,482","36,727","16,146","13,351","5,978","1,273","52,769","1,895","7,151","43,720","213,158","82,830","130,988","298,173"
2001,Q1,"110,077","38,209","17,037","14,470","5,528","1,193","71,915","2,720","8,562","60,629","182,754","39,311","142,840","292,784"
2001,Q2,"102,673","42,030","20,046","15,114","5,516","1,365","60,650","2,432","8,313","49,900","187,235","51,666","135,352","289,547"
2001,Q3,"144,238","42,964","21,188","14,800","5,524","1,459","101,377","4,346","14,278","82,741","168,695","45,500","122,962","314,207"
2001,Q4,"92,499","42,082","20,788","14,183","5,555","1,562","50,400","1,908","6,177","42,312","202,413","69,990","132,685","293,951"
2002,Q1,"115,308","46,705","23,742","15,665","5,702","1,600","68,613","2,062","9,506","57,041","186,117","56,422","130,107","301,351"
