Table 13 : Gross fixed capital formation at current market prices classified by private and public Institutions (original),,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation),,,
1993,Q1,"154,814","117,958","36,856","152,516","138,674","13,842","307,330","256,632","50,698",,,
1993,Q2,"162,871","118,966","43,905","152,995","142,366","10,629","315,866","261,332","54,534",,,
1993,Q3,"183,558","110,219","73,339","149,885","137,433","12,452","333,443","247,652","85,791",,,
1993,Q4,"142,089","100,699","41,390","176,117","156,737","19,380","318,206","257,436","60,770",,,
1994,Q1,"181,142","120,017","61,125","157,215","143,283","13,932","338,357","263,300","75,057",,,
1994,Q2,"183,620","123,141","60,479","194,348","183,150","11,198","377,968","306,291","71,677",,,
1994,Q3,"198,581","127,308","71,273","175,801","150,538","25,263","374,382","277,846","96,536",,,
1994,Q4,"190,019","130,836","59,183","194,900","175,291","19,609","384,919","306,127","78,792",,,
1995,Q1,"203,901","131,695","72,206","228,558","202,487","26,071","432,459","334,182","98,277",,,
1995,Q2,"204,066","130,753","73,313","210,938","197,447","13,491","415,004","328,200","86,804",,,
1995,Q3,"217,199","138,410","78,789","224,004","207,322","16,682","441,203","345,732","95,471",,,
1995,Q4,"213,117","142,076","71,041","240,989","214,249","26,740","454,106","356,325","97,781",,,
1996,Q1,"223,496","144,526","78,970","234,525","219,384","15,141","458,021","363,910","94,111",,,
1996,Q2,"227,286","139,943","87,343","234,349","209,611","24,738","461,635","349,554","112,081",,,
1996,Q3,"249,972","135,308","114,664","241,815","197,409","44,406","491,787","332,717","159,070",,,
1996,Q4,"230,526","133,548","96,978","290,239","267,337","22,902","520,765","400,885","119,880",,,
1997,Q1,"166,850","77,659","89,191","261,928","234,012","27,916","428,778","311,671","117,107",,,
1997,Q2,"181,918","78,778","103,140","231,374","209,054","22,320","413,292","287,832","125,460",,,
1997,Q3,"230,239","72,106","158,133","217,800","181,053","36,747","448,039","253,159","194,880",,,
1997,Q4,"157,259","67,559","89,700","182,938","150,794","32,144","340,197","218,353","121,844",,,
1998,Q1,"139,700","53,914","85,786","147,793","120,707","27,086","287,493","174,621","112,872",,,
1998,Q2,"122,659","42,905","79,754","115,420","98,547","16,873","238,079","141,452","96,627",,,
1998,Q3,"156,773","36,084","120,689","116,254","89,796","26,458","273,027","125,880","147,147",,,
1998,Q4,"110,805","32,491","78,314","132,074","109,338","22,736","242,879","141,829","101,050",,,
1999,Q1,"105,791","32,133","73,658","117,707","98,939","18,768","223,498","131,072","92,426",,,
1999,Q2,"121,615","32,806","88,809","127,131","102,042","25,089","248,746","134,848","113,898",,,
1999,Q3,"145,794","32,598","113,196","118,049","88,428","29,621","263,843","121,026","142,817",,,
1999,Q4,"98,707","29,444","69,263","142,810","123,972","18,838","241,517","153,416","88,101",,,
2000,Q1,"112,809","33,997","78,812","176,764","132,069","44,695","289,573","166,066","123,507",,,
2000,Q2,"104,686","38,731","65,955","145,854","129,285","16,569","250,540","168,016","82,524",,,
2000,Q3,"126,689","38,012","88,677","158,035","126,054","31,981","284,724","164,066","120,658",,,
2000,Q4,"83,968","35,397","48,571","185,005","150,762","34,243","268,973","186,159","82,814",,,
2001,Q1,"108,673","37,827","70,846","203,900","177,265","26,635","312,573","215,092","97,481",,,
2001,Q2,"101,722","41,869","59,853","202,279","164,809","37,470","304,001","206,678","97,323",,,
2001,Q3,"142,402","42,800","99,602","170,201","134,041","36,160","312,603","176,841","135,762",,,
2001,Q4,"91,420","41,439","49,981","180,979","159,635","21,344","272,399","201,074","71,325",,,
2002,Q1,"113,231","45,721","67,510","203,046","177,066","25,980","316,277","222,787","93,490",,,
2002,Q2,"121,407","50,110","71,297","193,527","164,310","29,217","314,934","214,420","100,514",,,
2002,Q3,"144,718","52,348","92,370","197,545","159,563","37,982","342,263","211,911","130,352",,,
2002,Q4,"94,907","50,586","44,321","195,825","174,270","21,555","290,732","224,856","65,876",,,
2003,Q1,"113,824","56,148","57,676","235,799","215,746","20,053","349,623","271,894","77,729",,,
2003,Q2,"127,091","59,687","67,404","235,019","207,276","27,743","362,110","266,963","95,147",,,
2003,Q3,"160,803","65,026","95,777","222,753","182,432","40,321","383,556","247,458","136,098",,,
2003,Q4,"111,376","63,924","47,452","248,330","212,771","35,559","359,706","276,695","83,011",,,
2004,Q1,"131,081","69,357","61,724","260,135","237,083","23,052","391,216","306,440","84,776",,,
2004,Q2,"142,913","73,600","69,313","285,329","255,339","29,990","428,242","328,939","99,303",,,
2004,Q3,"180,238","77,783","102,455","267,839","224,782","43,057","448,077","302,565","145,512",,,
2004,Q4,"137,546","74,869","62,677","324,045","283,181","40,864","461,591","358,050","103,541",,,
