"Table 14.1 : Gross fixed capital formation, chain volume measures  [reference year = 2002] classified by private and public Institutions (original) y-o-y growth rate",,,,,,,,,,
,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation)
1993,Q1,,,,,,,,,
1993,Q2,,,,,,,,,
1993,Q3,,,,,,,,,
1993,Q4,,,,,,,,,
1994,Q1,15.2,0.7,61.9,-2.1,-1.9,-3.9,6.6,-0.7,44.1
1994,Q2,11.1,2.2,35.2,17.8,19.0,2.3,14.4,11.5,28.8
1994,Q3,6.2,14.2,-5.9,11.8,4.6,94.8,8.7,8.8,7.9
1994,Q4,26.7,22.2,38.1,7.7,9.5,-7.0,16.4,14.6,23.7
1995,Q1,10.0,7.1,15.7,34.7,30.9,73.4,21.4,19.9,26.4
1995,Q2,10.2,5.1,20.7,6.5,6.3,10.6,8.4,5.9,18.9
1995,Q3,4.1,4.4,3.5,18.7,28.1,-39.7,10.9,17.2,-7.5
1995,Q4,6.4,2.2,15.6,9.1,7.4,24.5,7.8,5.3,18.0
1996,Q1,5.4,5.2,5.9,-0.7,5.2,-45.6,2.2,5.2,-7.6
1996,Q2,6.9,2.8,14.2,3.6,-1.2,76.7,5.2,0.4,23.3
1996,Q3,13.0,-4.0,43.8,3.6,-9.0,167.1,8.2,-7.0,64.9
1996,Q4,4.0,-9.0,29.5,19.4,24.3,-18.8,12.2,11.0,16.5
1997,Q1,-29.6,-48.1,4.0,0.9,-3.9,72.3,-14.1,-21.6,14.7
1997,Q2,-21.3,-45.7,17.4,-10.1,-9.2,-17.7,-15.7,-23.9,9.7
1997,Q3,-14.6,-50.1,27.8,-18.8,-17.0,-27.0,-16.7,-30.5,12.4
1997,Q4,-33.9,-52.7,-8.1,-43.1,-48.3,18.3,-39.1,-49.7,-3.1
1998,Q1,-24.9,-39.2,-12.0,-51.4,-55.6,-18.0,-40.9,-51.4,-13.3
1998,Q2,-44.4,-52.8,-38.1,-57.1,-59.2,-37.0,-51.3,-57.5,-38.1
1998,Q3,-39.8,-55.5,-32.4,-53.4,-56.0,-41.2,-46.7,-55.9,-34.2
1998,Q4,-33.0,-56.0,-16.6,-37.4,-38.4,-32.9,-35.4,-43.7,-20.5
1999,Q1,-25.8,-41.4,-16.1,-22.2,-20.3,-30.5,-23.9,-27.0,-19.5
1999,Q2,1.8,-23.1,15.8,7.3,-0.7,54.5,4.5,-7.5,22.7
1999,Q3,-4.1,-8.4,-2.8,8.6,4.7,23.0,1.3,1.0,1.7
1999,Q4,-16.1,-9.3,-18.7,20.5,28.6,-16.8,3.3,20.1,-18.2
2000,Q1,5.3,5.0,5.4,33.1,17.1,112.5,19.6,14.1,27.1
2000,Q2,-15.5,15.9,-27.2,9.3,21.0,-34.5,-3.1,19.8,-28.9
2000,Q3,-13.9,15.3,-22.4,9.8,12.4,1.7,-2.8,13.3,-17.4
2000,Q4,-14.0,20.3,-28.3,11.7,4.8,61.1,1.2,7.4,-9.3
2001,Q1,-5.1,8.9,-11.2,0.1,15.3,-42.3,-2.1,13.9,-22.0
2001,Q2,-4.3,5.5,-10.2,15.4,6.3,77.9,7.1,6.0,8.1
2001,Q3,10.0,9.1,10.5,1.0,1.2,0.9,4.3,2.7,7.5
2001,Q4,3.4,14.6,-4.5,-5.0,2.0,-40.3,-1.4,4.8,-18.1
2002,Q1,4.8,22.2,-4.6,1.8,3.5,-7.7,2.9,7.2,-5.6
2002,Q2,17.6,18.6,16.8,1.2,4.8,-14.3,7.1,7.6,5.8
2002,Q3,-0.5,21.1,-9.7,21.3,24.7,9.1,10.7,23.5,-4.8
2002,Q4,2.4,19.3,-11.8,3.6,3.9,0.5,3.8,6.9,-8.0
2003,Q1,-4.8,16.2,-19.1,16.1,21.6,-19.4,8.1,20.3,-19.1
2003,Q2,0.9,15.0,-9.1,14.6,18.5,-6.4,9.3,17.7,-8.3
2003,Q3,6.4,19.8,-1.2,14.1,17.0,2.2,11.1,17.7,-0.2
2003,Q4,13.1,21.0,4.3,26.7,22.6,61.9,22.2,22.2,22.9
2004,Q1,10.9,18.8,3.2,11.6,11.2,15.2,11.3,12.9,6.5
2004,Q2,7.2,17.4,-1.9,20.3,21.9,9.5,15.5,20.8,1.5
2004,Q3,6.4,13.5,1.4,16.0,18.4,4.1,12.3,17.3,2.3
2004,Q4,13.9,10.4,18.5,28.4,30.7,12.7,23.9,26.3,15.7
2005,Q1,13.0,8.8,17.8,19.7,16.8,46.9,17.4,15.0,25.9
2005,Q2,9.9,5.7,14.3,17.6,14.4,42.6,14.9,12.3,23.0
2005,Q3,8.8,6.1,10.7,17.2,19.1,6.5,14.1,16.0,9.6
2005,Q4,6.5,4.5,9.0,13.7,13.6,15.2,11.4,11.7,11.0
2006,Q1,5.7,3.3,8.2,7.0,8.0,-0.7,6.5,6.9,5.3
2006,Q2,6.1,3.0,9.2,5.4,6.6,-2.1,5.6,5.8,5.2
2006,Q3,1.6,0.5,2.4,0.1,1.3,-7.3,0.5,1.1,-0.6
2006,Q4,1.9,1.7,2.3,-2.5,-2.2,-5.0,-1.2,-1.4,-0.6
2007,Q1,0.7,-0.9,2.3,-1.7,-2.1,2.0,-0.9,-1.8,2.2
2007,Q2,0.8,-1.5,2.9,-0.9,-0.7,-2.2,-0.3,-0.9,1.2
2007,Q3,1.0,2.3,0.0,3.7,1.7,17.5,2.8,1.8,4.8
2007,Q4,12.5,-5.6,32.9,2.3,5.1,-18.9,5.0,3.1,12.5
2008,Q1,2.2,2.2,2.3,10.8,12.0,2.2,7.8,9.8,2.3
2008,Q2,-4.4,3.1,-10.6,8.0,9.7,-3.2,3.7,8.3,-8.3
2008,Q3,-8.6,0.2,-14.9,8.7,11.3,-6.3,2.3,8.8,-12.4
2008,Q4,-13.6,3.3,-26.9,1.1,-1.1,23.6,-3.5,-0.4,-12.9
2009,Q1,-6.9,-10.6,-3.7,-25.2,-26.8,-11.9,-19.0,-23.4,-5.8
2009,Q2,11.0,-7.7,28.4,-26.7,-31.6,9.7,-14.3,-26.5,22.4
2009,Q3,7.4,-8.5,19.7,-14.8,-17.9,5.7,-7.0,-15.9,15.5
2009,Q4,5.3,-2.2,13.5,-7.2,-5.9,-17.3,-3.9,-5.2,1.5
2010,Q1,11.1,16.9,5.8,20.0,21.3,11.0,16.6,20.1,7.0
2010,Q2,8.6,11.6,6.6,20.5,31.7,-31.3,15.2,26.3,-5.0
2010,Q3,10.6,15.9,7.7,9.3,15.0,-19.9,9.6,15.2,-0.6
2010,Q4,7.5,12.2,2.3,5.2,7.7,-16.5,6.5,8.7,-3.7
2011,Q1,-1.2,6.5,-8.6,17.7,18.4,12.9,11.2,15.6,-2.0
