Table 14 : Gross fixed capital formation chain volume measures [reference year = 2002] classified by private and public institutions (original),,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation),,
1993,Q1,"210,288","159,299","50,414","274,943","251,814","24,537","489,903","428,695","73,870",,
1993,Q2,"217,685","158,014","59,206","275,430","258,368","18,442","499,025","433,131","78,376",,
1993,Q3,"247,316","146,877","100,532","269,429","249,664","21,130","528,543","411,342","124,858",,
1993,Q4,"199,515","142,043","57,098","316,966","282,873","35,752","514,354","435,888","90,094",,
1994,Q1,"242,230","160,335","81,604","269,188","246,991","23,575","522,250","425,480","106,436",,
1994,Q2,"241,927","161,561","80,061","324,483","307,490","18,865","570,852","482,746","100,917",,
1994,Q3,"262,568","167,699","94,614","301,147","261,191","41,171","574,384","447,654","134,782",,
1994,Q4,"252,767","173,536","78,865","341,395","309,816","33,253","598,532","499,668","111,472",,
1995,Q1,"266,508","171,782","94,427","362,549","323,252","40,875","633,755","510,222","134,510",,
1995,Q2,"266,678","169,767","96,622","345,724","326,974","20,863","618,856","511,243","119,952",,
1995,Q3,"273,242","174,994","97,947","357,348","334,611","24,813","636,883","524,718","124,688",,
1995,Q4,"268,923","177,418","91,182","372,524","332,759","41,406","645,499","525,939","131,521",,
1996,Q1,"281,002","180,699","99,992","360,008","340,022","22,234","647,974","536,654","124,316",,
1996,Q2,"285,059","174,501","110,305","358,312","323,093","36,865","651,023","513,260","147,938",,
1996,Q3,"308,880","167,955","140,799","370,256","304,544","66,281","688,959","487,920","205,665",,
1996,Q4,"279,765","161,486","118,099","444,803","413,731","33,602","724,143","583,619","153,255",,
1997,Q1,"197,807","93,747","103,989","363,275","326,604","38,302","556,769","420,861","142,578",,
1997,Q2,"224,340","94,809","129,488","322,113","293,383","30,328","549,091","390,610","162,307",,
1997,Q3,"263,792","83,865","179,968","300,639","252,873","48,413","574,077","339,218","231,073",,
1997,Q4,"184,963","76,459","108,474","253,015","213,845","39,755","441,205","293,426","148,553",,
1998,Q1,"148,566","57,044","91,520","176,374","145,021","31,394","328,991","204,717","123,656",,
1998,Q2,"124,842","44,709","80,152","138,299","119,596","19,096","267,152","166,155","100,488",,
1998,Q3,"158,768","37,283","121,633","140,032","111,376","28,457","306,096","149,754","152,008",,
