Table 15.1 :  Gross fixed capital formation at current market prices classified by private and public institutions (seasonally adjusted) q-o-q growth Rate,,,,,,,,,,
,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation)
1993,Q1,,,,,,,,,
1993,Q2,7.3,1.7,23.3,6.8,8.2,7.5,3.9,2.5,16.5
1993,Q3,5.5,-7.6,42.8,-0.3,2.7,-23.3,3.4,-0.9,17.6
1993,Q4,-12.3,-8.1,-28.2,7.2,2.7,68.3,-1.9,-0.8,-1.4
1994,Q1,18.7,18.1,32.6,-9.4,-9.2,-27.0,4.9,1.8,10.7
1994,Q2,2.9,3.5,1.1,31.5,34.5,11.5,12.9,17.5,2.4
1994,Q3,0.8,2.7,0.9,-8.4,-12.6,46.1,-4.1,-5.5,-0.2
1994,Q4,7.4,3.1,4.1,1.3,4.3,-13.7,6.3,4.8,14.1
1995,Q1,2.6,0.2,14.2,19.5,15.5,34.1,11.6,8.8,14.2
1995,Q2,1.0,0.4,1.4,-1.5,2.8,-28.8,-2.7,0.0,-6.8
1995,Q3,-3.7,4.5,-10.4,6.2,11.3,-22.6,0.9,9.4,-19.6
1995,Q4,11.8,2.8,14.6,-1.4,-8.3,90.8,7.6,-2.9,43.9
1996,Q1,2.9,2.1,8.8,0.0,3.7,-44.1,1.0,2.5,-8.9
1996,Q2,2.4,-2.2,8.7,6.5,0.6,116.4,2.4,-1.6,22.4
1996,Q3,-6.2,-5.0,2.5,2.5,-0.1,13.8,-1.3,-1.2,2.2
1996,Q4,10.2,-0.8,13.3,10.1,18.8,-36.7,12.6,12.1,7.5
1997,Q1,-27.7,-41.4,-7.0,-6.8,-10.5,22.1,-17.5,-21.6,-5.3
1997,Q2,8.4,1.7,10.9,-6.1,-6.2,-2.0,-1.7,-5.1,6.8
1997,Q3,1.9,-10.1,12.1,-6.3,-7.0,8.1,-1.4,-7.9,11.3
1997,Q4,-12.2,-4.9,-17.3,-23.2,-28.3,10.4,-17.7,-21.0,-9.2
1998,Q1,-12.5,-19.7,-5.5,-16.5,-17.7,-13.5,-16.1,-19.2,-9.2
1998,Q2,-13.8,-21.4,-11.1,-17.7,-14.6,-32.1,-15.3,-16.7,-16.8
1998,Q3,-0.2,-16.8,6.3,1.8,-0.4,12.9,3.5,-5.3,8.5
1998,Q4,-3.2,-7.3,1.5,4.0,3.9,6.4,-1.5,2.0,3.7
1999,Q1,-8.7,-1.5,-10.9,-9.3,-8.2,-11.3,-10.8,-7.6,-12.6
1999,Q2,11.1,-0.5,15.1,13.8,8.4,31.8,14.5,6.1,18.7
1999,Q3,-6.7,-0.8,-11.4,-4.8,-3.5,-9.7,-4.0,-2.7,-10.8
1999,Q4,-1.9,-5.4,2.8,11.7,19.3,-20.4,3.2,14.1,-2.9
2000,Q1,3.3,13.4,-0.7,22.9,5.5,160.6,13.0,6.3,29.5
2000,Q2,-9.6,10.0,-17.9,-13.3,3.6,-66.5,-10.9,4.9,-36.4
2000,Q3,-5.8,-1.5,-8.1,13.4,10.3,56.0,4.6,7.6,4.8
2000,Q4,-0.5,-1.0,-1.7,9.3,2.3,35.2,7.3,2.3,12.4
2001,Q1,12.5,3.5,20.0,6.2,13.2,-13.7,6.8,11.0,4.7
2001,Q2,-8.6,6.6,-17.2,4.3,-0.9,21.3,0.1,0.1,-5.7
2001,Q3,9.7,2.7,13.1,-10.5,-6.8,-20.7,-3.3,-4.9,1.2
2001,Q4,-1.6,4.0,-3.9,0.0,2.5,-24.3,-1.5,3.2,-12.4
2002,Q1,5.2,5.9,5.8,6.5,4.8,36.6,5.8,4.8,15.0
2002,Q2,4.0,6.1,1.8,-0.9,-1.3,-6.3,1.5,0.3,0.3
2002,Q3,-4.6,4.4,-10.4,10.7,12.4,8.5,4.6,10.5,-4.9
2002,Q4,-1.1,4.0,-6.9,-6.6,-5.2,-27.4,-5.1,-3.1,-15.6
2003,Q1,3.0,6.4,1.7,13.5,15.9,4.8,9.9,13.6,3.4
2003,Q2,6.9,3.7,9.5,2.6,1.5,15.9,4.5,2.0,13.4
2003,Q3,3.4,8.1,0.9,4.0,2.3,21.2,3.8,3.8,6.2
2003,Q4,1.4,5.5,-5.7,4.3,1.5,10.0,2.8,2.4,-0.4
2004,Q1,2.8,4.4,3.1,0.0,5.3,-25.4,1.1,4.8,-8.3
2004,Q2,4.0,4.4,4.1,10.6,11.4,9.1,8.5,9.9,6.7
2004,Q3,4.9,3.8,7.4,5.1,3.6,21.4,4.7,3.7,11.2
2004,Q4,7.7,3.2,11.0,11.1,8.7,14.0,10.3,7.7,12.0
2005,Q1,1.8,2.6,1.0,5.6,6.8,6.2,4.4,5.6,2.0
2005,Q2,0.4,0.4,0.6,4.8,4.6,7.1,3.1,3.7,3.0
2005,Q3,3.9,2.0,4.9,2.9,5.1,-9.2,2.6,4.1,0.6
2005,Q4,3.5,4.1,4.3,-0.2,-3.5,13.4,1.8,-1.3,7.4
2006,Q1,2.8,0.5,4.4,3.6,5.5,-2.5,3.3,4.1,1.4
2006,Q2,0.7,1.3,0.2,1.2,1.6,-0.6,0.8,1.5,-0.6
2006,Q3,0.9,0.6,0.0,-3.7,-2.4,-11.2,-2.3,-1.9,-2.4
2006,Q4,2.8,3.8,3.7,2.1,-0.5,13.2,2.7,0.9,5.8
2007,Q1,0.8,-1.7,2.2,-3.8,-3.3,-2.1,-2.5,-3.5,1.0
2007,Q2,1.8,-1.1,4.5,4.7,5.4,0.6,3.7,4.1,2.4
2007,Q3,1.6,1.1,0.2,-1.5,-3.2,7.4,0.0,-2.3,3.8
2007,Q4,4.4,-4.3,16.4,6.6,10.0,-18.9,5.5,7.5,2.4
2008,Q1,1.7,12.6,-8.5,6.8,6.4,18.4,5.0,6.8,0.2
2008,Q2,-1.3,4.3,-5.6,1.4,1.2,3.6,0.6,2.0,-3.6
2008,Q3,0.1,2.3,-1.7,2.8,3.3,0.2,1.6,3.0,0.0
2008,Q4,-5.8,-9.7,-2.4,-0.8,-3.2,13.4,-1.6,-3.9,2.6
2009,Q1,-3.0,-8.1,1.9,-28.1,-27.9,-26.0,-21.2,-24.7,-8.7
2009,Q2,3.1,-0.4,5.5,7.1,4.0,30.5,6.4,3.3,12.6
2009,Q3,3.7,2.7,3.0,10.5,11.6,-5.0,8.5,9.7,1.0
2009,Q4,2.7,6.5,2.1,7.3,10.4,-6.0,4.9,10.0,-1.2
2010,Q1,4.1,8.4,0.6,-2.0,-1.3,-4.0,-0.1,-0.1,-0.7
2010,Q2,5.2,-0.5,8.9,4.9,7.5,-16.6,5.5,6.1,2.9
2010,Q3,-2.8,1.9,-6.5,5.9,5.3,12.3,2.9,4.4,-2.2
2010,Q4,1.3,5.6,-2.0,3.6,4.1,-1.5,2.6,5.0,-3.0
2011,Q1,1.3,8.7,-4.9,11.7,10.0,30.6,8.4,9.0,5.1
2011,Q2,-2.0,-2.8,-1.8,1.5,3.2,-13.8,0.2,2.2,-6.3
2011,Q3,3.6,3.6,5.0,-2.7,-3.0,-2.4,-0.8,-1.9,4.3
2011,Q4,-1.1,3.3,-7.9,-3.1,-2.0,-6.9,-2.2,-0.4,-8.0
2012,Q1,2.8,1.8,5.3,15.2,16.1,1.1,11.3,12.4,2.5
2012,Q2,5.3,4.9,5.6,2.4,0.9,21.1,3.0,1.8,10.0
2012,Q3,9.3,2.7,17.1,0.1,-1.7,7.2,3.1,-0.9,16.9
2012,Q4,2.7,3.1,3.0,4.2,6.7,-2.3,3.6,6.8,0.0
2013,Q1,-1.5,1.4,-5.7,-3.8,-5.8,8.6,-3.2,-5.1,-2.9
2013,Q2,-3.6,0.6,-7.6,-1.3,-1.9,5.8,-2.1,-1.3,-3.4
2013,Q3,-2.6,-0.3,-3.6,-1.7,1.1,-28.8,-1.8,0.9,-9.9
2013,Q4,-1.4,-2.5,-0.9,-5.2,-8.6,46.0,-4.1,-6.9,12.4
2014,Q1,-2.8,-3.1,-4.7,1.7,5.5,-32.3,0.1,3.0,-17.4
2014,Q2,5.7,2.3,10.9,5.3,5.4,4.1,5.7,4.8,11.6
2014,Q3,0.8,1.0,1.7,6.4,6.8,0.7,4.1,5.3,1.5
2014,Q4,1.6,3.8,-0.4,-12.5,-13.7,11.5,-8.0,-9.7,2.1
2015,Q1,5.6,-8.3,18.2,3.6,3.2,-0.5,4.3,0.3,11.8
2015,Q2,1.7,2.8,1.1,-0.5,-0.6,0.0,0.5,0.1,2.5
2015,Q3,-1.2,-0.9,0.7,2.3,-0.6,18.6,1.1,-0.5,4.2
2015,Q4,9.1,1.9,15.3,2.4,4.4,-0.6,4.3,4.2,11.2
2016,Q1,-1.8,1.0,-5.7,-0.5,0.3,-11.1,-0.8,0.0,-7.8
2016,Q2,1.6,-5.2,7.0,-3.1,-3.2,-2.9,-1.4,-3.6,5.9
2016,Q3,-3.4,0.8,-4.3,0.8,0.0,5.1,-0.5,0.3,-3.7
2016,Q4,5.2,-0.4,8.2,3.1,3.0,11.3,3.4,2.5,10.3
2017,Q1,-1.0,1.9,-3.4,2.3,2.6,-2.6,1.6,2.1,-3.1
2017,Q2,-4.5,1.4,-8.9,2.9,3.4,-2.6,-0.3,3.0,-8.7
