Table 15 :  Gross fixed capital formation at current market prices classified by private and public institutions (seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation),,,,,,,,,,,,,,,,,,,,
1993,Q1,"152,811","117,222","36,659","147,568","132,792","13,204","305,702","252,792","51,157",,,,,,,,,,,,,,,,,,,,
1993,Q2,"163,992","119,174","45,200","157,646","143,618","14,189","317,495","259,073","59,618",,,,,,,,,,,,,,,,,,,,
1993,Q3,"172,964","110,083","64,527","157,211","147,516","10,879","328,447","256,630","70,140",,,,,,,,,,,,,,,,,,,,
1993,Q4,"151,634","101,140","46,343","168,495","151,429","18,305","322,114","254,516","69,191",,,,,,,,,,,,,,,,,,,,
1994,Q1,"179,925","119,402","61,442","152,598","137,527","13,364","337,885","259,133","76,620",,,,,,,,,,,,,,,,,,,,
1994,Q2,"185,142","123,620","62,101","200,633","184,973","14,896","381,464","304,542","78,424",,,,,,,,,,,,,,,,,,,,
1994,Q3,"186,666","127,013","62,630","183,744","161,605","21,769","366,000","287,905","78,277",,,,,,,,,,,,,,,,,,,,
1994,Q4,"200,429","130,970","65,225","186,094","168,593","18,788","389,107","301,657","89,337",,,,,,,,,,,,,,,,,,,,
1995,Q1,"205,642","131,229","74,478","222,399","194,709","25,198","434,098","328,346","102,051",,,,,,,,,,,,,,,,,,,,
1995,Q2,"207,630","131,813","75,547","219,049","200,198","17,948","422,250","328,244","95,130",,,,,,,,,,,,,,,,,,,,
1995,Q3,"200,039","137,771","67,696","232,657","222,849","13,898","425,933","358,944","76,462",,,,,,,,,,,,,,,,,,,,
1995,Q4,"223,565","141,618","77,556","229,290","204,265","26,512","458,266","348,591","110,009",,,,,,,,,,,,,,,,,,,,
1996,Q1,"230,015","144,559","84,344","229,296","211,831","14,809","462,940","357,137","100,250",,,,,,,,,,,,,,,,,,,,
1996,Q2,"235,620","141,314","91,685","244,136","213,071","32,046","473,822","351,496","122,679",,,,,,,,,,,,,,,,,,,,
1996,Q3,"221,107","134,252","93,992","250,255","212,931","36,470","467,841","347,145","125,387",,,,,,,,,,,,,,,,,,,,
1996,Q4,"243,625","133,146","106,494","275,501","252,962","23,083","527,007","389,225","134,827",,,,,,,,,,,,,,,,,,,,
1997,Q1,"176,184","77,970","99,059","256,643","226,286","28,175","434,683","305,227","127,745",,,,,,,,,,,,,,,,,,,,
1997,Q2,"191,061","79,285","109,890","241,110","212,291","27,612","427,264","289,809","136,396",,,,,,,,,,,,,,,,,,,,
1997,Q3,"194,597","71,274","123,211","225,813","197,530","29,858","421,300","266,931","151,799",,,,,,,,,,,,,,,,,,,,
1997,Q4,"170,938","67,758","101,921","173,473","141,606","32,964","346,659","210,774","137,822",,,,,,,,,,,,,,,,,,,,
1998,Q1,"149,583","54,379","96,360","144,931","116,580","28,519","291,003","170,264","125,159",,,,,,,,,,,,,,,,,,,,
1998,Q2,"128,918","42,749","85,712","119,276","99,541","19,365","246,427","141,905","104,152",,,,,,,,,,,,,,,,,,,,
1998,Q3,"128,629","35,565","91,147","121,388","99,184","21,872","254,981","134,415","113,014",,,,,,,,,,,,,,,,,,,,
1998,Q4,"124,558","32,975","92,527","126,190","103,017","23,278","251,219","137,084","117,240",,,,,,,,,,,,,,,,,,,,
1999,Q1,"113,701","32,473","82,428","114,487","94,534","20,638","224,071","126,669","102,479",,,,,,,,,,,,,,,,,,,,
1999,Q2,"126,368","32,299","94,884","130,285","102,498","27,196","256,614","134,454","121,619",,,,,,,,,,,,,,,,,,,,
1999,Q3,"117,858","32,048","84,036","123,983","98,882","24,550","246,272","130,852","108,543",,,,,,,,,,,,,,,,,,,,
1999,Q4,"115,560","30,302","86,422","138,492","117,920","19,549","254,114","149,304","105,426",,,,,,,,,,,,,,,,,,,,
2000,Q1,"119,411","34,349","85,856","170,151","124,437","50,938","287,110","158,685","136,532",,,,,,,,,,,,,,,,,,,,
2000,Q2,"108,002","37,792","70,510","147,466","128,939","17,070","255,813","166,392","86,848",,,,,,,,,,,,,,,,,,,,
