"Table 16.1 : Gross fixed capital formation, chain volume measures  [reference year = 2002] classified by private and public Institutions (seasonally adjusted) q-o-q growth rate",,,,,,,,,,
,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation)
1993,Q1,,,,,,,,,
1993,Q2,5.7,0.5,21.0,4.4,2.8,1.3,1.2,-2.4,14.0
1993,Q3,6.1,-7.4,46.3,-1.6,1.0,-24.7,5.1,1.0,19.8
1993,Q4,-10.2,-3.3,-29.3,5.9,0.1,70.2,-1.4,-0.1,-1.5
1994,Q1,15.1,12.1,30.8,-9.7,-5.6,-25.4,1.7,0.2,8.6
1994,Q2,1.3,2.0,-0.2,25.5,25.0,6.4,9.0,11.0,0.4
1994,Q3,1.1,3.1,1.8,-7.1,-11.4,41.5,-0.7,-2.2,-0.1
1994,Q4,6.6,3.3,2.4,1.8,4.2,-15.6,5.1,4.9,12.9
1995,Q1,2.4,-1.0,14.4,14.0,13.6,37.6,7.0,4.7,13.7
1995,Q2,0.4,-0.1,1.1,-0.5,2.1,-33.0,-1.5,0.4,-7.5
1995,Q3,-6.6,1.8,-14.2,2.2,6.1,-25.5,-1.2,5.6,-22.9
1995,Q4,10.1,1.1,14.9,-6.5,-13.4,89.0,2.7,-6.2,43.8
1996,Q1,4.1,3.0,10.3,5.2,12.4,-41.9,3.3,5.8,-7.4
1996,Q2,1.4,-3.0,6.6,3.8,-3.5,110.1,2.3,-2.7,19.9
1996,Q3,-5.9,-5.3,2.1,1.0,-3.2,13.8,-2.4,-3.6,2.0
1996,Q4,5.0,-3.7,7.3,7.4,17.3,-40.3,7.8,9.4,2.3
1997,Q1,-28.1,-41.0,-7.1,-9.9,-12.0,24.3,-19.1,-23.0,-6.3
1997,Q2,12.5,0.5,17.0,-7.4,-8.7,-7.0,0.8,-5.2,12.1
1997,Q3,-3.2,-13.0,4.7,-9.2,-11.0,4.3,-7.4,-12.7,3.0
1997,Q4,-13.8,-7.7,-17.4,-25.8,-28.9,0.9,-19.3,-22.7,-10.3
1998,Q1,-19.2,-24.2,-12.3,-21.6,-22.8,-13.4,-20.9,-23.0,-15.1
1998,Q2,-16.7,-23.3,-16.9,-18.7,-16.6,-35.4,-17.1,-18.3,-21.1
1998,Q3,0.7,-17.4,8.5,-0.7,-2.8,5.5,0.0,-7.6,7.5
1998,Q4,2.1,-7.4,9.3,-2.0,-2.9,14.4,-1.2,-4.9,13.0
1999,Q1,-13.9,-0.1,-15.7,-1.5,1.6,-7.5,-7.1,2.5,-16.2
1999,Q2,14.8,-0.5,16.3,11.7,3.3,31.5,13.2,1.9,20.7
1999,Q3,-6.9,-0.8,-11.5,1.4,4.0,-11.8,-2.0,3.8,-12.4
1999,Q4,-4.6,-6.8,-0.2,7.4,16.6,-20.8,1.2,9.7,-4.8
2000,Q1,1.3,13.9,-1.0,9.6,-6.6,138.0,5.3,-1.5,25.7
2000,Q2,-6.5,9.2,-16.1,-8.8,6.8,-62.4,-7.8,6.2,-32.9
2000,Q3,-5.8,-0.9,-8.4,2.8,-2.9,43.5,-0.4,-0.2,1.7
2000,Q4,0.0,-1.3,0.1,9.0,8.1,27.2,5.1,2.7,9.5
2001,Q1,6.5,1.6,13.8,-2.3,2.6,-13.7,1.1,3.9,3.7
2001,Q2,-5.5,5.9,-14.9,5.1,-1.2,9.9,0.3,-0.3,-7.4
2001,Q3,8.7,2.4,11.7,-9.6,-7.4,-17.1,-1.9,-4.0,1.9
2001,Q4,-3.5,4.7,-6.8,2.2,8.6,-23.0,-0.4,6.0,-14.3
2002,Q1,6.0,7.5,7.8,5.5,4.2,34.6,5.2,5.0,17.1
2002,Q2,3.9,3.3,1.6,3.4,0.3,-2.1,3.8,1.5,1.8
2002,Q3,-5.5,3.8,-11.5,8.6,9.3,7.6,2.0,7.5,-6.6
2002,Q4,-2.1,3.5,-7.7,-12.6,-9.0,-29.2,-7.4,-6.0,-16.7
2003,Q1,0.2,4.4,-1.0,19.3,22.2,9.0,11.6,17.3,2.6
2003,Q2,7.4,3.2,9.7,1.1,-2.1,12.2,3.1,-0.1,13.5
2003,Q3,2.2,7.1,-0.5,7.6,6.2,19.3,4.8,5.5,4.1
2003,Q4,1.3,4.6,-4.2,-2.9,-3.6,8.7,0.0,-1.1,0.2
2004,Q1,0.3,2.7,-0.6,7.0,11.9,-20.1,4.1,9.2,-9.3
2004,Q2,2.5,2.9,2.4,7.3,6.7,4.8,5.5,6.2,5.6
2004,Q3,3.5,2.3,5.8,3.5,1.6,17.1,3.3,1.7,8.8
2004,Q4,5.3,1.9,7.5,7.5,7.5,12.4,7.1,6.2,8.4
2005,Q1,1.1,1.4,0.9,1.4,1.4,5.9,1.6,1.5,1.3
2005,Q2,0.1,0.5,-0.1,4.4,3.6,1.7,2.0,2.5,2.0
2005,Q3,3.1,1.9,3.4,2.4,4.5,-9.6,3.4,4.4,0.0
2005,Q4,0.9,0.5,2.4,4.3,3.0,16.6,2.6,2.0,4.7
2006,Q1,1.2,0.6,1.6,-3.1,-1.8,-8.6,-1.0,-1.1,-1.4
2006,Q2,0.9,0.1,1.5,2.1,1.3,1.0,0.6,0.8,1.1
2006,Q3,-0.3,-1.0,-1.5,-3.7,-2.0,-12.1,-1.5,-1.3,-2.9
