"Table 16 : Gross fixed capital formation, chain volume measures [reference year = 2002] classified by private and public institutions (seasonally adjusted)",,,,,,,,,,
Unit : Million Baht,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation)
1993,Q1,"208,512","158,015","50,387","272,993","253,878","24,488","492,334","433,078","75,128"
1993,Q2,"220,317","158,740","60,948","284,943","261,011","24,805","498,239","422,896","85,613"
1993,Q3,"233,804","146,998","89,147","280,261","263,539","18,672","523,885","427,189","102,584"
1993,Q4,"210,050","142,172","62,996","296,915","263,855","31,789","516,525","426,741","101,017"
1994,Q1,"241,754","159,381","82,412","268,090","249,103","23,721","525,155","427,602","109,669"
1994,Q2,"244,864","162,541","82,219","336,408","311,433","25,246","572,201","474,800","110,080"
1994,Q3,"247,505","167,588","83,697","312,577","275,839","35,715","568,198","464,214","110,015"
1994,Q4,"263,800","173,072","85,715","318,225","287,437","30,147","597,205","486,803","124,233"
1995,Q1,"270,028","171,413","98,078","362,685","326,456","41,489","638,955","509,919","141,268"
1995,Q2,"271,209","171,258","99,148","360,870","333,149","27,809","629,143","511,745","130,740"
1995,Q3,"253,342","174,294","85,065","368,745","353,370","20,717","621,828","540,580","100,791"
1995,Q4,"278,923","176,236","97,732","344,735","306,187","39,146","638,455","507,182","144,916"
1996,Q1,"290,397","181,477","107,830","362,725","344,076","22,751","659,528","536,460","134,165"
1996,Q2,"294,421","175,990","114,998","376,536","332,012","47,803","674,916","521,913","160,925"
1996,Q3,"276,915","166,588","117,387","380,293","321,478","54,402","658,522","503,268","164,101"
1996,Q4,"290,825","160,496","125,968","408,414","376,984","32,484","710,114","550,782","167,948"
1997,Q1,"209,076","94,696","117,057","367,825","331,579","40,378","574,484","423,999","157,449"
1997,Q2,"235,108","95,201","136,960","340,722","302,804","37,548","579,256","402,062","176,533"
1997,Q3,"227,485","82,801","143,399","309,324","269,487","39,155","536,406","351,081","181,869"
1997,Q4,"196,108","76,443","118,430","229,499","191,694","39,513","432,671","271,255","163,170"
1998,Q1,"158,447","57,947","103,914","179,863","148,066","34,213","342,089","208,751","138,550"
1998,Q2,"131,961","44,433","86,339","146,226","123,554","22,090","283,733","170,592","109,340"
1998,Q3,"132,931","36,710","93,697","145,175","120,098","23,297","283,651","157,591","117,544"
1998,Q4,"135,781","34,010","102,447","142,336","116,585","26,662","280,226","149,915","132,775"
1999,Q1,"116,901","33,989","86,325","140,240","118,497","24,652","260,328","153,608","111,284"
1999,Q2,"134,150","33,809","100,439","156,704","122,454","32,408","294,592","156,464","134,297"
1999,Q3,"124,915","33,540","88,893","158,965","127,352","28,582","288,664","162,368","117,627"
1999,Q4,"119,163","31,262","88,706","170,652","148,546","22,645","292,099","178,055","112,017"
2000,Q1,"120,708","35,618","87,822","186,993","138,766","53,901","307,715","175,364","140,836"
2000,Q2,"112,899","38,897","73,670","170,469","148,139","20,263","283,858","186,309","94,570"
2000,Q3,"106,345","38,566","67,486","175,310","143,901","29,083","282,589","185,983","96,131"
2000,Q4,"106,387","38,055","67,555","191,058","155,511","37,008","297,079","191,063","105,228"
2001,Q1,"113,297","38,678","76,903","186,672","159,483","31,938","300,383","198,484","109,076"
2001,Q2,"107,010","40,952","65,481","196,215","157,622","35,104","301,281","197,987","100,977"
2001,Q3,"116,352","41,928","73,122","177,300","145,920","29,095","295,522","190,113","102,869"
2001,Q4,"112,299","43,879","68,126","181,261","158,451","22,395","294,282","201,501","88,117"
2002,Q1,"118,992","47,149","73,421","191,187","165,083","30,139","309,491","211,670","103,183"
2002,Q2,"123,586","48,728","74,628","197,686","165,543","29,503","321,163","214,916","105,068"
2002,Q3,"116,776","50,579","66,025","214,591","180,926","31,752","327,642","230,976","98,107"
2002,Q4,"114,274","52,359","60,940","187,575","164,730","22,485","303,389","217,190","81,699"
2003,Q1,"114,542","54,655","60,335","223,821","201,376","24,499","338,534","254,803","83,786"
2003,Q2,"122,980","56,410","66,207","226,315","197,090","27,486","349,046","254,520","95,092"
2003,Q3,"125,709","60,406","65,843","243,626","209,322","32,802","365,972","268,447","98,959"
2003,Q4,"127,377","63,167","63,047","236,476","201,864","35,658","365,929","265,548","99,164"
2004,Q1,"127,799","64,860","62,679","253,144","225,937","28,492","380,981","290,003","89,982"
2004,Q2,"130,982","66,746","64,177","271,608","241,033","29,851","401,813","308,019","94,996"
2004,Q3,"135,525","68,271","67,905","280,992","244,945","34,952","415,225","313,245","103,323"
2004,Q4,"142,648","69,586","72,972","302,184","263,309","39,295","444,822","332,649","112,049"
2005,Q1,"144,227","70,548","73,633","306,354","266,975","41,616","452,160","337,781","113,545"
2005,Q2,"144,314","70,882","73,580","319,796","276,458","42,323","461,427","346,321","115,826"
2005,Q3,"148,724","72,209","76,103","327,504","288,806","38,256","477,079","361,570","115,828"
2005,Q4,"150,105","72,580","77,902","341,720","297,444","44,594","489,548","368,921","121,279"
2006,Q1,"151,916","73,046","79,145","330,957","292,013","40,752","484,637","364,750","119,593"
2006,Q2,"153,218","73,089","80,356","338,068","295,713","41,141","487,568","367,486","120,887"
2006,Q3,"152,746","72,365","79,134","325,554","289,799","36,155","480,250","362,548","117,377"
2006,Q4,"151,342","73,818","78,251","332,125","289,478","42,649","481,601","362,461","118,796"
2007,Q1,"153,051","72,483","80,890","327,209","288,895","40,304","481,412","360,409","122,046"
2007,Q2,"153,779","71,991","81,784","336,631","294,887","40,335","487,750","367,043","121,408"
2007,Q3,"155,648","73,960","80,516","334,682","291,507","42,584","490,886","364,470","124,312"
2007,Q4,"169,241","69,787","102,587","341,065","304,148","35,553","507,597","374,684","133,591"
2008,Q1,"157,046","74,137","83,456","362,244","325,530","39,610","518,428","396,177","124,393"
2008,Q2,"145,653","74,211","71,438","364,879","323,530","39,452","507,011","400,115","110,501"
2008,Q3,"143,004","73,926","69,686","360,576","321,510","39,479","498,675","392,600","109,189"
2008,Q4,"146,030","72,300","74,421","349,221","304,048","45,512","494,254","375,133","117,578"
