Table 17 :  General government final consumption expenditure at current market prices (original),,,,,,,,,
Unit : Million Baht,,,,,,,,,
,,(1)Compensation of Employees ,(2)Consumption of fixed capital ,(3) Purchases from Enterprises and Abroad ,(4)Less: Purchases by households and enterprises ,(5)Social transfers in kind  purchased  market production ,(6)General Government Final Consumption Expenditure ,,
1993,Q1,"55,125","8,950","18,331","1,552","1,019","81,873",,
1993,Q2,"52,927","9,000","25,108","2,126",603,"85,512",,
1993,Q3,"54,174","9,041","39,864","3,375",786,"100,490",,
1993,Q4,"57,931","8,956","25,248","2,137","1,145","91,143",,
1994,Q1,"61,258","10,736","26,380","1,711","1,173","97,836",,
1994,Q2,"56,743","10,801","29,531","1,915",694,"95,854",,
1994,Q3,"59,129","10,846","48,670","3,156",905,"116,394",,
1994,Q4,"59,827","10,736","27,549","1,786","1,318","97,644",,
1995,Q1,"79,902","12,474","27,390","3,591","1,178","117,353",,
1995,Q2,"69,985","12,471","33,899","3,590","1,033","113,798",,
1995,Q3,"72,251","12,522","48,484","3,578","1,248","130,927",,
1995,Q4,"73,249","12,493","28,971","3,901","1,617","112,429",,
1996,Q1,"81,189","14,499","35,632","3,779","1,227","128,768",,
1996,Q2,"76,050","14,524","40,798","3,792","1,224","128,804",,
1996,Q3,"78,110","14,661","53,054","3,805","1,393","143,413",,
1996,Q4,"81,180","14,605","39,886","3,822","4,514","136,363",,
1997,Q1,"85,828","17,690","38,222","4,256","2,678","140,162",,
1997,Q2,"82,588","17,695","38,044","4,249","2,343","136,421",,
1997,Q3,"84,928","17,817","52,568","4,262","2,776","153,827",,
1997,Q4,"86,105","17,737","35,160","3,886","3,660","138,776",,
1998,Q1,"93,044","22,108","28,204","4,379","2,647","141,624",,
1998,Q2,"86,729","21,804","31,796","5,472","2,356","137,213",,
1998,Q3,"91,923","22,061","62,060","4,684","2,542","173,902",,
1998,Q4,"100,687","21,991","37,958","2,829","3,688","161,495",,
1999,Q1,"97,449","24,191","28,332","3,797","2,708","148,883",,
1999,Q2,"94,573","24,193","40,976","3,844","2,452","158,350",,
1999,Q3,"97,885","24,364","51,039","3,558","2,678","172,408",,
1999,Q4,"99,326","24,312","46,597","3,808","3,866","170,293",,
2000,Q1,"102,297","26,394","36,497","4,093","3,210","164,305",,
2000,Q2,"96,712","26,460","40,854","4,168","2,797","162,655",,
2000,Q3,"100,170","26,707","63,794","4,726","3,240","189,185",,
2000,Q4,"104,570","26,412","40,606","3,813","4,357","172,132",,
2001,Q1,"104,217","28,048","39,344","4,674","4,112","171,047",,
2001,Q2,"101,980","28,006","48,572","4,392","3,558","177,724",,
2001,Q3,"106,676","28,388","65,320","5,386","3,977","198,975",,
2001,Q4,"108,861","27,819","35,103","4,832","5,515","172,466",,
2002,Q1,"114,150","28,637","44,705","4,885","7,883","190,490",,
2002,Q2,"112,633","28,655","39,917","5,235","6,814","182,784",,
2002,Q3,"112,328","29,161","61,668","6,085","7,258","204,330",,
2002,Q4,"113,217","28,319","35,399","5,077","10,529","182,387",,
2003,Q1,"116,821","29,747","38,258","4,766","7,630","187,690",,
