"Table 18.1 :  General government final consumption expenditure, chain volume measures [reference year = 2002] (original)  y-o-y growth rate",,,,,,,
Unit : Million Baht,,,,,,,
,,(1)Compensation of Employees ,(2)Consumption of fixed capital ,(3) Purchases from Enterprises and Abroad ,(4)Less: Purchases by households and enterprises ,(5)Social transfers in kind  purchased  market production ,(6)General Government Final Consumption Expenditure 
1993,Q1,,,,,,
1993,Q2,,,,,,
1993,Q3,,,,,,
1993,Q4,,,,,,
1994,Q1,6.7,15.1,40.0,7.2,12.9,15.2
1994,Q2,2.2,17.9,14.3,-12.4,12.9,7.9
1994,Q3,4.1,18.0,18.7,-9.0,12.7,11.5
1994,Q4,-4.0,10.5,1.7,-22.5,6.8,-0.4
1995,Q1,13.4,12.3,-0.3,102.2,-3.5,7.9
1995,Q2,10.0,9.8,9.7,79.4,41.6,8.8
1995,Q3,9.0,18.0,-6.2,6.7,29.0,3.6
1995,Q4,11.5,16.8,3.1,115.4,20.7,8.0
1996,Q1,-0.8,8.3,23.7,0.6,-0.9,6.4
1996,Q2,6.1,15.4,14.9,1.5,14.0,9.9
1996,Q3,5.5,15.3,5.4,3.2,8.7,6.0
1996,Q4,8.0,13.0,32.3,-5.1,171.4,17.8
1997,Q1,3.2,20.6,2.4,8.6,111.6,5.6
1997,Q2,6.1,14.3,-10.9,8.2,85.4,2.3
1997,Q3,6.2,11.9,-5.8,7.3,90.9,3.3
1997,Q4,7.0,15.8,-18.0,-5.1,-24.5,-0.1
1998,Q1,9.1,7.6,-31.5,-4.7,-8.7,-2.4
1998,Q2,5.7,13.3,-22.7,18.6,-7.8,-2.0
1998,Q3,8.9,14.3,9.4,1.8,-15.5,9.7
1998,Q4,15.4,10.8,3.1,-30.2,-3.6,12.4
1999,Q1,3.4,7.7,-3.3,-15.3,-0.3,2.8
1999,Q2,7.6,12.0,27.0,-29.8,4.1,14.1
1999,Q3,5.1,-1.3,-18.9,-24.2,5.4,-2.9
1999,Q4,-3.7,6.0,19.7,32.8,3.5,2.4
2000,Q1,2.4,2.6,25.8,5.3,16.0,7.1
2000,Q2,-0.2,-3.1,-3.9,4.7,10.2,-1.6
2000,Q3,-0.2,9.5,20.3,28.1,16.5,6.9
2000,Q4,3.8,4.5,-15.6,-2.8,9.2,-1.2
2001,Q1,0.4,2.4,7.0,11.5,24.8,2.4
2001,Q2,3.2,-4.5,16.5,1.9,22.8,5.7
2001,Q3,4.2,3.4,1.0,11.6,20.1,3.2
2001,Q4,2.6,4.6,-13.2,25.4,25.3,-0.7
2002,Q1,8.0,7.4,11.8,3.7,90.3,11.0
2002,Q2,7.6,9.1,-18.7,18.8,91.0,2.0
2002,Q3,2.6,-4.4,-6.2,12.4,81.8,-0.1
2002,Q4,0.2,-5.8,-1.7,3.5,88.1,1.6
2003,Q1,-0.4,-0.6,-16.2,-4.3,-5.1,-4.2
2003,Q2,2.4,-0.6,16.6,-7.9,55.6,7.3
2003,Q3,6.4,1.6,6.6,-12.0,49.6,7.8
2003,Q4,4.7,4.9,20.1,10.3,40.9,9.7
2004,Q1,5.2,-2.2,18.5,17.3,49.0,8.3
2004,Q2,5.1,1.0,5.8,6.8,-8.9,3.9
2004,Q3,-0.8,7.4,2.7,7.8,-5.8,0.8
2004,Q4,0.5,1.4,14.8,9.4,-0.7,3.3
2005,Q1,7.0,5.6,2.7,4.1,34.1,7.7
2005,Q2,4.9,2.5,12.3,29.0,36.7,7.3
2005,Q3,6.7,0.1,22.1,21.8,38.4,10.8
2005,Q4,2.5,3.5,10.4,23.4,35.8,6.0
2006,Q1,-2.0,3.0,18.2,33.8,29.1,3.9
2006,Q2,2.2,4.0,4.8,1.3,7.2,3.4
2006,Q3,4.6,2.1,0.4,2.4,-1.8,2.6
2006,Q4,6.3,3.3,-16.4,9.8,-11.0,-0.8
2007,Q1,11.2,2.2,5.0,8.1,16.9,9.2
2007,Q2,5.2,4.3,10.8,32.6,50.3,8.2
2007,Q3,9.8,5.6,5.7,6.5,48.4,9.9
2007,Q4,3.2,3.2,19.1,-10.9,0.8,6.6
2008,Q1,-2.8,3.7,5.9,-1.7,-14.2,-1.1
2008,Q2,1.6,7.1,-3.9,-19.4,-29.6,-0.7
2008,Q3,-1.2,2.1,3.7,4.8,97.5,6.9
2008,Q4,10.2,4.6,22.7,14.3,51.5,14.9
2009,Q1,6.8,1.8,20.3,154.9,129.3,13.5
2009,Q2,3.7,3.3,27.0,83.7,193.2,17.1
2009,Q3,8.9,4.0,21.6,76.5,-30.2,5.3
2009,Q4,3.7,5.2,23.2,73.7,13.6,7.1
2010,Q1,7.5,3.9,10.7,-29.0,1.6,9.5
2010,Q2,3.2,4.3,13.1,26.9,36.2,9.0
2010,Q3,3.9,3.0,10.9,14.1,37.5,8.0
2010,Q4,5.4,4.3,10.7,1.8,32.3,9.3
2011,Q1,5.6,4.4,11.5,32.3,-1.6,4.8
2011,Q2,4.8,4.6,7.1,-30.6,-10.4,4.5
2011,Q3,5.6,7.0,13.1,-0.3,-8.3,7.0
2011,Q4,-1.5,1.6,-7.5,25.5,17.6,-1.6
2012,Q1,4.6,5.3,-2.8,-9.9,-2.5,2.8
2012,Q2,6.5,6.3,16.1,48.3,9.1,7.9
2012,Q3,0.9,7.7,8.9,1.9,40.6,7.4
2012,Q4,7.2,10.2,10.0,-27.7,10.2,10.5
2013,Q1,-3.5,5.9,9.5,-0.6,-5.9,0.3
2013,Q2,2.8,3.6,4.1,36.9,0.7,1.5
2013,Q3,7.0,1.6,15.9,54.4,-34.1,3.1
2013,Q4,-3.6,1.8,3.2,19.1,20.4,1.0
2014,Q1,4.5,-1.8,8.1,3.8,-10.4,3.2
2014,Q2,2.0,-1.6,-0.2,-24.7,-4.3,1.6
2014,Q3,0.7,-1.5,-4.9,-9.0,32.2,1.0
2014,Q4,6.4,1.5,23.0,66.8,-3.0,5.8
2015,Q1,-1.3,2.8,18.6,43.6,-3.9,2.1
2015,Q2,0.2,2.1,10.8,45.1,-2.4,1.0
2015,Q3,2.9,-0.4,2.6,19.3,1.1,1.4
2015,Q4,2.1,0.7,18.6,6.0,-0.7,5.6
2016,Q1,3.6,1.0,13.5,18.2,40.7,8.4
2016,Q2,-0.2,0.6,14.9,11.8,-14.5,1.7
2016,Q3,-2.0,0.2,-1.1,3.0,-12.7,-2.8
2016,Q4,0.4,2.4,-0.7,5.5,20.1,2.5
2017,Q1,0.0,3.5,1.1,1.1,-15.4,-0.9
2017,Q2,1.8,3.2,-8.3,4.6,21.7,0.7
2017,Q3,-0.7,3.4,7.1,11.5,11.7,2.5
2017,Q4,0.7,2.7,-5.5,9.5,-0.3,-1.4
2018,Q1,2.6,3.6,5.7,21.0,1.8,2.5
2018,Q2,1.0,3.6,14.3,24.1,-2.7,3.1
2018,Q3,0.7,3.4,5.0,10.8,15.2,2.9
2018,Q4,0.9,3.4,14.6,7.8,-12.3,2.2
