"Table 18 :  General government final consumption expenditure, chain volume measures [reference year = 2002] (original)",,,,,,,
Unit : Million Baht,,,,,,,
,,(1)Compensation of Employees ,(2)Consumption of fixed capital ,(3) Purchases from Enterprises and Abroad ,(4)Less: Purchases by households and enterprises ,(5)Social transfers in kind  purchased  market production ,(6)General Government Final Consumption Expenditure 
1993,Q1,"73,584","13,070","25,374","2,100","1,376","111,819"
1993,Q2,"70,648","13,175","34,765","2,875",814,"116,963"
1993,Q3,"72,308","13,297","55,193","4,562","1,063","137,745"
1993,Q4,"77,315","13,663","34,896","2,886","1,550","125,080"
1994,Q1,"78,479","15,044","35,512","2,251","1,553","128,859"
1994,Q2,"72,231","15,532","39,731","2,518",919,"126,162"
1994,Q3,"75,277","15,687","65,517","4,151","1,198","153,572"
1994,Q4,"74,198","15,103","35,472","2,236","1,656","124,600"
1995,Q1,"88,996","16,896","35,404","4,552","1,499","139,038"
1995,Q2,"79,458","17,060","43,592","4,518","1,301","137,207"
1995,Q3,"82,031","18,518","61,478","4,430","1,545","159,073"
1995,Q4,"82,700","17,634","36,581","4,817","1,998","134,606"
1996,Q1,"88,292","18,306","43,792","4,580","1,486","147,928"
1996,Q2,"84,270","19,692","50,078","4,588","1,483","150,738"
1996,Q3,"86,537","21,351","64,797","4,572","1,679","168,628"
1996,Q4,"89,309","19,923","48,411","4,572","5,422","158,534"
1997,Q1,"91,136","22,078","44,837","4,975","3,145","156,280"
1997,Q2,"89,377","22,515","44,631","4,962","2,749","154,225"
1997,Q3,"91,916","23,888","61,047","4,905","3,206","174,222"
1997,Q4,"95,548","23,073","39,710","4,340","4,096","158,448"
1998,Q1,"99,413","23,753","30,727","4,741","2,870","152,521"
1998,Q2,"94,455","25,503","34,487","5,885","2,534","151,098"
1998,Q3,"100,123","27,299","66,760","4,992","2,709","191,065"
1998,Q4,"110,255","25,575","40,953","3,028","3,950","178,120"
1999,Q1,"102,777","25,578","29,704","4,015","2,862","156,766"
1999,Q2,"101,656","28,552","43,794","4,132","2,638","172,374"
1999,Q3,"105,212","26,954","54,114","3,785","2,854","185,489"
1999,Q4,"106,125","27,121","49,041","4,022","4,089","182,444"
2000,Q1,"105,274","26,244","37,373","4,226","3,319","167,918"
2000,Q2,"101,428","27,665","42,099","4,325","2,906","169,695"
2000,Q3,"105,048","29,526","65,125","4,849","3,326","198,356"
2000,Q4,"110,119","28,331","41,388","3,910","4,467","180,336"
2001,Q1,"105,683","26,869","39,995","4,711","4,142","171,876"
2001,Q2,"104,648","26,431","49,046","4,409","3,569","179,345"
2001,Q3,"109,472","30,521","65,796","5,412","3,993","204,636"
2001,Q4,"113,025","29,626","35,936","4,904","5,596","179,055"
2002,Q1,"114,143","28,855","44,715","4,885","7,881","190,701"
2002,Q2,"112,636","28,844","39,892","5,236","6,816","182,900"
2002,Q3,"112,333","29,164","61,742","6,085","7,261","204,525"
2002,Q4,"113,216","27,910","35,341","5,077","10,527","181,867"
2003,Q1,"113,724","28,683","37,488","4,675","7,481","182,701"
2003,Q2,"115,284","28,671","46,527","4,824","10,608","196,266"
2003,Q3,"119,500","29,642","65,841","5,356","10,861","220,488"
2003,Q4,"118,536","29,282","42,433","5,599","14,837","199,488"
2004,Q1,"119,604","28,051","44,420","5,485","11,150","197,790"
2004,Q2,"121,219","28,961","49,217","5,154","9,666","203,926"
2004,Q3,"118,532","31,838","67,637","5,776","10,235","222,259"
2004,Q4,"119,119","29,692","48,713","6,124","14,732","206,100"
2005,Q1,"127,983","29,616","45,628","5,708","14,948","212,930"
2005,Q2,"127,197","29,698","55,273","6,651","13,213","218,730"
2005,Q3,"126,516","31,859","82,615","7,038","14,163","246,263"
2005,Q4,"122,057","30,733","53,775","7,555","20,012","218,511"
2006,Q1,"125,381","30,517","53,951","7,639","19,301","221,189"
2006,Q2,"130,036","30,889","57,912","6,735","14,170","226,177"
2006,Q3,"132,397","32,529","82,915","7,205","13,910","252,712"
2006,Q4,"129,775","31,756","44,930","8,295","17,812","216,656"
