Table 19.1 :  General government final consumption expenditure at current market prices (seasonally adjusted) q-o-q growth rate,,,,,,,
,,,,,,,
,,(1)Compensation of Employees ,(2)Consumption of fixed capital ,(3) Purchases from Enterprises and Abroad ,(4)Less: Purchases by households and enterprises ,(5)Social transfers in kind  purchased  market production ,(6)General Government Final Consumption Expenditure 
1993,Q1,,,,,,
1993,Q2,5.1,4.5,19.7,33.4,-11.3,9.4
1993,Q3,2.2,4.0,9.8,52.0,1.6,5.2
1993,Q4,4.8,4.0,3.5,-31.5,8.9,2.2
1994,Q1,-1.0,6.2,5.3,-20.8,19.9,1.8
1994,Q2,1.2,4.5,-1.6,9.0,-14.5,2.5
1994,Q3,3.9,4.0,14.4,58.8,3.2,8.7
1994,Q4,-0.8,3.6,-9.2,-38.7,7.0,-5.8
1995,Q1,25.3,3.3,1.2,96.9,10.4,14.6
1995,Q2,-4.4,3.8,10.5,-3.2,18.7,1.4
1995,Q3,2.6,4.1,-1.8,-2.2,-1.7,2.7
1995,Q4,-0.4,3.9,-6.1,18.5,-6.3,-4.2
1996,Q1,4.4,3.9,29.1,-7.3,-1.0,10.6
1996,Q2,2.0,3.8,1.9,-2.8,26.4,4.0
1996,Q3,1.5,4.6,-11.2,0.6,-4.3,-0.7
1996,Q4,2.4,3.1,15.0,8.7,130.5,5.1
1997,Q1,0.1,9.5,4.8,5.5,-19.5,1.1
1997,Q2,4.5,3.3,-12.1,-3.8,4.7,0.3
1997,Q3,1.1,4.0,-6.7,1.6,3.1,0.5
1997,Q4,-0.1,2.5,0.7,-0.2,-6.2,-1.2
1998,Q1,3.4,14.1,-8.6,4.7,-2.1,2.6
1998,Q2,0.5,1.6,-2.8,21.7,3.4,-1.5
1998,Q3,3.8,3.9,31.4,-14.5,-2.7,13.0
1998,Q4,8.1,2.4,-7.7,-32.9,4.1,1.4
1999,Q1,-6.4,2.1,-13.7,24.6,-3.9,-6.0
1999,Q2,3.7,2.5,23.1,-0.8,4.6,7.0
1999,Q3,1.3,2.5,-17.1,-10.2,1.6,-3.1
1999,Q4,0.2,2.5,42.2,22.0,5.9,8.3
2000,Q1,0.6,2.0,-10.9,-0.7,1.8,-1.1
2000,Q2,-0.3,2.4,-6.7,1.5,2.7,-1.6
2000,Q3,1.5,1.7,5.5,6.9,10.2,3.9
2000,Q4,3.7,1.9,2.1,-8.3,0.7,0.5
