Table 19 :  General government final consumption expenditure at current market prices  (seasonally adjusted),,,,,,,
Unit : Million Baht,,,,,,,
,,(1)Compensation of Employees ,(2)Consumption of fixed capital ,(3) Purchases from Enterprises and Abroad ,(4)Less: Purchases by households and enterprises ,(5)Social transfers in kind  purchased  market production ,(6)General Government Final Consumption Expenditure 
1993,Q1,"51,852","8,452","22,053","1,589",931,"81,206"
1993,Q2,"54,494","8,830","26,401","2,119",826,"88,825"
1993,Q3,"55,671","9,183","28,987","3,220",839,"93,441"
1993,Q4,"58,316","9,551","30,008","2,205",914,"95,478"
1994,Q1,"57,706","10,141","31,606","1,746","1,096","97,167"
1994,Q2,"58,413","10,601","31,112","1,903",937,"99,568"
1994,Q3,"60,688","11,024","35,594","3,022",967,"108,277"
1994,Q4,"60,200","11,420","32,334","1,853","1,035","101,954"
1995,Q1,"75,414","11,801","32,732","3,648","1,143","116,827"
1995,Q2,"72,089","12,244","36,158","3,533","1,357","118,458"
1995,Q3,"73,939","12,741","35,495","3,455","1,334","121,710"
1995,Q4,"73,651","13,235","33,322","4,094","1,250","116,619"
1996,Q1,"76,886","13,751","43,030","3,797","1,237","129,024"
1996,Q2,"78,414","14,272","43,852","3,692","1,564","134,206"
1996,Q3,"79,598","14,923","38,923","3,715","1,497","133,287"
1996,Q4,"81,528","15,385","44,758","4,037","3,451","140,131"
1997,Q1,"81,622","16,853","46,922","4,261","2,778","141,736"
1997,Q2,"85,273","17,410","41,235","4,099","2,909","142,217"
1997,Q3,"86,209","18,113","38,452","4,166","3,000","142,884"
1997,Q4,"86,157","18,570","38,735","4,158","2,815","141,197"
1998,Q1,"89,111","21,183","35,401","4,354","2,756","144,891"
1998,Q2,"89,532","21,512","34,398","5,299","2,850","142,754"
1998,Q3,"92,939","22,343","45,183","4,531","2,774","161,274"
1998,Q4,"100,464","22,875","41,723","3,042","2,887","163,466"
1999,Q1,"94,002","23,350","35,991","3,790","2,773","153,627"
1999,Q2,"97,438","23,943","44,287","3,760","2,900","164,426"
1999,Q3,"98,684","24,542","36,708","3,375","2,947","159,299"
1999,Q4,"98,901","25,154","52,195","4,116","3,122","172,483"
2000,Q1,"99,458","25,657","46,517","4,086","3,177","170,620"
2000,Q2,"99,184","26,275","43,421","4,146","3,262","167,894"
2000,Q3,"100,624","26,734","45,807","4,433","3,595","174,436"
2000,Q4,"104,396","27,230","46,775","4,064","3,619","175,345"
2001,Q1,"101,926","27,434","49,325","4,695","3,968","177,900"
2001,Q2,"103,860","27,877","50,888","4,452","4,077","182,249"
2001,Q3,"106,881","28,248","47,133","5,015","4,469","183,265"
2001,Q4,"109,231","28,655","41,472","5,059","4,641","177,145"
2002,Q1,"112,149","28,124","54,785","4,931","7,553","197,904"
2002,Q2,"113,744","28,560","41,307","5,384","7,685","186,059"
2002,Q3,"112,353","28,879","44,996","5,689","8,230","188,364"
2002,Q4,"114,414","29,206","42,447","5,193","8,859","188,960"
2003,Q1,"115,002","29,281","45,737","4,836","7,376","194,188"
2003,Q2,"118,619","29,870","48,467","5,012","11,845","203,745"
2003,Q3,"122,661","30,387","48,623","5,092","12,448","207,616"
2003,Q4,"123,129","30,796","51,377","5,632","12,582","211,637"
2004,Q1,"123,297","31,154","53,683","5,689","10,963","214,670"
2004,Q2,"142,190","31,620","51,983","5,384","10,886","231,408"
2004,Q3,"138,967","32,165","51,751","5,771","11,850","227,181"
2004,Q4,"140,686","32,720","60,647","6,241","13,178","239,847"
2005,Q1,"149,012","33,745","55,291","5,956","14,645","249,286"
2005,Q2,"150,548","34,374","60,742","7,155","15,296","253,634"
2005,Q3,"149,467","34,937","67,178","7,618","16,973","260,703"
2005,Q4,"159,897","35,481","70,364","8,108","19,879","277,319"
2006,Q1,"161,718","36,293","68,924","8,359","19,896","280,382"
2006,Q2,"169,983","36,924","68,235","7,728","17,122","284,325"
2006,Q3,"171,625","37,485","70,681","8,305","16,965","287,026"
2006,Q4,"172,992","37,936","59,930","9,087","19,162","282,651"
2007,Q1,"184,271","38,280","72,947","8,946","23,452","312,244"
2007,Q2,"183,965","38,894","76,966","10,301","24,394","313,747"
2007,Q3,"191,939","39,668","75,583","8,948","24,969","319,889"
2007,Q4,"189,930","40,351","73,421","8,383","21,038","317,920"
2008,Q1,"190,711","43,633","79,931","8,979","21,126","327,875"
2008,Q2,"200,195","44,054","78,295","8,814","16,751","329,778"
2008,Q3,"199,893","44,932","82,708","9,859","52,878","363,791"
2008,Q4,"212,184","45,404","88,319","9,445","32,542","369,595"
2009,Q1,"207,888","44,861","92,609","21,958","47,594","373,124"
2009,Q2,"213,694","45,426","94,754","15,529","43,773","384,274"
2009,Q3,"221,587","46,365","97,708","16,645","37,300","384,147"
2009,Q4,"224,896","47,024","110,578","16,965","38,214","401,700"
2010,Q1,"229,192","47,483","106,904","16,167","50,985","420,989"
2010,Q2,"225,480","48,014","109,155","20,133","58,362","425,274"
2010,Q3,"233,207","48,255","108,952","18,608","52,949","421,515"
2010,Q4,"237,819","49,598","123,314","17,683","49,749","439,513"
2011,Q1,"240,437","51,169","123,098","22,043","52,796","446,457"
2011,Q2,"246,130","52,203","118,493","14,107","52,464","457,287"
2011,Q3,"255,535","53,583","125,230","18,409","49,799","465,559"
2011,Q4,"252,676","52,511","115,068","22,629","55,794","452,521"
2012,Q1,"271,999","55,669","120,571","20,364","56,092","485,910"
2012,Q2,"269,262","57,547","138,643","21,056","58,832","504,659"
2012,Q3,"263,837","59,536","139,449","18,805","70,400","513,150"
2012,Q4,"282,274","59,573","130,434","17,019","58,862","513,917"
2013,Q1,"274,426","60,355","134,917","21,010","57,453","505,085"
2013,Q2,"287,587","61,050","146,455","29,021","60,347","528,704"
2013,Q3,"293,358","61,949","165,347","29,353","46,861","544,632"
2013,Q4,"283,559","61,714","135,098","20,425","67,348","530,461"
2014,Q1,"301,882","60,626","145,341","22,101","54,675","538,720"
2014,Q2,"305,805","61,660","148,915","22,111","59,950","556,287"
2014,Q3,"308,178","62,976","161,453","27,194","63,577","568,867"
2014,Q4,"311,818","64,094","164,372","33,869","62,897","571,414"
2015,Q1,"309,211","64,588","166,775","31,092","54,792","560,970"
2015,Q2,"320,622","65,050","162,856","31,303","60,524","579,542"
2015,Q3,"332,712","65,238","165,266","32,273","66,261","594,300"
2015,Q4,"333,851","66,153","189,640","34,793","60,273","616,161"
2016,Q1,"333,473","67,318","183,635","35,901","77,078","619,715"
2016,Q2,"332,486","67,939","187,012","34,752","53,757","605,429"
2016,Q3,"339,892","68,153","164,715","33,558","58,371","595,624"
2016,Q4,"345,234","70,005","187,193","36,589","70,673","641,723"
2017,Q1,"343,409","70,598","186,451","36,464","65,607","626,049"
2017,Q2,"349,852","71,230","172,812","36,632","67,078","625,598"
2017,Q3,"351,161","71,879","179,207","38,076","64,794","627,231"
2017,Q4,"358,437","72,898","178,482","40,522","71,014","645,472"
2018,Q1,"363,903","74,116","198,498","44,434","65,578","655,180"
2018,Q2,"364,898","74,880","200,596","46,309","68,135","662,210"
2018,Q3,"363,819","75,403","191,739","42,825","72,862","660,090"
2018,Q4,"370,761","76,128","206,008","44,556","63,499","670,114"
2019,Q1,"378,017","76,575","209,947","44,811","70,017","687,833"
2019,Q2,"379,743","77,167","198,304","46,922","73,809","682,981"
2019,Q3,"382,901","77,839","203,223","49,003","66,749","683,265"
2019,Q4,"383,843","78,399","192,318","47,320","68,977","675,838"
2020,Q1,"390,785","78,715","188,278","51,873","74,502","680,773"
2020,Q2,"393,138","79,170","204,673","50,133","69,136","696,070"
2020,Q3,"396,949","79,741","215,257","54,548","70,710","710,835"
2020,Q4,"401,562","80,226","193,916","54,292","74,386","696,079"
2021,Q1,"403,081","80,598","198,242","55,223","69,159","696,610"
2021,Q2,"405,088","81,055","206,197","57,243","85,742","720,762"
2021,Q3,"407,612","81,627","205,659","59,643","113,101","744,113"
2021,Q4,"412,530","82,067","219,335","61,061","123,613","786,254"
2022,Q1,"410,098","82,871","211,677","59,067","139,299","781,972"
2022,Q2,"424,165","83,527","222,463","61,828","106,408","772,313"
2022,Q3,"430,345","83,872","203,312","62,353","115,935","766,467"
2022,Q4,"421,578","84,170","222,402","63,920","91,932","757,715"
2023,Q1,"430,149","84,151","222,637","65,942","86,532","756,979"
2023,Q2,"435,938","84,632","217,952","66,903","77,617","750,244"
2023,Q3,"439,731","84,898","208,614","64,019","70,591","738,199"
2023,Q4,"438,370","85,128","203,247","64,556","76,983","739,449"
2024,Q1,"445,330","85,186","205,150","66,693","75,456","746,510"
2024,Q2,"448,676","85,650","211,824","64,717","82,957","764,473"
2024,Q3,"453,784","85,928","225,580","65,985","97,511","794,696"
2024,Q4,"461,463","86,064","225,735","68,681","87,493","793,580"
2025,Q1,"461,365","86,154","223,723","69,158","83,059","786,006"
2025,Q2,"460,801","86,456","220,810","70,405","95,337","791,910"
2025,Q3,"461,365","86,689","222,784","72,707","75,076","772,402"
2025,Q4,"473,463","86,854","229,391","69,820","88,957","810,351"
