"Table 2.1 :  Expenditure on gross domestic product, chain volume measures [reference year = 2002] (original)  y-o-y growth rate",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,(1) Private final consumption expenditure,(2) General government final consumption expenditure,(3) Gross fixed capital formation,(4) Change in inventories,(5) Plus : Exports of goods and services,(5.1) Exports of goods  (f.o.b),(5.2) Exports of services,(6) Less : Imports of goods and services,(6.1) Imports of goods (f.o.b),(6.2) Imports of services,(8) Expenditure on gross domestic product ,,(9) Gross domestic product,,,
1993,Q1,,,,,,,,,,,,,,,,
1993,Q2,,,,,,,,,,,,,,,,
1993,Q3,,,,,,,,,,,,,,,,
1993,Q4,,,,,,,,,,,,,,,,
1994,Q1,6.2,15.2,6.6,0.0,13.2,18.6,-0.8,13.8,9.9,28.7,9.8,,10.5,,,
1994,Q2,7.8,7.9,14.4,0.0,15.2,20.4,-2.2,18.6,14.1,34.3,7.1,,10.2,,,
1994,Q3,8.7,11.5,8.7,0.0,9.5,13.8,-6.6,18.1,16.3,24.4,4.6,,4.5,,,
1994,Q4,8.8,-0.4,16.4,0.0,14.6,18.1,2.6,18.9,25.1,0.6,9.4,,6.9,,,
1995,Q1,10.5,7.9,21.4,0.0,19.7,17.3,26.7,29.8,31.8,23.7,7.2,,7.3,,,
1995,Q2,9.4,8.8,8.4,0.0,17.0,15.2,24.3,26.9,30.2,17.0,11.9,,9.6,,,
1995,Q3,7.8,3.6,10.9,0.0,14.8,13.9,18.9,21.1,23.8,12.2,8.2,,8.5,,,
1995,Q4,5.7,8.0,7.8,0.0,11.1,11.1,11.2,16.4,16.1,17.7,-0.1,,7.2,,,
1996,Q1,1.7,6.4,2.2,0.0,1.5,-0.9,8.9,2.7,1.4,7.3,2.0,,3.8,,,
1996,Q2,5.8,9.9,5.2,0.0,-2.7,-8.7,20.4,-1.9,-4.2,6.0,3.5,,6.4,,,
1996,Q3,6.9,6.0,8.2,0.0,-7.3,-13.5,19.1,-3.6,-6.3,6.6,6.5,,7.4,,,
1996,Q4,5.6,17.8,12.2,0.0,-8.6,-13.0,9.0,-9.0,-10.2,-4.8,11.0,,5.1,,,
1997,Q1,3.5,5.6,-14.1,0.0,0.6,-0.2,3.7,-7.7,-9.5,-1.5,0.8,,0.4,,,
1997,Q2,2.0,2.3,-15.7,0.0,6.0,5.3,8.1,-6.5,-6.8,-5.2,-2.4,,-2.0,,,
1997,Q3,-3.3,3.3,-16.7,0.0,12.1,13.4,7.3,-5.3,-9.5,9.0,-4.8,,-3.0,,,
1997,Q4,-7.5,-0.1,-39.1,0.0,17.0,15.5,21.8,-14.8,-24.3,18.6,-6.3,,-6.2,,,
1998,Q1,-8.5,-2.4,-40.9,0.0,18.1,16.3,25.5,-21.3,-28.7,4.3,-3.9,,-5.7,,,
1998,Q2,-14.3,-2.0,-51.3,0.0,11.6,13.9,3.4,-23.8,-28.6,-7.5,-11.2,,-12.5,,,
1998,Q3,-11.8,9.7,-46.7,0.0,10.1,9.2,12.0,-20.5,-24.3,-8.2,-10.1,,-9.9,,,
1998,Q4,-5.8,12.4,-35.4,0.0,4.8,6.7,-2.9,-12.4,-9.4,-18.5,-3.5,,-2.5,,,
1999,Q1,-2.3,2.8,-23.9,0.0,-2.3,-2.7,0.0,-8.6,-5.5,-16.6,-1.1,,1.2,,,
1999,Q2,1.9,14.1,4.5,0.0,4.4,6.3,-4.1,13.3,14.5,9.0,1.4,,5.4,,,
1999,Q3,8.2,-2.9,1.3,0.0,14.0,16.5,2.5,14.2,17.3,4.3,7.3,,7.8,,,
1999,Q4,8.7,2.4,3.3,0.0,17.5,19.4,8.1,24.9,28.4,12.0,6.7,,4.1,,,
2000,Q1,9.0,7.1,19.6,0.0,20.1,32.0,-16.1,44.4,52.4,19.7,4.5,,6.9,,,
2000,Q2,7.8,-1.6,-3.1,0.0,16.6,19.6,4.8,21.5,26.0,7.0,5.0,,6.0,,,
2000,Q3,5.2,6.9,-2.8,0.0,18.5,22.5,2.4,31.3,33.1,25.5,0.3,,2.4,,,
2000,Q4,6.3,-1.2,1.2,0.0,9.6,11.6,1.7,13.1,13.9,11.1,3.2,,2.6,,,
2001,Q1,6.2,2.4,-2.1,0.0,7.3,7.3,7.3,11.9,11.4,13.8,3.0,,2.3,,,
2001,Q2,6.6,5.7,7.1,0.0,8.2,8.4,7.1,10.1,10.3,9.3,3.8,,3.7,,,
2001,Q3,6.3,3.2,4.3,0.0,-5.3,-6.8,2.9,-4.8,-4.1,-7.4,4.7,,3.6,,,
2001,Q4,4.6,-0.7,-1.4,0.0,-7.9,-9.9,2.1,-8.6,-7.8,-11.8,1.0,,4.1,,,
2002,Q1,5.5,11.0,2.9,0.0,0.8,-1.8,13.3,-0.9,-1.9,3.0,4.6,,4.6,,,
2002,Q2,6.6,2.0,7.1,0.0,2.9,1.7,8.5,2.6,1.1,8.2,6.6,,6.4,,,
2002,Q3,6.1,-0.1,10.7,0.0,7.9,6.3,15.8,11.1,11.7,9.0,6.0,,6.9,,,
2002,Q4,6.6,1.6,3.8,0.0,11.8,10.8,16.8,12.4,10.0,22.1,6.1,,6.8,,,
2003,Q1,8.3,-4.2,8.1,0.0,10.9,12.4,4.8,11.6,12.2,9.6,7.4,,7.6,,,
2003,Q2,6.1,7.3,9.3,0.0,7.0,12.6,-18.5,5.9,8.5,-3.2,6.6,,6.3,,,
2003,Q3,7.3,7.8,11.1,0.0,7.2,8.7,0.7,9.2,10.7,3.9,7.3,,6.8,,,
2003,Q4,7.8,9.7,22.2,0.0,11.3,13.6,1.5,17.5,22.1,1.4,7.6,,7.9,,,
2004,Q1,7.6,8.3,11.3,0.0,14.4,15.7,8.8,21.3,22.8,15.7,4.6,,6.5,,,
2004,Q2,9.0,3.9,15.5,0.0,19.4,16.3,39.6,28.3,29.7,22.8,6.6,,6.3,,,
2004,Q3,6.9,0.8,12.3,0.0,14.5,16.9,2.8,20.1,20.0,20.3,5.8,,5.6,,,
2004,Q4,6.3,3.3,23.9,0.0,10.8,12.4,3.5,12.8,11.6,17.9,7.8,,6.6,,,
2005,Q1,3.5,7.7,17.4,0.0,4.6,6.5,-3.9,16.7,19.5,6.3,3.4,,3.9,,,
2005,Q2,4.1,7.3,14.9,0.0,8.0,8.9,3.8,21.2,22.5,16.1,3.3,,4.3,,,
2005,Q3,5.2,10.8,14.1,0.0,12.9,13.4,10.2,13.8,13.8,13.9,5.2,,4.7,,,
2005,Q4,3.9,6.0,11.4,0.0,5.5,4.4,10.8,13.1,11.5,19.1,4.8,,3.9,,,
2006,Q1,5.3,3.9,6.5,0.0,13.1,11.6,21.0,3.6,-0.8,23.0,6.5,,5.5,,,
2006,Q2,2.9,3.4,5.6,0.0,7.5,6.3,14.4,-1.7,-3.7,7.2,5.3,,4.5,,,
