"Table 2.2 : Contributions to  growth rate of gross domestic product , chain volume measures [reference year = 2002] (original)  y-o-y growth rate",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Private final consumption expenditure,(2) General government final consumption expenditure,(3) Gross fixed capital formation,(4) Change in inventories,(5) Plus : Exports of goods and services,(5.1) Exports of goods  (f.o.b),(5.2) Exports of services,(6) Less : Imports of goods and services,(6.1) Imports of goods (f.o.b),(6.2) Imports of services,(9) Gross domestic product,,,,,,,,,,,,
1993,Q1,,,,,,,,,,,,,,,,,,,,,,,
1993,Q2,,,,,,,,,,,,,,,,,,,,,,,
1993,Q3,,,,,,,,,,,,,,,,,,,,,,,
1993,Q4,,,,,,,,,,,,,,,,,,,,,,,
1994,Q1,,,,,,,,,,,,,,,,,,,,,,,
1994,Q2,,,,,,,,,,,,,,,,,,,,,,,
1994,Q3,,,,,,,,,,,,,,,,,,,,,,,
1994,Q4,,,,,,,,,,,,,,,,,,,,,,,
1995,Q1,5.2,0.8,7.9,0.0,6.9,4.6,2.3,11.3,9.1,2.1,7.3,,,,,,,,,,,,
1995,Q2,5.0,0.9,3.5,0.0,6.2,4.5,1.7,11.3,9.5,1.8,9.6,,,,,,,,,,,,
1995,Q3,4.2,0.5,4.5,0.0,5.9,4.5,1.4,9.2,8.0,1.3,8.5,,,,,,,,,,,,
1995,Q4,2.9,0.8,3.2,0.0,4.6,3.7,1.0,7.8,5.9,1.9,7.2,,,,,,,,,,,,
1996,Q1,0.9,0.7,0.9,0.0,0.6,-0.3,0.9,1.2,0.5,0.7,3.8,,,,,,,,,,,,
1996,Q2,3.0,1.1,2.1,0.0,-1.1,-2.7,1.7,-0.9,-1.5,0.7,6.4,,,,,,,,,,,,
1996,Q3,3.6,0.8,3.5,0.0,-3.1,-4.7,1.5,-1.7,-2.4,0.7,7.4,,,,,,,,,,,,
1996,Q4,2.8,1.8,4.9,0.0,-3.8,-4.6,0.8,-4.7,-4.2,-0.5,5.1,,,,,,,,,,,,
1997,Q1,1.8,0.6,-5.7,0.0,0.3,-0.1,0.4,-3.4,-3.3,-0.2,0.4,,,,,,,,,,,,
1997,Q2,1.1,0.3,-6.3,0.0,2.2,1.5,0.7,-2.9,-2.3,-0.6,-2.0,,,,,,,,,,,,
1997,Q3,-1.7,0.4,-7.1,0.0,4.7,4.0,0.6,-2.3,-3.2,0.9,-3.0,,,,,,,,,,,,
1997,Q4,-3.9,0.0,-16.8,0.0,6.8,4.8,2.0,-6.9,-8.8,1.9,-6.2,,,,,,,,,,,,
1998,Q1,-4.4,-0.3,-14.7,0.0,8.0,5.5,2.6,-9.7,-10.3,0.4,-5.7,,,,,,,,,,,,
1998,Q2,-7.9,-0.2,-18.3,0.0,5.2,4.9,0.3,-11.3,-10.7,-0.8,-12.5,,,,,,,,,,,,
1998,Q3,-6.3,1.3,-17.8,0.0,5.0,3.7,1.1,-9.8,-8.9,-0.9,-9.9,,,,,,,,,,,,
1998,Q4,-3.0,1.5,-10.2,0.0,2.6,2.9,-0.3,-5.8,-3.1,-2.4,-2.5,,,,,,,,,,,,
1999,Q1,-1.2,0.3,-5.7,0.0,-1.3,-1.1,0.0,-3.4,-1.6,-1.7,1.2,,,,,,,,,,,,
1999,Q2,1.0,1.7,0.9,0.0,2.5,2.9,-0.4,5.7,4.8,0.9,5.4,,,,,,,,,,,,
1999,Q3,4.3,-0.5,0.3,0.0,8.4,8.0,0.3,6.2,5.8,0.4,7.8,,,,,,,,,,,,
1999,Q4,4.3,0.3,0.7,0.0,10.3,9.4,0.9,10.8,9.6,1.2,4.1,,,,,,,,,,,,
2000,Q1,4.6,0.9,3.5,0.0,10.1,11.9,-2.1,15.5,13.7,1.7,6.9,,,,,,,,,,,,
2000,Q2,4.2,-0.2,-0.7,0.0,8.8,8.4,0.5,9.7,8.9,0.8,6.0,,,,,,,,,,,,
2000,Q3,2.8,1.0,-0.6,0.0,11.0,10.9,0.3,14.2,11.5,2.7,2.4,,,,,,,,,,,,
2000,Q4,3.3,-0.2,0.3,0.0,6.0,5.9,0.2,6.7,5.6,1.2,2.6,,,,,,,,,,,,
2001,Q1,3.2,0.3,-0.5,0.0,4.2,3.5,0.8,5.9,4.5,1.4,2.3,,,,,,,,,,,,
2001,Q2,3.6,0.8,1.4,0.0,5.0,4.2,0.7,5.5,4.5,1.1,3.7,,,,,,,,,,,,
2001,Q3,3.5,0.5,1.0,0.0,-3.7,-4.1,0.3,-3.0,-2.0,-1.0,3.6,,,,,,,,,,,,
2001,Q4,2.5,-0.1,-0.3,0.0,-5.4,-5.7,0.3,-5.1,-3.7,-1.5,4.1,,,,,,,,,,,,
2002,Q1,3.0,1.4,0.6,0.0,0.5,-0.9,1.4,-0.5,-0.9,0.3,4.6,,,,,,,,,,,,
2002,Q2,3.8,0.3,1.6,0.0,1.8,0.9,0.9,1.5,0.5,1.0,6.4,,,,,,,,,,,,
2002,Q3,3.5,0.0,2.6,0.0,5.2,3.4,1.7,6.5,5.4,1.1,6.9,,,,,,,,,,,,
2002,Q4,3.7,0.2,0.8,0.0,7.3,5.5,1.9,6.7,4.3,2.4,6.8,,,,,,,,,,,,
2003,Q1,4.5,-0.6,1.7,0.0,6.3,5.7,0.6,5.9,4.8,1.1,7.6,,,,,,,,,,,,
2003,Q2,3.4,0.9,2.1,0.0,4.2,6.1,-1.9,3.3,3.6,-0.4,6.3,,,,,,,,,,,,
2003,Q3,4.2,1.1,2.7,0.0,4.6,4.5,0.1,5.3,4.8,0.5,6.8,,,,,,,,,,,,
2003,Q4,4.3,1.2,4.5,0.0,7.0,6.8,0.2,9.5,9.3,0.2,7.9,,,,,,,,,,,,
2004,Q1,4.1,1.0,2.4,0.0,8.5,7.5,1.0,10.9,9.2,1.7,6.5,,,,,,,,,,,,
2004,Q2,5.1,0.5,3.5,0.0,11.5,8.4,3.1,15.2,12.7,2.5,6.3,,,,,,,,,,,,
2004,Q3,3.9,0.1,3.1,0.0,9.3,9.0,0.3,11.6,9.2,2.4,5.6,,,,,,,,,,,,
2004,Q4,3.5,0.4,5.5,0.0,6.9,6.5,0.4,7.4,5.4,2.0,6.6,,,,,,,,,,,,
2005,Q1,1.9,1.0,3.8,0.0,2.9,3.3,-0.5,9.6,8.9,0.8,3.9,,,,,,,,,,,,
2005,Q2,2.4,1.0,3.6,0.0,5.3,4.9,0.4,13.6,11.5,2.1,4.3,,,,,,,,,,,,
2005,Q3,3.0,1.6,3.8,0.0,8.9,7.8,1.1,8.9,7.0,1.9,4.7,,,,,,,,,,,,
2005,Q4,2.1,0.7,3.0,0.0,3.6,2.4,1.2,7.9,5.5,2.4,3.9,,,,,,,,,,,,
2006,Q1,2.9,0.5,1.6,0.0,8.3,6.2,2.1,2.3,-0.5,2.8,5.5,,,,,,,,,,,,
