"Table 2 :  Expenditure on gross domestic product, chain volume measures [reference year = 2002] (original)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Private final consumption expenditure,(2) General government final consumption expenditure,(3) Gross fixed capital formation,(4) Change in inventories,(5) Plus : Exports of goods and services,(5.1) Exports of goods  (f.o.b),(5.2) Exports of services,(6) Less : Imports of goods and services,(6.1) Imports of goods (f.o.b),(6.2) Imports of services,(7) Expenditure on gross domestic product (sum up),(7.1) Residual (GDE (sum up) - GDE CVM),(7.2) % Residual (GDE sum up) to GDE CVM,(8) Expenditure on gross domestic product (CVM),,(9) Gross domestic product (CVM),,,,,,,,,,,,,,,,,,
1993,Q1,"577,284","111,819","489,903","-3,129","397,868","304,217","91,814","451,456","381,655","77,580","1,112,673","39,388",3.7,"1,073,285",,"1,067,301",,,,,,,,,,,,,,,,,,
1993,Q2,"588,187","116,963","499,025","-2,440","397,561","322,313","77,340","475,695","396,438","86,182","1,118,768","43,732",4.1,"1,075,036",,"1,039,924",,,,,,,,,,,,,,,,,,
1993,Q3,"583,477","137,745","528,543","1,231","454,124","375,678","82,445","495,676","414,415","88,772","1,205,932","48,967",4.2,"1,156,965",,"1,086,494",,,,,,,,,,,,,,,,,,
1993,Q4,"610,574","125,080","514,354","30,647","494,639","402,935","94,718","595,710","475,013","124,591","1,178,704","43,048",3.8,"1,135,656",,"1,147,308",,,,,,,,,,,,,,,,,,
1994,Q1,"613,074","128,859","522,250","27,546","450,487","360,857","91,117","513,942","419,524","99,871","1,224,308","46,161",3.9,"1,178,147",,"1,179,517",,,,,,,,,,,,,,,,,,
1994,Q2,"633,997","126,162","570,852","-20,149","458,131","387,974","75,640","563,947","452,228","115,781","1,206,467","54,921",4.8,"1,151,546",,"1,146,232",,,,,,,,,,,,,,,,,,
1994,Q3,"634,112","153,572","574,384","-10,256","497,235","427,395","76,984","585,181","481,920","110,475","1,263,796","53,590",4.4,"1,210,206",,"1,135,828",,,,,,,,,,,,,,,,,,
1994,Q4,"664,173","124,600","598,532","46,275","566,914","475,682","97,182","708,312","594,278","125,361","1,286,805","44,003",3.5,"1,242,802",,"1,226,603",,,,,,,,,,,,,,,,,,
1995,Q1,"677,165","139,038","633,755","-3,064","539,280","423,385","115,412","667,284","552,805","123,543","1,309,343","46,516",3.7,"1,262,827",,"1,265,610",,,,,,,,,,,,,,,,,,
1995,Q2,"693,366","137,207","618,856","66,374","536,025","447,085","94,020","715,691","588,901","135,508","1,332,499","43,568",3.4,"1,288,931",,"1,256,367",,,,,,,,,,,,,,,,,,
1995,Q3,"683,791","159,073","636,883","20,783","570,653","486,831","91,530","708,627","596,709","123,962","1,358,220","49,008",3.7,"1,309,212",,"1,231,962",,,,,,,,,,,,,,,,,,
1995,Q4,"701,771","134,606","645,499","-1,800","630,032","528,608","108,054","824,495","689,819","147,573","1,279,346","37,999",3.1,"1,241,347",,"1,314,936",,,,,,,,,,,,,,,,,,
1996,Q1,"688,596","147,928","647,974","-1,877","547,339","419,737","125,730","685,463","560,419","132,612","1,335,057","47,277",3.7,"1,287,780",,"1,313,862",,,,,,,,,,,,,,,,,,
1996,Q2,"733,769","150,738","651,023","35,033","521,708","408,277","113,205","702,352","564,046","143,629","1,384,370","50,573",3.8,"1,333,797",,"1,336,374",,,,,,,,,,,,,,,,,,
1996,Q3,"731,154","168,628","688,959","24,259","528,852","420,928","109,037","683,442","558,884","132,132","1,451,949","57,987",4.2,"1,393,962",,"1,323,012",,,,,,,,,,,,,,,,,,
1996,Q4,"741,299","158,534","724,143","-9,680","576,043","459,712","117,776","750,106","619,261","140,557","1,431,966","54,229",3.9,"1,377,737",,"1,382,117",,,,,,,,,,,,,,,,,,
1997,Q1,"712,722","156,280","556,769","3,198","550,886","418,853","130,342","632,958","507,309","130,602","1,340,253","42,222",3.3,"1,298,031",,"1,318,993",,,,,,,,,,,,,,,,,,
1997,Q2,"748,574","154,225","549,091",-417,"552,848","430,066","122,329","656,583","525,462","136,107","1,342,299","40,247",3.1,"1,302,052",,"1,309,139",,,,,,,,,,,,,,,,,,
1997,Q3,"707,344","174,222","574,077","-22,827","592,939","477,539","116,997","647,479","505,943","144,056","1,377,353","49,797",3.8,"1,327,556",,"1,282,881",,,,,,,,,,,,,,,,,,
1997,Q4,"685,356","158,448","441,205","2,352","674,053","530,947","143,397","639,281","469,069","166,731","1,325,905","34,915",2.7,"1,290,990",,"1,296,888",,,,,,,,,,,,,,,,,,
1998,Q1,"652,155","152,521","328,991","-22,812","650,363","487,298","163,554","497,855","361,754","136,189","1,263,764","15,988",1.3,"1,247,776",,"1,244,216",,,,,,,,,,,,,,,,,,
1998,Q2,"641,334","151,098","267,152","-12,721","616,795","490,016","126,542","500,327","375,262","125,889","1,162,270","6,284",0.5,"1,155,986",,"1,145,060",,,,,,,,,,,,,,,,,,
1998,Q3,"624,145","191,065","306,096","-56,456","652,998","521,603","131,074","514,532","382,895","132,294","1,202,338","9,409",0.8,"1,192,929",,"1,155,997",,,,,,,,,,,,,,,,,,
1998,Q4,"645,264","178,120","285,039","-6,111","706,405","566,710","139,286","559,779","425,163","135,870","1,247,275","1,120",0.1,"1,246,155",,"1,265,055",,,,,,,,,,,,,,,,,,
1999,Q1,"636,855","156,766","250,204","15,261","635,633","474,227","163,601","455,138","341,963","113,558","1,241,393","6,761",0.5,"1,234,632",,"1,259,716",,,,,,,,,,,,,,,,,,
1999,Q2,"653,410","172,374","279,217","-2,411","643,808","520,954","121,417","566,845","429,791","137,183","1,177,987","5,860",0.5,"1,172,127",,"1,206,997",,,,,,,,,,,,,,,,,,
1999,Q3,"675,520","185,489","310,058","-42,162","744,195","607,647","134,395","587,463","449,309","137,940","1,283,698","4,227",0.3,"1,279,471",,"1,246,015",,,,,,,,,,,,,,,,,,
1999,Q4,"701,321","182,444","294,498","17,509","829,754","676,821","150,595","699,253","545,860","152,150","1,325,178","-4,515",-0.3,"1,329,693",,"1,317,543",,,,,,,,,,,,,,,,,,
2000,Q1,"694,197","167,918","299,121","24,276","763,617","625,753","137,309","657,149","521,021","135,941","1,291,612","1,638",0.1,"1,289,974",,"1,346,757",,,,,,,,,,,,,,,,,,
2000,Q2,"704,469","169,695","270,462","22,711","750,434","622,828","127,283","688,444","541,508","146,721","1,229,219","-1,611",-0.1,"1,230,830",,"1,279,194",,,,,,,,,,,,,,,,,,
2000,Q3,"710,859","198,356","301,282","-37,693","881,944","744,337","137,578","771,311","597,889","173,141","1,283,689",149,0.0,"1,283,540",,"1,276,273",,,,,,,,,,,,,,,,,,
2000,Q4,"745,273","180,336","298,173","27,616","909,140","755,644","153,136","791,102","621,857","168,995","1,369,326","-2,653",-0.2,"1,371,979",,"1,352,158",,,,,,,,,,,,,,,,,,
2001,Q1,"737,140","171,876","292,784","42,765","819,169","671,394","147,380","735,581","580,469","154,752","1,328,118",-407,0.0,"1,328,525",,"1,378,078",,,,,,,,,,,,,,,,,,
2001,Q2,"750,704","179,345","289,547","5,014","811,992","675,412","136,270","757,968","597,333","160,295","1,278,664",666,0.1,"1,277,998",,"1,326,723",,,,,,,,,,,,,,,,,,
2001,Q3,"755,621","204,636","314,207","-31,191","835,620","693,777","141,513","733,961","573,537","160,288","1,344,738",277,0.0,"1,344,461",,"1,322,686",,,,,,,,,,,,,,,,,,
2001,Q4,"779,641","179,055","293,951","17,429","837,680","680,802","156,426","723,192","573,629","149,093","1,384,582",-844,-0.1,"1,385,426",,"1,407,869",,,,,,,,,,,,,,,,,,
2002,Q1,"777,828","190,701","301,351","22,565","825,701","659,121","166,957","728,613","569,194","159,370","1,389,959",-43,0.0,"1,390,002",,"1,441,030",,,,,,,,,,,,,,,,,,
2002,Q2,"800,589","182,900","310,082","12,262","835,356","687,191","147,817","777,457","604,089","173,496","1,363,256",631,0.0,"1,362,625",,"1,411,214",,,,,,,,,,,,,,,,,,
2002,Q3,"801,739","204,525","347,713","-14,775","901,314","737,216","163,875","815,329","640,420","174,659","1,425,214",125,0.0,"1,425,089",,"1,414,291",,,,,,,,,,,,,,,,,,
2002,Q4,"831,046","181,867","305,061","27,986","936,633","754,136","182,692","812,867","630,970","182,067","1,469,751",-708,0.0,"1,470,459",,"1,503,042",,,,,,,,,,,,,,,,,,
