"Table 20 :  General government final consumption expenditure, chain volume measures [reference year = 2002] (seasonally adjusted)",,,,,,,
Unit : Million Baht,,,,,,,
,,(1)Compensation of Employees ,(2)Consumption of fixed capital ,(3) Purchases from Enterprises and Abroad ,(4)Less: Purchases by households and enterprises ,(5)Social transfers in kind  purchased  market production ,(6)General Government Final Consumption Expenditure 
1993,Q1,"70,766","12,936","30,547","2,175","1,258","113,953"
1993,Q2,"73,099","13,125","36,326","2,857","1,113","122,003"
1993,Q3,"73,158","12,960","40,209","4,338","1,125","126,664"
1993,Q4,"76,855","14,212","41,593","2,964","1,246","128,495"
1994,Q1,"75,578","14,924","42,605","2,323","1,451","131,475"
1994,Q2,"74,660","15,480","41,619","2,495","1,238","131,585"
1994,Q3,"76,168","15,260","47,977","3,961","1,270","141,323"
1994,Q4,"73,707","15,677","41,714","2,309","1,308","127,603"
1995,Q1,"85,859","16,846","42,431","4,673","1,456","142,117"
1995,Q2,"82,069","17,009","46,259","4,435","1,705","143,464"
1995,Q3,"82,934","17,945","45,037","4,263","1,642","146,293"
1995,Q4,"82,061","18,249","42,103","5,033","1,549","137,033"
1996,Q1,"85,447","18,370","53,094","4,649","1,505","152,020"
1996,Q2,"86,979","19,664","53,638","4,455","1,889","157,822"
1996,Q3,"87,340","20,600","47,535","4,450","1,795","155,125"
1996,Q4,"88,485","20,495","54,269","4,810","4,148","160,010"
1997,Q1,"88,534","22,375","55,305","5,028","3,283","161,864"
1997,Q2,"92,240","22,497","48,274","4,775","3,402","161,623"
1997,Q3,"92,593","22,965","44,660","4,783","3,453","160,223"
1997,Q4,"94,349","23,576","43,614","4,625","3,145","158,574"
1998,Q1,"97,172","24,258","38,745","4,754","3,014","159,522"
1998,Q2,"97,375","25,566","37,292","5,685","3,055","158,049"
1998,Q3,"100,642","26,171","48,633","4,820","2,949","175,539"
1998,Q4,"108,573","25,934","44,795","3,242","3,082","177,606"
1999,Q1,"101,060","26,294","37,908","4,039","2,958","165,012"
1999,Q2,"104,627","28,696","47,307","4,034","3,110","180,018"
1999,Q3,"105,541","25,814","38,989","3,585","3,136","169,829"
1999,Q4,"104,327","27,366","54,593","4,327","3,288","182,356"
2000,Q1,"104,151","27,006","47,828","4,249","3,313","177,493"
2000,Q2,"104,031","27,917","44,714","4,296","3,381","176,125"
2000,Q3,"105,090","28,299","46,879","4,545","3,687","181,399"
2000,Q4,"108,504","28,443","47,352","4,144","3,692","181,460"
2001,Q1,"104,977","27,660","50,348","4,766","4,026","181,615"
2001,Q2,"106,739","26,745","51,304","4,465","4,086","184,917"
2001,Q3,"109,346","29,278","47,633","5,041","4,482","187,048"
2001,Q4,"111,890","29,696","42,131","5,098","4,686","181,873"
2002,Q1,"113,667","29,616","55,053","4,965","7,602","200,879"
2002,Q2,"114,100","29,288","41,192","5,380","7,683","187,256"
2002,Q3,"112,032","27,984","45,220","5,699","8,227","187,139"
2002,Q4,"112,927","27,967","42,008","5,151","8,819","186,544"
2003,Q1,"113,290","29,383","45,063","4,772","7,273","191,293"
2003,Q2,"115,974","29,139","48,044","4,988","11,765","200,226"
2003,Q3,"119,040","28,441","48,583","5,087","12,387","201,754"
2003,Q4,"119,221","29,396","50,664","5,570","12,487","206,373"
2004,Q1,"118,972","28,682","52,581","5,603","10,783","206,002"
2004,Q2,"121,497","29,417","50,817","5,292","10,699","207,453"
2004,Q3,"117,640","30,562","50,402","5,639","11,567","203,505"
2004,Q4,"120,744","29,820","58,007","6,009","12,745","214,481"
2005,Q1,"127,224","30,339","53,124","5,758","14,149","220,670"
2005,Q2,"127,212","30,068","57,484","6,799","14,548","222,729"
2005,Q3,"125,129","30,597","62,039","7,065","15,704","225,053"
2005,Q4,"124,267","30,878","63,660","7,382","18,143","228,458"
2006,Q1,"124,613","31,361","61,980","7,542","17,908","228,528"
2006,Q2,"130,312","31,143","60,668","6,872","15,262","230,632"
2006,Q3,"130,315","31,271","62,647","7,404","15,074","230,369"
2006,Q4,"132,210","31,871","52,974","8,117","17,138","227,298"
2007,Q1,"138,736","32,223","64,298","7,976","20,860","249,169"
2007,Q2,"137,618","32,251","67,649","9,131","21,711","249,752"
2007,Q3,"142,506","33,139","66,621","7,988","22,206","252,870"
2007,Q4,"136,134","32,835","62,730","7,276","18,287","242,642"
2008,Q1,"134,836","33,628","67,698","7,706","18,121","246,708"
2008,Q2,"141,037","34,298","65,237","7,407","14,166","247,517"
2008,Q3,"139,934","33,954","69,273","8,369","44,799","270,231"
2008,Q4,"149,797","34,247","76,701","8,374","28,833","278,645"
2009,Q1,"143,981","34,456","81,535","19,509","42,236","281,008"
2009,Q2,"147,262","35,215","82,798","13,696","38,704","289,015"
2009,Q3,"151,853","35,380","84,250","14,563","32,518","284,624"
2009,Q4,"154,905","35,940","94,082","14,686","33,007","297,913"
2010,Q1,"154,990","35,985","91,159","13,933","43,988","309,616"
2010,Q2,"152,799","36,637","93,256","17,426","50,645","313,689"
2010,Q3,"156,898","36,461","93,100","16,155","45,886","307,356"
2010,Q4,"163,384","37,415","104,159","15,177","42,510","325,051"
2011,Q1,"164,010","37,705","102,806","18,750","45,144","326,802"
2011,Q2,"160,265","38,307","99,296","12,009","44,744","326,374"
2011,Q3,"165,131","39,008","105,014","15,686","42,352","328,724"
2011,Q4,"161,039","37,890","96,539","19,330","47,283","318,730"
2012,Q1,"172,316","39,785","100,460","17,167","46,880","338,692"
2012,Q2,"170,568","40,789","114,849","17,710","49,176","351,456"
2012,Q3,"165,528","42,001","114,465","15,695","58,783","352,814"
2012,Q4,"173,255","41,617","106,255","14,083","48,939","350,777"
2013,Q1,"167,007","42,169","109,557","17,300","47,451","341,103"
2013,Q2,"174,863","42,302","119,227","24,021","49,885","357,189"
2013,Q3,"176,631","42,763","134,008","24,200","38,779","363,965"
2013,Q4,"166,863","42,207","109,015","16,762","55,488","352,039"
2014,Q1,"175,671","41,374","116,734","18,026","44,712","352,921"
2014,Q2,"177,876","41,658","119,344","18,012","48,742","363,728"
2014,Q3,"177,529","42,306","129,427","22,180","51,685","369,010"
