Table 21.1 :  Exports and Imports of goods and services at current market prices (seasonally adjusted) q-o-q growth rate,,,,,,,
,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
1993,Q1,,,,,,
1993,Q2,5.0 ,5.8 ,3.9 ,2.3 ,2.0 ,7.0 
1993,Q3,10.5 ,10.4 ,9.6 ,5.4 ,3.4 ,12.5 
1993,Q4,0.8 ,1.1 ,1.3 ,7.4 ,3.2 ,24.3 
1994,Q1,0.8 ,3.5 ,-8.1 ,0.0 ,2.5 ,-11.6 
1994,Q2,6.7 ,7.9 ,0.9 ,8.0 ,7.6 ,11.8 
1994,Q3,4.8 ,4.2 ,5.8 ,3.7 ,3.9 ,3.5 
1994,Q4,5.1 ,4.4 ,10.8 ,4.6 ,6.6 ,0.5 
1995,Q1,9.7 ,8.9 ,12.3 ,12.9 ,12.1 ,10.0 
1995,Q2,5.3 ,6.7 ,-0.9 ,5.1 ,5.5 ,6.2 
1995,Q3,1.4 ,1.1 ,1.6 ,0.7 ,1.8 ,-2.7 
1995,Q4,1.5 ,1.1 ,4.9 ,6.5 ,7.2 ,6.5 
1996,Q1,-0.1 ,-1.9 ,6.6 ,-0.6 ,-2.0 ,0.4 
1996,Q2,2.7 ,0.5 ,9.1 ,1.4 ,0.8 ,5.1 
1996,Q3,-3.2 ,-3.5 ,-1.4 ,-5.6 ,-5.8 ,-4.2 
1996,Q4,-0.2 ,1.1 ,-3.8 ,-2.5 ,-1.8 ,-4.1 
1997,Q1,3.1 ,3.8 ,1.1 ,3.1 ,1.6 ,5.7 
1997,Q2,6.8 ,4.3 ,13.8 ,0.8 ,1.0 ,0.8 
1997,Q3,20.7 ,27.8 ,-2.3 ,11.2 ,12.7 ,7.1 
1997,Q4,20.1 ,23.0 ,11.2 ,0.7 ,-1.1 ,6.9 
1998,Q1,6.6 ,7.6 ,7.1 ,-3.3 ,-2.0 ,-8.6 
1998,Q2,-10.2 ,-12.5 ,-6.4 ,-11.5 ,-11.6 ,-10.8 
1998,Q3,-1.5 ,-2.4 ,2.4 ,-3.0 ,-4.7 ,3.8 
1998,Q4,-10.1 ,-11.0 ,-5.5 ,-8.4 ,-10.4 ,-3.1 
1999,Q1,2.6 ,0.1 ,14.1 ,1.6 ,3.6 ,-4.7 
1999,Q2,6.8 ,11.7 ,-13.1 ,16.5 ,16.5 ,16.7 
1999,Q3,3.9 ,3.3 ,7.1 ,2.6 ,4.5 ,-2.4 
1999,Q4,5.4 ,6.9 ,1.1 ,12.0 ,13.3 ,8.0 
2000,Q1,2.2 ,6.0 ,-7.5 ,4.9 ,5.9 ,0.0 
2000,Q2,4.5 ,1.4 ,8.6 ,4.9 ,5.2 ,4.8 
2000,Q3,11.5 ,13.7 ,3.8 ,14.3 ,14.4 ,14.5 
2000,Q4,3.7 ,4.7 ,0.4 ,5.9 ,8.2 ,-2.3 
2001,Q1,-6.4 ,-5.5 ,-5.4 ,-0.6 ,-1.1 ,-0.1 
