Table 21 :  Exports and Imports of goods and services at current market prices (seasonally adjusted)  Millions of Baht,,,,,,,
Unit : Million Baht,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
1993,Q1," 274,282 "," 208,827 "," 64,753 "," 313,357 "," 247,287 "," 63,707 "
1993,Q2," 287,909 "," 220,966 "," 67,310 "," 320,453 "," 252,299 "," 68,170 "
1993,Q3," 318,167 "," 244,007 "," 73,785 "," 337,910 "," 260,990 "," 76,705 "
1993,Q4," 320,845 "," 246,586 "," 74,763 "," 362,758 "," 269,425 "," 95,315 "
1994,Q1," 323,371 "," 255,168 "," 68,717 "," 362,712 "," 276,220 "," 84,293 "
1994,Q2," 344,983 "," 275,283 "," 69,343 "," 391,610 "," 297,136 "," 94,229 "
1994,Q3," 361,676 "," 286,943 "," 73,354 "," 406,058 "," 308,604 "," 97,517 "
1994,Q4," 380,062 "," 299,426 "," 81,263 "," 424,570 "," 329,094 "," 98,020 "
1995,Q1," 416,777 "," 326,058 "," 91,229 "," 479,354 "," 368,966 "," 107,800 "
1995,Q2," 438,671 "," 347,745 "," 90,371 "," 503,961 "," 389,243 "," 114,502 "
1995,Q3," 444,792 "," 351,514 "," 91,834 "," 507,621 "," 396,136 "," 111,414 "
1995,Q4," 451,282 "," 355,450 "," 96,370 "," 540,594 "," 424,547 "," 118,677 "
1996,Q1," 450,721 "," 348,578 "," 102,698 "," 537,376 "," 415,961 "," 119,186 "
1996,Q2," 462,934 "," 350,385 "," 112,072 "," 544,775 "," 419,164 "," 125,229 "
1996,Q3," 448,311 "," 338,042 "," 110,523 "," 514,496 "," 395,039 "," 119,977 "
1996,Q4," 447,575 "," 341,646 "," 106,336 "," 501,530 "," 387,806 "," 115,074 "
1997,Q1," 461,446 "," 354,652 "," 107,489 "," 516,860 "," 393,877 "," 121,659 "
1997,Q2," 492,829 "," 370,002 "," 122,306 "," 521,053 "," 397,982 "," 122,680 "
1997,Q3," 594,648 "," 472,848 "," 119,497 "," 579,415 "," 448,662 "," 131,370 "
1997,Q4," 714,298 "," 581,472 "," 132,842 "," 583,496 "," 443,562 "," 140,466 "
1998,Q1," 761,476 "," 625,869 "," 142,296 "," 564,113 "," 434,683 "," 128,370 "
1998,Q2," 683,641 "," 547,685 "," 133,206 "," 499,193 "," 384,204 "," 114,556 "
1998,Q3," 673,048 "," 534,463 "," 136,385 "," 484,201 "," 366,021 "," 118,906 "
1998,Q4," 604,930 "," 475,678 "," 128,927 "," 443,363 "," 328,080 "," 115,243 "
1999,Q1," 620,806 "," 476,386 "," 147,108 "," 450,304 "," 339,999 "," 109,782 "
1999,Q2," 663,102 "," 532,264 "," 127,872 "," 524,505 "," 395,996 "," 128,142 "
1999,Q3," 689,089 "," 549,997 "," 136,903 "," 538,301 "," 413,620 "," 125,130 "
1999,Q4," 726,612 "," 587,728 "," 138,399 "," 603,050 "," 468,752 "," 135,107 "
2000,Q1," 742,579 "," 622,936 "," 127,957 "," 632,638 "," 496,345 "," 135,078 "
2000,Q2," 775,916 "," 631,653 "," 138,924 "," 663,717 "," 522,054 "," 141,496 "
2000,Q3," 865,179 "," 718,205 "," 144,209 "," 758,511 "," 596,975 "," 162,009 "
2000,Q4," 896,794 "," 752,096 "," 144,824 "," 803,034 "," 645,708 "," 158,241 "
