"Table 22.1 :  Exports and Imports of goods and services,  chain volume measures [reference year = 2002] (seasonally adjusted) q-o-q growth rate",,,,,,,
,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
1993,Q1,,,,,,
1993,Q2,2.5 ,3.8 ,2.4 ,1.6 ,1.5 ,6.3 
1993,Q3,9.7 ,9.4 ,8.9 ,5.3 ,3.9 ,11.7 
1993,Q4,-0.5 ,0.1 ,0.4 ,5.4 ,1.0 ,23.3 
1994,Q1,1.2 ,4.3 ,-11.1 ,1.2 ,3.6 ,-12.0 
1994,Q2,4.3 ,5.5 ,0.3 ,5.4 ,4.9 ,11.2 
1994,Q3,4.3 ,3.4 ,4.5 ,4.7 ,5.5 ,2.8 
1994,Q4,4.2 ,3.9 ,10.3 ,6.6 ,9.3 ,-0.1 
1995,Q1,5.3 ,3.3 ,9.7 ,10.7 ,9.5 ,8.8 
1995,Q2,2.3 ,3.9 ,-2.0 ,2.7 ,2.8 ,5.5 
1995,Q3,2.2 ,2.2 ,0.1 ,-0.7 ,0.0 ,-3.3 
1995,Q4,1.1 ,1.4 ,3.9 ,3.4 ,3.3 ,5.8 
1996,Q1,-4.2 ,-8.3 ,6.8 ,-2.0 ,-4.1 ,-0.1 
1996,Q2,-1.5 ,-3.9 ,8.8 ,-2.4 ,-3.7 ,4.5 
1996,Q3,-3.0 ,-3.4 ,-1.8 ,-3.5 ,-2.4 ,-4.8 
1996,Q4,0.0 ,2.4 ,-4.4 ,-1.0 ,0.1 ,-4.6 
1997,Q1,5.4 ,4.8 ,2.0 ,-0.6 ,-3.4 ,4.6 
1997,Q2,3.9 ,1.7 ,13.5 ,-1.3 ,-1.5 ,0.7 
1997,Q3,1.9 ,3.7 ,-4.1 ,-3.4 ,-5.6 ,6.3 
1997,Q4,5.1 ,5.0 ,9.3 ,-9.6 ,-15.0 ,6.3 
1998,Q1,6.4 ,4.9 ,6.5 ,-8.7 ,-9.9 ,-7.8 
1998,Q2,-2.0 ,-0.4 ,-6.8 ,-4.1 ,-1.4 ,-10.6 
1998,Q3,-0.1 ,-0.9 ,2.0 ,-0.3 ,-0.3 ,3.0 
1998,Q4,1.1 ,3.9 ,-5.0 ,1.4 ,3.6 ,-3.2 
1999,Q1,-1.0 ,-5.3 ,12.3 ,-6.2 ,-7.8 ,-6.1 
1999,Q2,4.3 ,8.6 ,-11.3 ,19.3 ,20.0 ,16.8 
1999,Q3,8.4 ,8.6 ,6.9 ,0.2 ,1.9 ,-3.3 
1999,Q4,5.7 ,8.1 ,0.8 ,13.1 ,15.8 ,7.3 
2000,Q1,0.6 ,3.2 ,-11.0 ,5.4 ,6.4 ,-1.5 
2000,Q2,0.7 ,-2.0 ,10.0 ,1.3 ,0.1 ,4.2 
2000,Q3,10.1 ,11.8 ,2.8 ,8.1 ,7.9 ,13.2 
2000,Q4,-1.0 ,-0.2 ,0.1 ,0.3 ,0.8 ,-2.9 
2001,Q1,-2.4 ,-2.4 ,-4.1 ,0.6 ,1.1 ,-1.6 
2001,Q2,1.1 ,-1.3 ,8.5 ,0.1 ,-0.1 ,0.6 
2001,Q3,-3.2 ,-3.0 ,-1.7 ,-5.8 ,-5.9 ,-3.9 
2001,Q4,-2.7 ,-2.6 ,-0.8 ,-1.7 ,-1.3 ,-5.8 
2002,Q1,5.7 ,4.9 ,8.2 ,5.5 ,4.6 ,11.7 
2002,Q2,2.6 ,2.0 ,2.3 ,4.3 ,3.3 ,6.7 
2002,Q3,2.2 ,2.2 ,5.7 ,2.7 ,4.7 ,-2.7 
2002,Q4,1.7 ,2.2 ,-0.5 ,0.9 ,-1.4 ,6.4 
2003,Q1,3.7 ,5.0 ,-2.4 ,2.4 ,4.6 ,-2.1 
