"Table 22 :  Exports and Imports of goods and services,  chain volume measures [reference year = 2002] (seasonally adjusted)",,,,,,,
Unit : Million Baht,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
1993,Q1," 408,086 "," 325,152 "," 81,468 "," 477,724 "," 402,706 "," 79,592 "
1993,Q2," 418,255 "," 337,535 "," 83,411 "," 485,289 "," 408,613 "," 84,600 "
1993,Q3," 458,761 "," 369,142 "," 90,849 "," 511,073 "," 424,468 "," 94,534 "
1993,Q4," 456,287 "," 369,333 "," 91,179 "," 538,700 "," 428,916 "," 116,566 "
1994,Q1," 461,729 "," 385,142 "," 81,026 "," 545,192 "," 444,163 "," 102,569 "
1994,Q2," 481,773 "," 406,372 "," 81,262 "," 574,613 "," 465,891 "," 114,015 "
1994,Q3," 502,493 "," 420,174 "," 84,906 "," 601,891 "," 491,586 "," 117,161 "
1994,Q4," 523,710 "," 436,506 "," 93,685 "," 641,510 "," 537,381 "," 116,997 "
1995,Q1," 551,485 "," 450,724 "," 102,779 "," 709,939 "," 588,479 "," 127,342 "
1995,Q2," 564,033 "," 468,490 "," 100,673 "," 729,141 "," 605,126 "," 134,396 "
1995,Q3," 576,637 "," 478,895 "," 100,732 "," 723,884 "," 605,302 "," 129,997 "
1995,Q4," 582,870 "," 485,803 "," 104,670 "," 748,411 "," 625,482 "," 137,556 "
1996,Q1," 558,457 "," 445,606 "," 111,759 "," 733,474 "," 600,067 "," 137,418 "
1996,Q2," 550,074 "," 428,198 "," 121,539 "," 716,128 "," 577,657 "," 143,660 "
1996,Q3," 533,379 "," 413,710 "," 119,296 "," 690,870 "," 563,592 "," 136,812 "
1996,Q4," 533,355 "," 423,527 "," 114,065 "," 683,999 "," 564,059 "," 130,543 "
1997,Q1," 562,110 "," 443,781 "," 116,316 "," 679,675 "," 544,923 "," 136,540 "
1997,Q2," 584,204 "," 451,181 "," 132,046 "," 670,936 "," 536,991 "," 137,520 "
1997,Q3," 595,137 "," 468,095 "," 126,570 "," 648,348 "," 506,886 "," 146,237 "
1997,Q4," 625,306 "," 491,396 "," 138,374 "," 585,810 "," 430,625 "," 155,407 "
1998,Q1," 665,217 "," 515,571 "," 147,371 "," 534,626 "," 388,048 "," 143,309 "
1998,Q2," 652,048 "," 513,449 "," 137,398 "," 512,567 "," 382,545 "," 128,074 "
1998,Q3," 651,089 "," 509,008 "," 140,110 "," 511,111 "," 381,390 "," 131,910 "
1998,Q4," 658,251 "," 528,761 "," 133,168 "," 518,034 "," 395,185 "," 127,661 "
1999,Q1," 651,710 "," 500,693 "," 149,592 "," 485,765 "," 364,205 "," 119,859 "
1999,Q2," 679,594 "," 543,827 "," 132,668 "," 579,742 "," 437,077 "," 139,962 "
1999,Q3," 736,961 "," 590,509 "," 141,763 "," 581,078 "," 445,423 "," 135,357 "
1999,Q4," 778,735 "," 638,260 "," 142,865 "," 657,453 "," 515,631 "," 145,210 "
2000,Q1," 783,736 "," 658,842 "," 127,119 "," 692,969 "," 548,375 "," 143,050 "
2000,Q2," 789,235 "," 645,749 "," 139,894 "," 701,864 "," 548,681 "," 149,075 "
2000,Q3," 869,061 "," 722,161 "," 143,837 "," 758,578 "," 592,023 "," 168,805 "
2000,Q4," 860,771 "," 720,889 "," 143,992 "," 760,737 "," 596,870 "," 163,968 "
2001,Q1," 839,918 "," 703,690 "," 138,149 "," 765,182 "," 603,338 "," 161,333 "
2001,Q2," 849,168 "," 694,835 "," 149,893 "," 766,136 "," 602,807 "," 162,258 "
2001,Q3," 821,871 "," 673,769 "," 147,360 "," 721,674 "," 567,051 "," 155,908 "
2001,Q4," 799,742 "," 656,024 "," 146,115 "," 709,449 "," 559,913 "," 146,936 "
2002,Q1," 845,469 "," 687,884 "," 158,111 "," 748,359 "," 585,649 "," 164,122 "
2002,Q2," 867,483 "," 701,639 "," 161,737 "," 780,704 "," 605,085 "," 175,105 "
2002,Q3," 886,532 "," 717,234 "," 171,007 "," 801,952 "," 633,438 "," 170,370 "
2002,Q4," 901,643 "," 732,977 "," 170,219 "," 809,048 "," 624,565 "," 181,282 "
2003,Q1," 934,575 "," 769,425 "," 166,182 "," 828,496 "," 653,594 "," 177,506 "
2003,Q2," 924,194 "," 786,885 "," 131,175 "," 821,399 "," 651,268 "," 169,826 "
2003,Q3," 950,710 "," 779,769 "," 172,821 "," 879,006 "," 700,582 "," 177,984 "
2003,Q4," 1,008,547 "," 836,777 "," 173,288 "," 955,971 "," 770,305 "," 183,956 "
2004,Q1," 1,067,356 "," 889,232 "," 179,921 "," 1,003,218 "," 802,795 "," 203,626 "
2004,Q2," 1,101,339 "," 913,754 "," 182,649 "," 1,048,073 "," 837,618 "," 209,239 "
2004,Q3," 1,088,481 "," 910,959 "," 178,659 "," 1,056,327 "," 841,413 "," 215,566 "
2004,Q4," 1,119,423 "," 940,845 "," 179,881 "," 1,080,568 "," 862,178 "," 215,676 "
