Table 3 :  Gross Domestic Product at Current Market Prices (Original),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.12) Human health and social work activities,"(2.2.13) Arts, entertainment and recreation",(2.2.14) Other service activities,(2.2.15) Activities of households as employers,(3) Gross Domestic Product,(4) Plus  Net primary income from the rest of the world,(5) Gross National Income,,,,,,,
1993,Q1,"64,673","64,673","723,341","245,287","10,679","215,810","16,058","2,740","478,054","52,735","129,722","48,138","33,725","11,904","63,828","22,868","11,199","9,324","34,219","26,716","14,666","3,286","12,990","2,734","788,014","-13,020","774,994",,,,,,,
1993,Q2,"52,436","52,436","729,776","246,313","12,022","214,222","16,922","3,147","483,463","57,355","134,603","47,614","31,409","12,900","65,713","23,334","7,754","7,971","32,122","27,872","14,376","3,652","14,053","2,735","782,212","-19,331","762,881",,,,,,,
1993,Q3,"56,827","56,827","775,331","248,808","14,035","215,152","16,826","2,795","526,523","64,323","158,040","48,245","33,073","13,139","70,850","22,521","9,701","9,325","32,545","28,846","13,684","3,688","15,807","2,736","832,158","-12,930","819,228",,,,,,,
1993,Q4,"87,981","87,981","773,061","240,233","11,678","209,006","16,830","2,719","532,828","47,677","163,340","47,751","35,612","15,610","72,649","22,644","10,448","12,250","35,518","30,471","15,200","3,959","16,890","2,809","861,042","-9,562","851,480",,,,,,,
1994,Q1,"72,342","72,342","842,297","285,805","12,456","253,867","16,914","2,568","556,492","65,090","158,461","51,708","35,289","14,680","77,606","20,703","9,712","11,008","43,297","30,148","16,036","4,059","15,809","2,886","914,639","-12,261","902,378",,,,,,,
1994,Q2,"61,358","61,358","831,657","266,476","13,095","231,524","19,125","2,732","565,181","67,531","158,993","53,479","33,204","15,213","84,416","21,840","10,708","10,369","38,592","30,444","16,388","4,129","16,919","2,956","893,015","-19,170","873,845",,,,,,,
1994,Q3,"69,411","69,411","834,005","267,462","14,917","230,794","18,762","2,989","566,543","73,023","162,390","53,105","34,139","15,384","79,550","23,764","11,355","9,407","35,557","31,719","15,391","3,952","14,851","2,956","903,416","-17,830","885,586",,,,,,,
1994,Q4,"115,167","115,167","862,853","275,507","13,497","239,344","19,610","3,056","587,346","63,892","179,877","54,930","37,574","16,447","85,068","25,186","13,022","9,522","30,847","32,144","16,191","3,997","15,575","3,074","978,020","-16,509","961,511",,,,,,,
1995,Q1,"103,259","103,259","952,758","314,184","14,987","276,164","19,856","3,177","638,574","74,214","185,088","59,631","39,443","17,698","80,286","26,372","12,606","9,816","52,624","37,819","18,921","4,905","15,939","3,212","1,056,017","-16,337","1,039,680",,,,,,,
1995,Q2,"85,271","85,271","954,193","316,771","13,966","274,522","24,862","3,421","637,422","75,173","183,950","59,098","37,552","18,786","87,067","26,637","13,361","10,729","46,019","34,618","18,369","4,654","18,140","3,269","1,039,464","-25,858","1,013,606",,,,,,,
1995,Q3,"74,900","74,900","959,057","318,210","14,902","277,475","22,467","3,366","640,847","85,057","179,457","56,543","38,492","18,352","82,536","29,167","13,332","11,940","46,558","36,162","17,703","4,723","17,673","3,152","1,033,957","-21,588","1,012,369",,,,,,,
1995,Q4,"119,581","119,581","968,595","316,247","13,765","277,196","21,860","3,426","652,348","72,387","187,293","57,932","42,397","20,193","89,262","30,275","13,496","11,732","46,679","37,152","17,669","4,879","17,834","3,168","1,088,176","-17,746","1,070,430",,,,,,,
1996,Q1,"104,846","104,846","1,027,974","345,937","17,331","302,670","22,436","3,500","682,037","84,572","191,084","59,923","42,473","20,307","86,576","30,171","13,796","11,806","55,443","38,519","19,739","5,617","18,718","3,293","1,132,820","-24,434","1,108,386",,,,,,,
1996,Q2,"93,630","93,630","1,063,898","343,398","17,567","297,476","24,557","3,798","720,500","85,977","210,883","65,411","43,596","21,109","92,772","30,850","16,840","14,152","50,384","38,598","20,298","6,345","19,828","3,457","1,157,528","-38,082","1,119,446",,,,,,,
1996,Q3,"84,061","84,061","1,071,146","343,554","19,374","296,029","24,435","3,716","727,592","95,436","201,704","66,710","41,593","21,890","96,621","34,645","15,020","13,877","51,450","39,912","20,331","5,911","19,081","3,411","1,155,207","-30,152","1,125,055",,,,,,,
1996,Q4,"137,879","137,879","1,055,170","337,906","17,353","294,369","21,997","4,187","717,264","83,274","201,585","66,924","45,276","20,605","92,623","35,682","14,496","13,682","52,924","41,578","20,592","5,957","18,536","3,530","1,193,049","-24,148","1,168,901",,,,,,,
1997,Q1,"103,013","103,013","1,065,681","368,231","18,804","320,166","25,038","4,223","697,450","63,462","212,057","69,988","44,898","19,355","74,797","35,003","13,933","13,323","60,693","41,757","20,274","6,007","18,206","3,697","1,168,694","-24,737","1,143,957",,,,,,,
1997,Q2,"90,600","90,600","1,073,170","358,877","19,969","304,398","29,949","4,561","714,293","69,630","215,835","69,472","43,292","21,159","81,295","36,505","14,523","12,961","56,736","42,710","21,543","6,170","18,644","3,818","1,163,770","-41,559","1,122,211",,,,,,,
1997,Q3,"84,489","84,489","1,085,285","367,752","24,973","314,013","24,168","4,598","717,533","87,610","206,497","68,907","40,627","24,270","68,805","38,734","15,894","13,837","57,371","44,164","20,976","5,871","20,316","3,654","1,169,774","-37,377","1,132,397",,,,,,,
1997,Q4,"148,883","148,883","1,059,189","360,864","24,225","308,156","23,989","4,494","698,325","45,880","210,447","72,542","43,368","23,264","75,733","39,012","18,652","13,809","57,747","44,847","21,742","5,828","21,786","3,668","1,208,072","-36,681","1,171,391",,,,,,,
1998,Q1,"127,820","127,820","1,118,184","409,587","23,368","346,503","34,895","4,821","708,597","50,309","217,739","76,645","43,969","19,287","61,490","39,826","20,209","12,165","67,247","46,622","21,326","6,082","21,895","3,786","1,246,004","-42,715","1,203,289",,,,,,,
1998,Q2,"98,734","98,734","1,031,275","368,355","21,035","310,875","31,471","4,974","662,920","44,756","208,882","69,143","40,898","20,384","55,072","42,672","14,419","10,383","61,888","45,236","21,971","5,436","17,860","3,920","1,130,009","-53,905","1,076,104",,,,,,,
1998,Q3,"89,989","89,989","1,036,510","364,953","24,790","305,649","29,288","5,226","671,557","57,514","194,313","72,659","41,541","24,476","52,098","45,290","12,839","10,622","64,370","47,596","22,438","5,139","16,832","3,830","1,126,499","-47,375","1,079,124",,,,,,,
1998,Q4,"165,800","165,800","1,033,241","368,583","20,271","313,344","30,032","4,936","664,658","33,755","194,907","77,869","44,645","22,734","43,703","48,216","13,859","13,045","67,774","52,975","24,108","5,270","17,971","3,827","1,199,041","-38,481","1,160,560",,,,,,,
1999,Q1,"113,794","113,794","1,096,004","388,657","19,871","336,231","27,244","5,311","707,347","38,196","227,478","77,549","48,133","22,041","42,528","47,732","16,668","14,424","72,383","47,699","23,769","5,979","18,990","3,778","1,209,798","-51,935","1,157,863",,,,,,,
1999,Q2,"92,631","92,631","1,055,890","376,328","20,894","321,902","28,096","5,436","679,562","46,074","203,524","76,120","42,949","22,791","41,180","49,684","16,377","12,891","68,832","48,461","23,105","5,819","17,922","3,833","1,148,521","-36,543","1,111,978",,,,,,,
1999,Q3,"84,264","84,264","1,097,935","394,427","23,929","338,580","26,136","5,782","703,508","54,696","195,389","80,407","44,442","23,890","44,288","56,294","17,422","12,836","70,700","49,731","24,388","6,013","19,259","3,753","1,182,199","-34,362","1,147,837",,,,,,,
1999,Q4,"135,270","135,270","1,114,038","414,424","26,030","352,818","29,926","5,650","699,614","29,684","198,787","82,569","49,413","30,967","44,124","56,662","16,445","12,769","71,232","50,535","25,505","6,218","20,799","3,905","1,249,308","-24,012","1,225,296",,,,,,,
2000,Q1,"104,381","104,381","1,169,512","420,393","27,305","357,740","29,401","5,947","749,119","43,771","221,271","79,023","51,223","24,948","55,836","55,914","20,405","14,674","76,764","50,613","25,047","6,278","19,296","4,056","1,273,893","-21,925","1,251,968",,,,,,,
2000,Q2,"95,620","95,620","1,127,726","418,954","27,778","351,752","33,166","6,258","708,772","37,636","213,150","80,298","46,309","25,523","43,714","53,331","19,832","16,210","72,375","49,179","23,215","5,913","17,853","4,234","1,223,346","-27,421","1,195,925",,,,,,,
2000,Q3,"90,302","90,302","1,152,374","424,141","31,242","358,988","27,622","6,289","728,233","46,399","201,477","84,121","48,042","26,371","47,401","53,280","23,132","17,539","74,341","50,810","25,599","6,238","19,275","4,208","1,242,676","-25,468","1,217,208",,,,,,,
2000,Q4,"140,624","140,624","1,189,281","443,262","32,432","370,104","34,353","6,373","746,019","24,517","209,129","87,771","53,446","32,794","46,265","53,915","31,356","18,761","76,522","52,790","27,522","6,332","20,564","4,335","1,329,905","-25,149","1,304,756",,,,,,,
2001,Q1,"108,553","108,553","1,237,433","449,722","29,638","379,196","34,396","6,492","787,711","40,602","235,929","86,274","54,405","28,719","59,899","51,692","22,649","18,600","80,012","50,788","26,766","6,190","20,656","4,530","1,345,986","-28,811","1,317,175",,,,,,,
