"Table 4.1 :  Gross domestic product, chain volume measures [reference year = 2002] (original)  y-o-y growth Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25),
1993,Q1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Q1,-0.2,-0.2,11.8,12.6,13.1,12.7,11.5,-0.2,11.4,13.3,17.7,5.5,-1.0,19.7,16.0,-13.0,-16.9,11.8,20.8,9.1,3.4,22.6,15.5,-1.8,10.5,
1994,Q2,7.2,7.2,10.2,6.3,5.0,6.2,10.7,-3.8,12.2,9.2,14.8,9.4,-0.6,14.2,22.3,-9.7,32.3,23.1,15.1,6.4,8.9,12.2,13.9,-1.1,10.2,
1994,Q3,12.2,12.2,3.7,4.7,1.5,4.4,12.0,7.8,3.2,5.7,0.4,8.2,-5.6,13.3,6.8,1.7,11.7,-4.6,5.0,6.9,7.7,6.4,-11.1,-1.7,4.5,
1994,Q4,8.7,8.7,7.1,10.8,17.0,10.0,17.0,10.2,5.4,30.8,7.7,11.6,-3.1,3.9,11.2,7.1,18.8,-26.3,-18.7,-9.2,-3.2,0.0,-12.5,-2.7,6.9,
1995,Q1,-5.6,-5.6,8.5,6.4,3.6,5.7,17.0,15.2,9.6,9.2,16.7,10.2,1.1,17.4,-1.2,22.9,23.8,-15.0,8.1,9.3,11.1,20.6,-3.7,3.9,7.3,
1995,Q2,10.5,10.5,9.7,12.8,9.8,12.6,17.0,15.8,8.2,11.6,14.6,5.7,3.6,21.6,-2.1,16.5,18.1,-1.8,8.1,-1.3,4.6,11.3,2.2,0.4,9.6,
1995,Q3,-4.7,-4.7,9.7,14.5,6.9,15.5,9.9,9.2,7.3,10.3,8.0,3.0,4.6,17.4,-2.0,16.0,10.6,19.8,21.1,-2.2,5.9,17.2,12.9,-4.5,8.5,
1995,Q4,4.7,4.7,7.3,11.1,2.6,11.5,12.7,7.8,5.5,3.3,1.2,4.1,3.8,20.2,-1.9,12.7,-3.3,14.9,40.5,11.4,5.8,18.9,7.6,-7.5,7.2,
1996,Q1,8.5,8.5,3.4,8.2,15.5,7.6,11.6,8.2,1.1,10.9,-4.0,-2.3,-1.5,11.6,0.5,9.6,1.3,11.9,2.1,-3.1,0.4,7.9,9.9,-6.3,3.8,
1996,Q2,5.7,5.7,6.5,6.3,12.3,6.2,3.2,10.3,6.7,4.9,6.5,9.7,6.5,8.0,0.3,11.3,18.2,23.9,7.4,6.8,7.9,29.8,2.9,-2.4,6.4,
1996,Q3,5.7,5.7,7.7,5.8,15.1,5.1,6.9,11.0,8.8,10.1,5.2,17.2,0.4,16.1,11.2,14.9,6.6,10.1,8.1,5.9,13.3,20.3,2.6,0.1,7.4,
1996,Q4,2.5,2.5,5.1,5.5,24.7,4.7,2.2,19.1,4.8,6.1,1.7,12.4,0.7,1.9,-1.1,14.8,2.2,11.0,9.7,7.2,15.0,18.4,-0.7,3.4,5.1,
1997,Q1,6.3,6.3,-0.2,4.6,8.9,4.4,3.7,10.0,-2.5,-34.0,3.3,17.6,6.2,-5.5,-17.5,14.6,-2.2,8.1,7.6,4.7,0.6,5.4,-6.3,3.6,0.4,
1997,Q2,-0.9,-0.9,-2.1,3.1,6.6,2.4,9.9,7.6,-4.7,-24.6,-3.6,5.2,-0.2,2.8,-16.2,16.9,-16.6,-12.2,8.8,6.5,3.3,-3.7,-9.3,2.2,-2.0,
1997,Q3,-2.4,-2.4,-3.1,3.1,11.6,1.8,10.6,13.0,-6.1,-14.0,-4.3,-3.2,-2.8,13.4,-32.8,10.6,0.7,-6.0,7.2,6.6,-0.3,-2.7,1.0,-0.9,-3.0,
1997,Q4,-4.0,-4.0,-6.4,-4.0,-2.1,-4.9,4.9,-2.3,-7.6,-38.3,-4.8,-6.1,-6.6,14.0,-24.0,8.4,20.5,-5.9,8.3,6.6,2.3,-5.4,9.3,-2.0,-6.2,
1998,Q1,-2.1,-2.1,-6.0,-7.6,-6.6,-9.3,11.1,19.7,-5.2,-24.2,-7.6,-5.9,-0.8,9.1,-25.8,13.2,33.5,-15.5,7.1,9.5,1.5,-4.1,10.1,-0.8,-5.7,
1998,Q2,-10.8,-10.8,-12.7,-10.7,-8.1,-12.4,4.5,7.7,-13.8,-40.0,-13.5,-13.6,-4.0,-2.3,-40.6,17.1,-9.9,-26.8,7.3,4.3,-1.8,-18.0,-13.3,1.3,-12.5,
1998,Q3,-3.4,-3.4,-10.4,-11.2,-9.9,-11.9,-6.5,2.6,-10.1,-34.9,-13.4,-2.5,5.4,1.6,-28.9,17.5,-25.2,-28.5,10.4,6.3,4.1,-17.4,-23.8,3.4,-9.9,
1998,Q4,13.6,13.6,-4.5,0.5,-1.6,1.1,-4.3,-2.7,-7.0,-33.1,-11.1,11.8,9.1,-2.0,-42.7,24.6,-29.0,-9.5,12.1,14.7,8.4,-12.5,-21.4,3.4,-2.5,
1999,Q1,9.6,9.6,0.3,4.6,2.5,5.9,-3.8,-14.4,-2.1,-30.6,1.9,6.6,1.6,8.3,-31.8,19.9,-19.4,15.5,6.2,-0.1,9.2,-5.3,-16.3,-0.3,1.2,
1999,Q2,13.5,13.5,4.7,8.2,7.3,10.3,-8.5,-6.3,2.8,0.6,-1.6,14.0,-1.2,13.6,-22.4,15.9,14.9,24.9,10.1,4.8,3.8,6.4,0.3,-1.9,5.4,
1999,Q3,10.0,10.0,7.7,13.4,7.9,14.5,8.6,0.5,4.6,1.2,1.2,11.0,2.6,-0.3,-15.4,23.9,38.1,22.2,5.5,2.5,6.8,16.8,15.1,-1.7,7.8,
1999,Q4,-6.1,-6.1,5.6,9.0,10.0,9.1,8.1,5.9,3.7,-8.4,1.8,2.3,5.3,38.7,-2.2,17.7,20.3,-1.5,2.6,-7.2,3.5,16.6,15.7,0.3,4.1,
