"Table 4 :  Gross domestic product, chain volume measures [reference year = 2002] (original)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3)Gross Domestic Product- Sum up (25),Residual GDP (Sum up) minus Gross Domestic Product (CVM) (26), % Residual to  Gross Domestic Product (CVM) (27),(4) Gross Domestic Product (CVM) (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q1,"103,187","103,187","964,915","321,331","19,499","280,005","17,502","3,814","642,485","76,170","175,783","59,186","46,382","11,314","104,665","25,079","15,175","12,949","46,896","37,896","19,395","3,863","18,346","4,790","1,081,896","14,595",1.4,"1,067,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q2,"77,627","77,627","965,096","322,261","21,257","275,554","20,577","4,277","641,708","78,695","180,954","58,366","42,293","12,105","106,317","25,485","10,372","10,904","44,104","39,658","18,869","4,267","19,594","4,832","1,056,107","16,183",1.6,"1,039,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q3,"77,709","77,709","1,012,009","326,586","24,239","277,961","20,395","3,924","684,625","77,148","211,729","57,696","44,391","12,250","113,080","24,544","12,830","12,586","44,678","41,541","17,910","4,272","21,731","4,915","1,105,529","19,035",1.8,"1,086,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q4,"122,307","122,307","1,024,861","316,758","19,692","272,928","19,418","3,979","707,770","68,815","220,902","57,532","47,169","14,233","115,293","24,469","13,745","16,406","49,124","43,870","19,817","4,575","23,011","5,007","1,162,292","14,984",1.3,"1,147,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Q1,"102,949","102,949","1,078,337","361,742","22,058","315,576","19,514","3,806","715,571","86,324","206,851","62,428","45,915","13,546","121,433","21,807","12,616","14,473","56,636","41,362","20,060","4,736","21,185","4,705","1,197,980","18,463",1.6,"1,179,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Q2,"83,210","83,210","1,063,208","342,588","22,321","292,576","22,776","4,116","719,742","85,912","207,817","63,873","42,057","13,827","130,077","23,010","13,725","13,422","50,757","42,185","20,542","4,787","22,324","4,777","1,164,091","17,859",1.6,"1,146,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Q3,"87,156","87,156","1,049,285","341,970","24,613","290,101","22,833","4,229","706,412","81,547","212,591","62,450","41,884","13,885","120,733","24,969","14,335","12,007","46,892","44,415","19,293","4,547","19,319","4,831","1,152,630","16,802",1.5,"1,135,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Q4,"132,925","132,925","1,097,874","351,077","23,047","300,223","22,728","4,385","745,914","90,005","237,853","64,179","45,706","14,788","128,183","26,211","16,326","12,087","39,938","39,822","19,180","4,576","20,134","4,873","1,247,169","20,566",1.7,"1,226,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Q1,"97,201","97,201","1,170,196","384,971","22,863","333,600","22,840","4,386","784,240","94,241","241,350","68,805","46,436","15,905","120,013","26,790","15,623","12,303","61,200","45,192","22,288","5,712","20,399","4,887","1,267,397","1,787",0.1,"1,265,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Q2,"91,979","91,979","1,166,146","386,413","24,499","329,436","26,656","4,765","778,767","95,850","238,062","67,519","43,578","16,817","127,376","26,802","16,204","13,183","54,856","41,657","21,490","5,329","22,812","4,798","1,258,125","1,758",0.1,"1,256,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,
