Table 5.1 :  Gross Domestic Product at Current Market Prices (Seasonally Adjusted) q-o-q Growth Rate,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
1993,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Q2,2.0,2.0,4.1,4.3,14.5,4.5,-5.6,8.0,3.3,9.3,4.4,0.2,0.8,6.8,-1.1,1.4,-32.2,-13.5,6.1,6.4,-0.1,9.9,4.4,-0.6,3.7
1993,Q3,15.4,15.4,7.3,3.4,8.0,3.1,6.5,-9.0,9.5,4.6,20.1,4.2,4.0,4.3,10.7,-7.7,26.3,15.9,6.2,3.0,2.5,7.0,15.5,3.4,7.6
1993,Q4,-3.0,-3.0,1.5,-1.5,-5.3,-1.9,4.8,-1.9,2.5,-6.0,-1.0,0.3,1.3,13.8,0.6,0.6,3.9,26.9,10.9,3.3,8.3,6.2,5.6,2.1,1.0
1994,Q1,-1.6,-1.6,2.7,9.8,-0.6,11.5,-0.3,-2.9,0.6,15.4,-1.8,2.9,-1.3,-2.5,10.7,-3.9,-2.9,-7.3,1.6,-0.2,-1.2,-1.2,-4.2,0.6,3.2
1994,Q2,5.5,5.5,1.8,-3.2,7.3,-4.0,1.2,0.2,3.6,4.1,0.9,4.4,1.4,2.0,4.2,4.9,8.3,-4.5,0.5,2.9,4.3,0.7,2.7,1.6,1.8
1994,Q3,21.8,21.8,1.2,2.6,5.1,2.1,5.9,12.0,0.7,0.1,4.7,2.4,2.2,2.6,-3.5,4.0,7.5,-10.4,-3.9,3.6,0.0,1.3,-9.4,3.4,2.4
1994,Q4,3.3,3.3,5.3,5.0,2.5,4.7,9.1,3.5,4.9,10.5,7.0,4.2,3.2,3.4,5.0,6.2,10.6,-2.0,-12.0,-0.8,3.4,0.4,3.8,3.5,5.5
1995,Q1,8.4,8.4,4.3,5.5,4.0,6.2,-0.2,5.9,4.9,0.3,2.9,3.9,4.7,11.9,-1.6,9.8,-0.2,6.4,43.8,18.4,9.9,17.8,4.2,2.4,5.2
1995,Q2,0.7,0.7,3.3,4.8,-4.3,4.8,12.4,2.4,1.8,1.4,-0.2,-0.2,1.9,4.5,3.5,0.6,5.4,10.8,-1.8,-6.5,-0.8,-6.1,9.6,0.8,2.4
