Table 5 :  Gross Domestic Product at Current Market Prices (Seasonally Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
1993,Q1,"60,335","60,335","699,710","234,549","10,620","204,588","16,680","2,831","467,917","51,397","129,115","46,838","32,492","12,017","65,175","23,499","11,429","9,362","30,442"," 26,548 "," 14,033 "," 3,228 "," 13,206 "," 2,706 ","762,795"
1993,Q2,"61,516","61,516","728,632","244,668","12,164","213,776","15,748","3,057","483,218","56,198","134,801","46,946","32,755","12,837","64,490","23,821","7,753","8,101","32,292"," 28,239 "," 14,016 "," 3,549 "," 13,785 "," 2,689 ","790,843"
1993,Q3,"71,017","71,017","781,941","252,899","13,139","220,341","16,776","2,781","528,990","58,766","161,902","48,911","34,063","13,387","71,408","21,998","9,790","9,393","34,281"," 29,077 "," 14,362 "," 3,799 "," 15,922 "," 2,781 ","851,244"
1993,Q4,"68,892","68,892","793,809","249,118","12,449","216,050","17,575","2,729","541,994","55,267","160,322","49,049","34,492","15,237","71,806","22,130","10,174","11,922","38,021"," 30,029 "," 15,553 "," 4,033 "," 16,813 "," 2,840 ","859,741"
1994,Q1,"67,785","67,785","815,550","273,529","12,377","240,904","17,527","2,649","545,136","63,753","157,485","50,462","34,044","14,861","79,507","21,264","9,878","11,053","38,641"," 29,967 "," 15,365 "," 3,985 "," 16,105 "," 2,858 ","886,948"
1994,Q2,"71,495","71,495","830,591","264,829","13,286","231,227","17,746","2,654","564,946","66,338","158,850","52,660","34,512","15,159","82,858","22,302","10,700","10,553","38,834"," 30,844 "," 16,027 "," 4,012 "," 16,536 "," 2,905 ","902,561"
1994,Q3,"87,076","87,076","840,594","271,618","13,969","236,042","18,797","2,973","568,952","66,426","166,287","53,917","35,263","15,560","79,998","23,202","11,499","9,457","37,336"," 31,955 "," 16,034 "," 4,066 "," 14,981 "," 3,004 ","923,958"
1994,Q4,"89,958","89,958","885,387","285,333","14,320","247,069","20,515","3,077","597,051","73,428","177,927","56,192","36,382","16,091","83,981","24,643","12,718","9,267","32,874"," 31,705 "," 16,574 "," 4,084 "," 15,543 "," 3,108 ","975,220"
1995,Q1,"97,557","97,557","923,099","301,079","14,890","262,410","20,467","3,259","626,176","73,641","183,167","58,365","38,103","18,002","82,599","27,050","12,694","9,864","47,281"," 37,551 "," 18,209 "," 4,812 "," 16,190 "," 3,183 ","1,025,763"
1995,Q2,"98,261","98,261","953,906","315,441","14,250","274,958","23,005","3,337","637,241","74,652","182,786","58,253","38,819","18,816","85,464","27,204","13,377","10,934","46,426"," 35,122 "," 18,058 "," 4,519 "," 17,745 "," 3,210 ","1,050,494"
1995,Q3,"94,625","94,625","966,528","322,673","13,965","283,056","22,709","3,337","643,521","75,313","183,867","57,504","39,953","18,324","82,723","28,485","13,583","11,971","48,591"," 36,380 "," 18,253 "," 4,851 "," 17,851 "," 3,202 ","1,058,697"
1995,Q4,"92,809","92,809","991,833","326,483","14,476","285,291","22,841","3,472","662,653","83,907","187,423","58,757","41,021","19,679","88,133","29,662","13,252","11,446","49,355"," 36,678 "," 17,980 "," 5,001 "," 17,833 "," 3,204 ","1,081,222"
1996,Q1,"100,130","100,130","996,072","331,874","17,255","287,972","22,988","3,563","668,251","85,094","187,887","58,919","41,073","20,917","89,216","30,878","13,660","11,822","50,273"," 38,207 "," 19,224 "," 5,499 "," 18,791 "," 3,268 ","1,101,754"
1996,Q2,"107,137","107,137","1,066,780","343,539","18,022","299,343","22,663","3,719","722,167","86,797","208,043","64,764","44,854","21,352","91,231","31,521","16,966","14,481","51,113"," 39,242 "," 20,058 "," 6,164 "," 19,597 "," 3,391 ","1,172,352"
1996,Q3,"106,996","106,996","1,078,620","347,945","18,207","301,551","25,060","3,672","729,901","80,916","207,202","67,872","43,358","21,511","96,391","33,851","15,366","13,870","53,286"," 40,070 "," 20,795 "," 6,082 "," 19,367 "," 3,464 ","1,183,351"
