"Table 6.1 :  Gross domestic product, chain volume measures [reference year = 2002] (Seasonally Adjusted) q-o-q Growth Rate",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
1993,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Q2,-8.0,-8.0,2.6,3.3,6.4,3.1,4.5,3.8,1.1,5.8,3.4,-0.1,-0.8,6.1,-2.1,0.8,-33.0,-14.8,3.2,4.1,-2.2,9.7,3.0,0.8,0.7
1993,Q3,0.3,0.3,6.3,2.8,6.3,2.5,3.7,-4.1,8.9,4.1,18.8,2.6,3.6,3.7,9.3,-7.8,24.9,14.7,3.1,2.6,1.5,6.7,14.3,2.3,6.3
1993,Q4,2.7,2.7,0.8,-1.8,-10.0,-1.4,-0.2,0.1,1.5,-8.8,-1.6,0.3,-0.8,11.5,-0.4,0.5,3.3,25.7,12.4,3.4,6.8,5.3,4.3,2.4,1.0
1994,Q1,6.4,6.4,1.7,8.0,11.1,8.2,2.9,-0.2,-0.1,13.5,-2.8,2.8,-2.8,-2.1,9.3,-7.0,-4.1,-9.0,1.5,-1.2,-2.3,-0.4,-5.7,-7.0,2.4
1994,Q2,-3.5,-3.5,1.1,-2.4,-1.0,-2.9,4.0,0.7,1.5,1.6,0.8,3.3,-0.9,1.1,2.9,4.8,7.0,-6.1,-2.1,1.5,3.1,0.3,1.0,1.3,0.4
1994,Q3,7.6,7.6,-0.1,1.1,2.5,0.5,5.2,7.1,0.3,-0.2,4.1,1.6,-1.0,2.1,-4.9,3.8,5.9,-11.4,-6.3,3.2,-0.6,1.1,-10.4,2.0,0.7
1994,Q4,-2.2,-2.2,4.2,4.0,3.5,4.0,4.0,2.2,3.4,12.2,6.2,3.2,1.6,2.9,3.8,6.0,9.7,-2.7,-13.0,-12.2,-3.1,-0.6,2.9,1.3,3.2
1995,Q1,-5.8,-5.8,3.3,3.9,-1.3,4.2,2.5,4.4,4.4,-2.4,4.6,2.1,1.3,11.2,-2.2,6.2,-1.3,5.1,36.5,18.7,12.3,19.9,3.1,-0.8,3.0
1995,Q2,9.3,9.3,2.0,3.5,5.3,3.4,4.4,1.5,-0.1,3.1,-1.4,-1.2,1.1,4.5,1.6,-0.4,3.1,8.6,-2.7,-8.0,-3.0,-7.6,7.6,-2.3,2.4
