"Table 6 :  Gross domestic product, chain volume measures [reference year = 2002] (Seasonally Adjusted)",,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
1993,Q1,"100,103","100,103","940,981","311,128","20,063","267,937","18,508","3,969","632,880","72,178","176,471","57,427","44,628","11,362","106,688","25,738","15,475","12,997","43,138"," 38,644 "," 18,853 "," 3,781 "," 18,644 "," 4,773 ","1,043,940"
1993,Q2,"92,052","92,052","965,413","321,510","21,340","276,331","19,332","4,120","640,131","76,394","182,475","57,378","44,249","12,051","104,443","25,946","10,374","11,074","44,521"," 40,244 "," 18,439 "," 4,146 "," 19,195 "," 4,812 ","1,051,493"
1993,Q3,"92,338","92,338","1,026,693","330,357","22,687","283,296","20,041","3,952","696,806","79,519","216,868","58,875","45,863","12,500","114,187","23,928","12,957","12,697","45,910"," 41,294 "," 18,715 "," 4,422 "," 21,944 "," 4,922 ","1,117,265"
1993,Q4,"94,873","94,873","1,035,080","324,344","20,428","279,289","19,998","3,954","707,053","72,495","213,498","59,080","45,488","13,938","113,755","24,057","13,379","15,959","51,590"," 42,683 "," 19,988 "," 4,656 "," 22,890 "," 5,040 ","1,128,004"
1994,Q1,"100,907","100,907","1,052,897","350,394","22,687","302,240","20,581","3,948","706,453","82,309","207,486","60,732","44,220","13,640","124,288","22,362","12,825","14,529","52,340"," 42,173 "," 19,523 "," 4,636 "," 21,574 "," 4,689 ","1,155,167"
1994,Q2,"97,346","97,346","1,064,031","341,971","22,461","293,596","21,398","3,974","716,994","83,667","209,151","62,742","43,838","13,786","127,863","23,434","13,718","13,648","51,242"," 42,800 "," 20,124 "," 4,648 "," 21,788 "," 4,750 ","1,159,212"
1994,Q3,"104,752","104,752","1,063,255","345,590","23,023","295,160","22,506","4,258","719,214","83,540","217,647","63,727","43,414","14,077","121,554","24,336","14,525","12,088","48,028"," 44,166 "," 20,005 "," 4,698 "," 19,529 "," 4,843 ","1,167,189"
1994,Q4,"102,443","102,443","1,107,672","359,308","23,836","307,091","23,402","4,353","743,904","93,696","231,111","65,743","44,127","14,488","126,194","25,805","15,940","11,762","41,767"," 38,758 "," 19,388 "," 4,668 "," 20,091 "," 4,908 ","1,204,635"
1995,Q1,"96,470","96,470","1,144,769","373,290","23,525","320,044","23,993","4,545","776,469","91,491","241,663","67,134","44,701","16,114","123,479","27,417","15,731","12,358","56,996"," 46,013 "," 21,781 "," 5,596 "," 20,714 "," 4,871 ","1,241,364"
1995,Q2,"105,430","105,430","1,167,926","386,171","24,767","331,043","25,040","4,611","775,812","94,348","238,398","66,349","45,183","16,835","125,455","27,303","16,220","13,422","55,472"," 42,310 "," 21,128 "," 5,169 "," 22,279 "," 4,758 ","1,271,334"
1995,Q3,"101,850","101,850","1,164,757","395,049","24,573","339,930","24,808","4,640","770,587","89,507","235,104","65,593","45,588","16,329","118,463","28,246","16,152","14,439","57,832"," 43,178 "," 20,976 "," 5,493 "," 22,059 "," 4,636 ","1,266,064"
1995,Q4,"106,741","106,741","1,185,332","398,915","24,313","342,105","26,491","4,704","782,334","96,435","235,648","68,209","45,980","17,351","123,568","29,116","15,495","13,553","58,213"," 43,191 "," 20,445 "," 5,569 "," 21,688 "," 4,543 ","1,287,811"
1996,Q1,"104,594","104,594","1,186,333","404,135","27,278","344,869","26,533","4,907","788,111","103,693","231,615","65,696","43,871","18,177","124,608","29,977","15,677","13,781","58,778"," 44,498 "," 22,094 "," 6,036 "," 22,511 "," 4,564 ","1,290,178"
1996,Q2,"110,599","110,599","1,247,611","411,478","27,935","352,411","25,843","5,103","829,920","101,381","252,295","73,132","47,958","18,374","126,336","30,400","19,284","16,689","59,843"," 45,297 "," 22,898 "," 6,712 "," 23,148 "," 4,627 ","1,355,585"
1996,Q3,"109,775","109,775","1,252,217","417,526","28,221","356,865","26,608","5,114","834,744","93,453","247,623","76,834","45,935","18,646","130,858","32,486","17,280","15,851","62,157"," 45,705 "," 23,596 "," 6,612 "," 22,733 "," 4,652 ","1,358,694"
1996,Q4,"109,137","109,137","1,242,668","419,659","30,194","356,721","27,286","5,632","818,630","102,917","241,860","76,204","46,470","17,578","122,566","33,473","16,002","15,110","63,177"," 46,308 "," 23,220 "," 6,582 "," 21,429 "," 4,699 ","1,350,295"
1997,Q1,"109,830","109,830","1,185,112","423,112","29,737","360,518","27,200","5,391","767,828","70,709","237,890","77,132","46,299","17,346","102,319","34,218","14,995","14,821","63,942"," 46,480 "," 22,502 "," 6,328 "," 20,766 "," 4,730 ","1,295,068"
1997,Q2,"110,054","110,054","1,225,129","425,796","29,906","361,949","28,372","5,511","797,400","77,986","241,794","77,716","47,995","19,069","106,861","35,561","16,245","14,665","65,409"," 48,370 "," 23,840 "," 6,534 "," 21,419 "," 4,715 ","1,332,432"
1997,Q3,"108,299","108,299","1,211,672","430,332","31,486","363,372","29,525","5,707","779,873","75,498","238,076","74,327","44,655","21,113","87,116","36,033","17,457","14,909","66,320"," 48,724 "," 23,423 "," 6,423 "," 23,060 "," 4,622 ","1,316,869"
1997,Q4,"105,285","105,285","1,159,956","401,007","29,391","337,321","28,909","5,578","756,318","65,398","232,078","70,985","43,475","19,690","94,160","36,307","19,425","14,272","67,615"," 49,249 "," 23,369 "," 6,191 "," 23,138 "," 4,603 ","1,264,817"
1998,Q1,"105,404","105,404","1,113,237","391,469","27,849","327,636","29,802","6,413","725,136","54,730","217,529","72,337","45,621","19,026","74,896","38,592","19,657","12,470","69,254"," 50,941 "," 22,990 "," 6,018 "," 22,595 "," 4,692 ","1,219,543"
1998,Q2,"99,009","99,009","1,073,545","381,400","27,530","317,897","29,667","5,953","693,191","47,307","208,760","67,912","46,431","18,805","64,029","41,645","14,813","10,727","70,407"," 50,536 "," 23,758 "," 5,462 "," 18,955 "," 4,771 ","1,169,841"
1998,Q3,"104,760","104,760","1,083,505","383,058","28,379","320,798","27,821","5,807","699,115","46,799","207,601","72,457","47,062","21,732","61,574","42,480","13,033","10,669","72,940"," 51,746 "," 24,288 "," 5,281 "," 17,656 "," 4,789 ","1,185,583"
