Table 7 :  Composition of private final consumption expenditure at current market prices (original),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,
1993,Q1,"424,889","91,959","79,075","21,217","13,787","8,282","7,677","3,551","7,060","9,542","2,933","5,026","12,884","20,790","12,614","8,176","28,633","25,553","3,080","42,265","33,931","8,334","25,743","7,966","17,777","18,561","61,254","24,620","12,680","23,954","5,044","18,795","5,552","9,636","3,607","4,456"," 61,750 "," 45,639 "," 7,905 "," 8,823 "," 16,811 "," 12,100 "," 9,252 "," 434,141 "," 10,964 "," 35,200 "," 409,905 ",,
1993,Q2,"425,578","92,948","79,168","20,552","13,921","8,209","6,837","3,264","8,333","10,267","2,791","4,994","13,780","20,870","12,576","8,294","27,622","24,564","3,058","43,859","34,169","9,690","27,018","8,272","18,746","17,265","61,036","23,288","13,038","24,710","5,663","19,686","5,364","9,383","4,939","3,790"," 58,689 "," 47,132 "," 8,991 "," 7,781 "," 18,443 "," 11,917 "," 8,971 "," 434,549 "," 12,362 "," 26,588 "," 420,323 ",,
1993,Q3,"430,849","92,773","80,842","21,008","14,015","8,061","7,219","3,322","7,036","11,741","3,144","5,296","11,931","19,126","11,093","8,033","31,464","28,079","3,385","42,281","33,085","9,196","26,946","8,876","18,070","17,598","60,299","22,756","13,370","24,173","4,946","22,309","6,738","10,357","5,214","5,273"," 60,650 "," 47,184 "," 8,200 "," 8,050 "," 19,383 "," 11,551 "," 8,844 "," 439,693 "," 12,390 "," 30,988 "," 421,095 ",,
1993,Q4,"449,018","89,031","77,037","21,038","13,517","7,839","6,503","3,208","6,357","10,584","3,250","4,741","11,994","21,825","12,849","8,976","36,293","32,383","3,910","41,234","32,611","8,623","27,962","9,354","18,608","16,640","63,602","24,324","14,059","25,219","5,812","25,073","8,869","10,901","5,303","4,481"," 67,083 "," 49,982 "," 8,473 "," 10,060 "," 20,448 "," 11,001 "," 8,803 "," 457,821 "," 21,059 "," 34,545 "," 444,335 ",,
1994,Q1,"469,685","102,405","88,207","22,551","15,209","9,732","8,152","3,780","7,933","11,761","3,571","5,518","14,198","22,332","13,086","9,246","31,818","28,068","3,750","42,435","33,425","9,010","27,399","8,898","18,501","20,463","65,186","24,451","13,599","27,136","6,250","25,944","9,250","12,343","4,351","5,142"," 66,170 "," 54,141 "," 9,129 "," 9,837 "," 21,524 "," 13,651 "," 8,996 "," 478,681 "," 15,974 "," 38,822 "," 455,833 ",,
1994,Q2,"477,752","103,309","88,404","22,084","15,142","8,813","7,406","3,496","9,542","12,774","3,644","5,503","14,905","21,616","11,821","9,795","31,688","28,193","3,495","45,546","35,442","10,104","28,797","9,002","19,795","19,383","67,952","25,811","14,837","27,304","6,414","27,357","9,545","11,430","6,382","6,311"," 63,753 "," 55,626 "," 9,119 "," 8,937 "," 24,873 "," 12,697 "," 9,714 "," 487,466 "," 17,640 "," 27,366 "," 477,740 ",,
1994,Q3,"487,197","101,580","89,440","22,546","15,250","9,568","8,069","3,513","8,204","13,045","3,742","5,503","12,140","22,741","10,902","11,839","36,291","32,517","3,774","48,640","38,817","9,823","29,617","9,669","19,948","19,726","66,987","26,268","15,180","25,539","6,093","29,854","11,227","12,146","6,481","5,301"," 65,578 "," 54,789 "," 9,469 "," 10,007 "," 23,513 "," 11,800 "," 9,720 "," 496,917 "," 18,018 "," 32,451 "," 482,484 ",,
1994,Q4,"510,287","100,334","86,607","22,137","14,786","9,868","7,734","3,331","7,390","12,393","3,867","5,101","13,727","22,405","12,646","9,759","42,318","38,368","3,950","50,622","40,801","9,821","31,929","10,273","21,656","18,702","69,224","26,640","15,513","27,071","6,885","32,412","13,572","12,693","6,147","4,975"," 72,046 "," 58,435 "," 9,475 "," 11,944 "," 26,095 "," 10,921 "," 9,382 "," 519,669 "," 23,717 "," 36,287 "," 507,099 ",,
1995,Q1,"543,962","114,124","98,144","22,342","16,628","9,834","10,460","4,048","8,576","16,016","3,900","6,340","15,980","24,224","15,006","9,218","37,609","33,575","4,034","50,055","40,023","10,032","32,446","9,143","23,303","24,679","78,727","30,519","16,407","31,801","6,555","34,663","14,770","14,796","5,097","6,032"," 74,624 "," 60,224 "," 10,013 "," 11,602 "," 24,203 "," 14,406 "," 10,598 "," 554,560 "," 16,870 "," 51,347 "," 520,083 ",,
1995,Q2,"551,058","115,905","99,113","22,283","16,881","9,663","9,841","3,920","10,462","15,841","4,028","6,194","16,792","26,213","15,252","10,961","37,342","33,110","4,232","53,707","41,381","12,326","33,558","8,946","24,612","23,620","79,428","32,616","17,814","28,998","6,744","31,140","9,462","13,171","8,507","7,554"," 71,895 "," 63,952 "," 10,509 "," 10,595 "," 29,283 "," 13,565 "," 10,016 "," 561,074 "," 19,341 "," 38,868 "," 541,547 ",,
