"Table 8 :  Composition of private final consumption expenditure,  chain volume measures [reference year = 2002] (original)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure 
1993,Q1," 586,365 "," 128,446 "," 111,742 "," 31,761 "," 18,549 "," 12,642 "," 10,653 "," 4,615 "," 9,528 "," 14,294 "," 3,266 "," 6,969 "," 16,870 "," 30,096 "," 14,476 "," 17,587 "," 44,722 "," 40,433 "," 4,213 "," 53,043 "," 40,372 "," 12,766 "," 32,638 "," 9,567 "," 22,909 "," 24,121 "," 88,684 "," 34,891 "," 20,386 "," 31,575 "," 4,987 "," 22,036 "," 5,464 "," 12,300 "," 5,639 "," 8,351 "," 88,135 "," 70,752 "," 11,583 "," 12,875 "," 32,231 "," 16,469 "," 13,196 "," 599,481 "," 16,190 "," 39,860 "," 577,284 "
1993,Q2," 582,635 "," 128,528 "," 110,639 "," 30,746 "," 18,546 "," 12,468 "," 9,381 "," 4,256 "," 11,206 "," 14,586 "," 3,105 "," 6,770 "," 17,994 "," 30,340 "," 14,535 "," 17,833 "," 42,227 "," 38,041 "," 4,094 "," 54,436 "," 40,323 "," 14,546 "," 33,970 "," 9,851 "," 23,958 "," 22,345 "," 88,278 "," 32,862 "," 20,867 "," 32,737 "," 5,595 "," 23,350 "," 5,770 "," 11,767 "," 7,671 "," 7,053 "," 81,974 "," 72,516 "," 13,095 "," 11,193 "," 34,829 "," 16,294 "," 12,629 "," 595,200 "," 18,132 "," 30,071 "," 588,187 "
1993,Q3," 584,650 "," 125,959 "," 110,666 "," 31,673 "," 18,629 "," 12,124 "," 9,609 "," 4,356 "," 9,373 "," 15,028 "," 3,489 "," 6,793 "," 15,511 "," 28,053 "," 13,008 "," 17,269 "," 46,996 "," 42,485 "," 4,430 "," 52,739 "," 38,955 "," 14,237 "," 33,420 "," 10,430 "," 22,779 "," 22,769 "," 87,491 "," 32,217 "," 21,300 "," 32,236 "," 4,891 "," 25,265 "," 6,385 "," 12,739 "," 7,978 "," 9,669 "," 84,374 "," 72,339 "," 11,779 "," 11,485 "," 36,127 "," 16,130 "," 12,285 "," 596,883 "," 17,924 "," 34,612 "," 583,477 "
1993,Q4," 604,784 "," 121,089 "," 105,775 "," 31,399 "," 18,476 "," 11,614 "," 8,626 "," 4,226 "," 8,346 "," 13,778 "," 3,594 "," 6,107 "," 15,491 "," 31,954 "," 15,421 "," 18,578 "," 52,926 "," 47,830 "," 5,003 "," 51,172 "," 38,011 "," 13,535 "," 34,158 "," 10,828 "," 23,103 "," 21,665 "," 92,327 "," 34,412 "," 22,326 "," 33,749 "," 5,739 "," 26,794 "," 6,951 "," 13,519 "," 8,056 "," 8,191 "," 91,980 "," 77,307 "," 11,975 "," 14,522 "," 37,920 "," 16,136 "," 12,163 "," 616,911 "," 30,452 "," 38,555 "," 610,574 "
1994,Q1," 617,555 "," 136,646 "," 118,607 "," 32,335 "," 19,897 "," 14,313 "," 10,985 "," 4,980 "," 10,226 "," 15,241 "," 3,923 "," 7,070 "," 18,197 "," 30,646 "," 14,894 "," 17,625 "," 45,753 "," 40,868 "," 4,739 "," 52,062 "," 38,626 "," 13,832 "," 33,097 "," 10,235 "," 22,659 "," 25,060 "," 94,027 "," 34,573 "," 22,337 "," 35,157 "," 6,178 "," 25,919 "," 6,183 "," 15,062 "," 6,326 "," 8,972 "," 90,122 "," 79,038 "," 12,643 "," 13,619 "," 39,468 "," 16,820 "," 12,260 "," 629,779 "," 23,050 "," 41,672 "," 613,074 "
1994,Q2," 620,249 "," 135,403 "," 116,502 "," 31,436 "," 19,662 "," 12,689 "," 9,834 "," 4,583 "," 11,983 "," 15,645 "," 3,995 "," 6,824 "," 18,993 "," 29,822 "," 13,681 "," 18,631 "," 44,740 "," 40,291 "," 4,351 "," 55,501 "," 40,829 "," 15,199 "," 34,010 "," 10,296 "," 23,521 "," 23,652 "," 97,670 "," 36,325 "," 23,596 "," 35,804 "," 6,337 "," 26,404 "," 5,703 "," 13,897 "," 9,215 "," 10,874 "," 84,582 "," 81,427 "," 12,496 "," 12,254 "," 44,966 "," 16,362 "," 13,033 "," 633,226 "," 25,226 "," 29,292 "," 633,997 "
1994,Q3," 626,544 "," 132,036 "," 116,967 "," 32,328 "," 19,329 "," 13,459 "," 10,381 "," 4,576 "," 9,991 "," 16,169 "," 4,116 "," 6,928 "," 15,368 "," 31,340 "," 12,796 "," 22,458 "," 50,462 "," 45,739 "," 4,653 "," 58,713 "," 44,176 "," 14,796 "," 35,821 "," 10,972 "," 24,637 "," 23,925 "," 96,019 "," 36,772 "," 23,793 "," 33,707 "," 6,019 "," 28,172 "," 6,505 "," 14,662 "," 9,339 "," 8,994 "," 83,795 "," 80,615 "," 12,870 "," 13,684 "," 41,935 "," 16,132 "," 12,835 "," 639,331 "," 25,381 "," 34,351 "," 634,112 "
1994,Q4," 653,966 "," 129,805 "," 112,671 "," 32,284 "," 18,826 "," 13,713 "," 9,736 "," 4,261 "," 8,699 "," 14,943 "," 4,257 "," 6,385 "," 17,284 "," 30,990 "," 14,720 "," 18,445 "," 58,039 "," 53,194 "," 4,842 "," 60,134 "," 45,799 "," 14,431 "," 38,093 "," 11,616 "," 26,256 "," 22,596 "," 99,218 "," 36,812 "," 24,835 "," 35,735 "," 6,799 "," 31,741 "," 9,195 "," 15,378 "," 8,829 "," 8,411 "," 91,190 "," 86,616 "," 12,781 "," 16,306 "," 46,279 "," 15,886 "," 12,277 "," 666,224 "," 33,340 "," 38,377 "," 664,173 "
1995,Q1," 691,352 "," 145,144 "," 125,191 "," 32,917 "," 19,964 "," 13,583 "," 13,743 "," 5,045 "," 9,777 "," 18,208 "," 4,299 "," 7,759 "," 20,102 "," 33,071 "," 17,694 "," 16,534 "," 50,702 "," 45,711 "," 4,889 "," 58,763 "," 44,360 "," 14,612 "," 38,123 "," 10,280 "," 27,710 "," 29,437 "," 111,334 "," 41,571 "," 25,693 "," 41,643 "," 6,429 "," 39,296 "," 13,357 "," 17,582 "," 7,024 "," 9,440 "," 92,926 "," 84,085 "," 13,355 "," 15,108 "," 42,687 "," 16,858 "," 13,768 "," 705,078 "," 23,504 "," 52,379 "," 677,165 "
1995,Q2," 689,527 "," 143,533 "," 122,750 "," 32,359 "," 19,322 "," 13,086 "," 12,536 "," 4,746 "," 11,529 "," 17,340 "," 4,404 "," 7,413 "," 20,893 "," 34,915 "," 17,378 "," 19,593 "," 48,932 "," 43,755 "," 5,033 "," 61,674 "," 45,389 "," 16,876 "," 38,659 "," 10,012 "," 28,539 "," 27,786 "," 111,338 "," 44,041 "," 27,505 "," 37,847 "," 6,613 "," 35,188 "," 9,919 "," 15,526 "," 11,205 "," 11,109 "," 88,174 "," 91,364 "," 13,809 "," 14,566 "," 50,465 "," 17,777 "," 12,721 "," 702,235 "," 26,547 "," 39,288 "," 693,366 "
