Table 9 :  Composition of private final consumption expenditure at current market prices (seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,,,,,
1993,Q1," 417,683 "," 88,567 "," 76,124 "," 20,857 "," 13,371 "," 8,247 "," 6,922 "," 3,281 "," 7,079 "," 9,140 "," 2,864 "," 4,738 "," 12,217 "," 20,289 "," 11,898 "," 8,382 "," 29,782 "," 26,721 "," 3,037 "," 43,927 "," 34,962 "," 8,887 "," 25,777 "," 8,218 "," 17,600 "," 16,864 "," 59,558 "," 24,190 "," 12,658 "," 22,637 "," 5,069 "," 19,323 "," 5,465 "," 9,055 "," 4,690 "," 4,596 "," 59,951 "," 45,011 "," 7,897 "," 8,539 "," 17,597 "," 11,062 "," 8,865 "," 426,906 "," 12,314 "," 29,254 "," 410,544 ",,,,,,
1993,Q2," 425,153 "," 91,196 "," 78,298 "," 21,015 "," 13,765 "," 8,422 "," 6,998 "," 3,295 "," 7,201 "," 9,992 "," 2,828 "," 4,895 "," 12,971 "," 20,950 "," 12,657 "," 8,012 "," 30,097 "," 26,947 "," 3,127 "," 43,544 "," 34,634 "," 8,931 "," 26,517 "," 8,554 "," 18,022 "," 17,150 "," 59,312 "," 22,543 "," 12,612 "," 24,042 "," 5,608 "," 20,555 "," 6,080 "," 9,748 "," 4,506 "," 3,394 "," 60,563 "," 46,324 "," 8,757 "," 8,520 "," 17,783 "," 11,605 "," 8,874 "," 433,956 "," 12,759 "," 31,029 "," 415,713 ",,,,,,
1993,Q3," 436,553 "," 93,819 "," 80,572 "," 20,965 "," 14,103 "," 8,124 "," 7,106 "," 3,348 "," 7,213 "," 11,478 "," 3,135 "," 5,212 "," 12,948 "," 20,391 "," 12,192 "," 8,181 "," 31,297 "," 27,913 "," 3,411 "," 41,483 "," 32,469 "," 8,988 "," 27,256 "," 8,715 "," 18,572 "," 17,804 "," 61,098 "," 22,454 "," 13,474 "," 25,415 "," 5,303 "," 22,010 "," 6,950 "," 10,471 "," 4,682 "," 5,221 "," 62,662 "," 48,404 "," 8,206 "," 8,423 "," 19,589 "," 11,978 "," 8,956 "," 445,331 "," 13,530 "," 33,817 "," 426,123 ",,,,,,
1993,Q4," 451,029 "," 93,350 "," 81,327 "," 20,981 "," 14,018 "," 7,623 "," 7,234 "," 3,428 "," 7,309 "," 11,674 "," 3,290 "," 5,252 "," 12,457 "," 20,944 "," 12,397 "," 8,928 "," 32,543 "," 28,773 "," 3,848 "," 40,760 "," 31,834 "," 9,037 "," 28,142 "," 8,960 "," 19,061 "," 18,393 "," 66,538 "," 25,957 "," 14,469 "," 26,208 "," 5,456 "," 23,660 "," 7,778 "," 11,056 "," 5,161 "," 4,925 "," 64,977 "," 50,151 "," 8,703 "," 9,147 "," 20,069 "," 11,987 "," 9,219 "," 460,086 "," 17,152 "," 33,728 "," 442,990 ",,,,,,
1994,Q1," 462,347 "," 98,561 "," 84,917 "," 22,155 "," 14,754 "," 9,670 "," 7,360 "," 3,496 "," 7,924 "," 11,263 "," 3,501 "," 5,198 "," 13,490 "," 21,803 "," 12,308 "," 9,444 "," 33,119 "," 29,342 "," 3,716 "," 44,112 "," 34,451 "," 9,612 "," 27,434 "," 9,176 "," 18,297 "," 18,607 "," 63,447 "," 24,128 "," 13,561 "," 25,617 "," 6,288 "," 26,829 "," 9,220 "," 11,628 "," 5,728 "," 5,345 "," 64,252 "," 53,642 "," 9,127 "," 9,567 "," 22,540 "," 12,525 "," 8,569 "," 471,347 "," 18,126 "," 32,303 "," 457,299 ",,,,,,
1994,Q2," 477,088 "," 101,541 "," 87,503 "," 22,594 "," 14,987 "," 9,073 "," 7,570 "," 3,528 "," 8,308 "," 12,487 "," 3,679 "," 5,395 "," 14,015 "," 21,741 "," 12,019 "," 9,451 "," 34,418 "," 30,839 "," 3,543 "," 45,272 "," 35,979 "," 9,304 "," 28,280 "," 9,308 "," 19,061 "," 19,247 "," 65,981 "," 24,870 "," 14,356 "," 26,629 "," 6,433 "," 28,560 "," 10,832 "," 11,866 "," 5,838 "," 5,668 "," 65,630 "," 54,647 "," 8,890 "," 9,768 "," 24,042 "," 12,383 "," 9,659 "," 486,601 "," 18,033 "," 31,903 "," 472,228 ",,,,,,
1994,Q3," 493,308 "," 102,727 "," 89,303 "," 22,544 "," 15,347 "," 9,638 "," 7,965 "," 3,546 "," 8,388 "," 12,730 "," 3,733 "," 5,433 "," 13,175 "," 24,218 "," 11,895 "," 12,129 "," 36,154 "," 32,406 "," 3,801 "," 47,655 "," 38,045 "," 9,613 "," 29,874 "," 9,435 "," 20,453 "," 19,957 "," 67,805 "," 25,889 "," 15,306 "," 26,722 "," 6,418 "," 29,343 "," 11,454 "," 12,292 "," 5,793 "," 5,257 "," 67,762 "," 56,066 "," 9,457 "," 10,390 "," 23,699 "," 12,210 "," 9,819 "," 502,956 "," 19,554 "," 35,399 "," 487,545 ",,,,,,
1994,Q4," 512,223 "," 104,967 "," 90,998 "," 22,019 "," 15,280 "," 9,580 "," 8,564 "," 3,549 "," 8,450 "," 13,573 "," 3,918 "," 5,617 "," 14,258 "," 21,456 "," 12,097 "," 9,715 "," 38,029 "," 34,160 "," 3,915 "," 50,006 "," 39,770 "," 10,289 "," 32,258 "," 9,909 "," 22,249 "," 20,637 "," 72,506 "," 28,515 "," 15,965 "," 28,245 "," 6,444 "," 30,527 "," 11,812 "," 12,815 "," 5,902 "," 5,348 "," 70,084 "," 58,468 "," 9,727 "," 10,931 "," 25,578 "," 11,797 "," 9,852 "," 521,906 "," 19,503 "," 35,401 "," 505,759 ",,,,,,
1995,Q1," 536,632 "," 109,752 "," 94,580 "," 21,933 "," 16,180 "," 9,751 "," 9,462 "," 3,749 "," 8,509 "," 15,414 "," 3,827 "," 5,978 "," 15,209 "," 23,661 "," 14,220 "," 9,336 "," 39,114 "," 35,022 "," 4,015 "," 52,092 "," 41,314 "," 10,699 "," 32,411 "," 9,459 "," 22,963 "," 22,488 "," 76,715 "," 30,327 "," 16,342 "," 29,987 "," 6,657 "," 36,114 "," 15,100 "," 13,999 "," 6,865 "," 6,343 "," 72,317 "," 60,056 "," 10,043 "," 11,317 "," 25,332 "," 13,344 "," 10,030 "," 547,203 "," 19,349 "," 42,868 "," 523,011 ",,,,,,
1995,Q2," 550,109 "," 114,381 "," 98,370 "," 22,824 "," 16,715 "," 9,975 "," 10,059 "," 3,959 "," 9,257 "," 15,531 "," 4,063 "," 6,094 "," 15,741 "," 26,472 "," 15,676 "," 10,578 "," 40,340 "," 36,019 "," 4,233 "," 53,457 "," 42,094 "," 11,336 "," 33,038 "," 9,235 "," 23,781 "," 23,466 "," 77,080 "," 31,107 "," 17,261 "," 28,348 "," 6,886 "," 32,528 "," 10,690 "," 13,672 "," 7,833 "," 6,887 "," 73,733 "," 62,904 "," 10,221 "," 11,562 "," 28,516 "," 13,275 "," 10,016 "," 559,889 "," 19,386 "," 45,152 "," 534,778 ",,,,,,
